# ----------------------------------------
# Alle mobilappdata
# Aktive brugere
# 20180101-20180430
# ----------------------------------------

Indeks for dag,"Brugere, der er aktive i én dag"
01/01/2018,40
02/01/2018,86
03/01/2018,130
04/01/2018,113
05/01/2018,111
06/01/2018,46
07/01/2018,37
08/01/2018,130
09/01/2018,118
10/01/2018,110
11/01/2018,138
12/01/2018,115
13/01/2018,36
14/01/2018,38
15/01/2018,120
16/01/2018,120
17/01/2018,105
18/01/2018,98
19/01/2018,94
20/01/2018,31
21/01/2018,51
22/01/2018,109
23/01/2018,130
24/01/2018,126
25/01/2018,93
26/01/2018,100
27/01/2018,26
28/01/2018,34
29/01/2018,109
30/01/2018,106
31/01/2018,95
01/02/2018,104
02/02/2018,113
03/02/2018,58
04/02/2018,55
05/02/2018,96
06/02/2018,92
07/02/2018,87
08/02/2018,92
09/02/2018,91
10/02/2018,43
11/02/2018,68
12/02/2018,83
13/02/2018,76
14/02/2018,71
15/02/2018,73
16/02/2018,103
17/02/2018,33
18/02/2018,36
19/02/2018,80
20/02/2018,94
21/02/2018,88
22/02/2018,111
23/02/2018,73
24/02/2018,35
25/02/2018,44
26/02/2018,91
27/02/2018,142
28/02/2018,180
01/03/2018,106
02/03/2018,144
03/03/2018,46
04/03/2018,43
05/03/2018,181
06/03/2018,124
07/03/2018,119
08/03/2018,113
09/03/2018,113
10/03/2018,30
11/03/2018,43
12/03/2018,109
13/03/2018,98
14/03/2018,95
15/03/2018,82
16/03/2018,96
17/03/2018,45
18/03/2018,36
19/03/2018,88
20/03/2018,167
21/03/2018,102
22/03/2018,137
23/03/2018,93
24/03/2018,25
25/03/2018,30
26/03/2018,65
27/03/2018,58
28/03/2018,100
29/03/2018,80
30/03/2018,48
31/03/2018,36
01/04/2018,57
02/04/2018,34
03/04/2018,102
04/04/2018,83
05/04/2018,71
06/04/2018,62
07/04/2018,40
08/04/2018,37
09/04/2018,85
10/04/2018,82
11/04/2018,84
12/04/2018,71
13/04/2018,91
14/04/2018,32
15/04/2018,33
16/04/2018,79
17/04/2018,82
18/04/2018,88
19/04/2018,90
20/04/2018,87
21/04/2018,34
22/04/2018,30
23/04/2018,78
24/04/2018,83
25/04/2018,77
26/04/2018,109
27/04/2018,40
28/04/2018,28
29/04/2018,29
30/04/2018,85
