# ----------------------------------------
# Alle mobilappdata
# Aktive brugere
# 20180101-20180430
# ----------------------------------------

Indeks for dag,"Brugere, der er aktive i én dag"
01/01/2018,847
02/01/2018,1.131
03/01/2018,1.548
04/01/2018,1.477
05/01/2018,1.546
06/01/2018,1.947
07/01/2018,1.990
08/01/2018,2.149
09/01/2018,1.711
10/01/2018,1.260
11/01/2018,993
12/01/2018,1.086
13/01/2018,1.332
14/01/2018,1.391
15/01/2018,2.521
16/01/2018,2.179
17/01/2018,2.559
18/01/2018,2.530
19/01/2018,2.103
20/01/2018,1.693
21/01/2018,1.770
22/01/2018,2.041
23/01/2018,1.564
24/01/2018,941
25/01/2018,714
26/01/2018,893
27/01/2018,850
28/01/2018,630
29/01/2018,735
30/01/2018,784
31/01/2018,1.037
01/02/2018,1.605
02/02/2018,1.822
03/02/2018,2.417
04/02/2018,2.264
05/02/2018,1.850
06/02/2018,1.832
07/02/2018,1.893
08/02/2018,1.543
09/02/2018,1.260
10/02/2018,1.395
11/02/2018,3.047
12/02/2018,1.947
13/02/2018,1.904
14/02/2018,1.430
15/02/2018,2.611
16/02/2018,2.281
17/02/2018,1.232
18/02/2018,1.203
19/02/2018,1.620
20/02/2018,1.457
21/02/2018,1.593
22/02/2018,1.499
23/02/2018,1.456
24/02/2018,1.445
25/02/2018,2.498
26/02/2018,2.311
27/02/2018,4.576
28/02/2018,5.505
01/03/2018,4.221
02/03/2018,3.838
03/03/2018,2.421
04/03/2018,2.310
05/03/2018,5.173
06/03/2018,3.020
07/03/2018,2.803
08/03/2018,3.263
09/03/2018,2.355
10/03/2018,1.926
11/03/2018,1.810
12/03/2018,1.744
13/03/2018,1.240
14/03/2018,1.402
15/03/2018,1.357
16/03/2018,1.413
17/03/2018,2.211
18/03/2018,1.423
19/03/2018,1.345
20/03/2018,1.809
21/03/2018,1.408
22/03/2018,2.100
23/03/2018,1.002
24/03/2018,681
25/03/2018,634
26/03/2018,852
27/03/2018,1.219
28/03/2018,2.498
29/03/2018,3.205
30/03/2018,1.373
31/03/2018,1.253
01/04/2018,2.220
02/04/2018,1.212
03/04/2018,1.578
04/04/2018,672
05/04/2018,601
06/04/2018,640
07/04/2018,373
08/04/2018,337
09/04/2018,367
10/04/2018,342
11/04/2018,318
12/04/2018,270
13/04/2018,346
14/04/2018,256
15/04/2018,242
16/04/2018,309
17/04/2018,290
18/04/2018,297
19/04/2018,312
20/04/2018,318
21/04/2018,232
22/04/2018,249
23/04/2018,271
24/04/2018,231
25/04/2018,274
26/04/2018,305
27/04/2018,212
28/04/2018,180
29/04/2018,209
30/04/2018,318
