# ----------------------------------------
# Alle mobilappdata
# Aktive brugere
# 20180101-20180430
# ----------------------------------------

Indeks for dag,"Brugere, der er aktive i én dag"
01/01/2018,246
02/01/2018,287
03/01/2018,393
04/01/2018,365
05/01/2018,341
06/01/2018,150
07/01/2018,154
08/01/2018,410
09/01/2018,334
10/01/2018,339
11/01/2018,359
12/01/2018,318
13/01/2018,148
14/01/2018,145
15/01/2018,370
16/01/2018,343
17/01/2018,333
18/01/2018,306
19/01/2018,274
20/01/2018,142
21/01/2018,149
22/01/2018,337
23/01/2018,336
24/01/2018,313
25/01/2018,286
26/01/2018,271
27/01/2018,123
28/01/2018,113
29/01/2018,337
30/01/2018,302
31/01/2018,308
01/02/2018,290
02/02/2018,317
03/02/2018,182
04/02/2018,166
05/02/2018,344
06/02/2018,289
07/02/2018,312
08/02/2018,303
09/02/2018,281
10/02/2018,153
11/02/2018,184
12/02/2018,326
13/02/2018,276
14/02/2018,296
15/02/2018,276
16/02/2018,299
17/02/2018,140
18/02/2018,130
19/02/2018,295
20/02/2018,291
21/02/2018,291
22/02/2018,316
23/02/2018,265
24/02/2018,147
25/02/2018,181
26/02/2018,355
27/02/2018,400
28/02/2018,465
01/03/2018,383
02/03/2018,473
03/03/2018,225
04/03/2018,190
05/03/2018,569
06/03/2018,464
07/03/2018,422
08/03/2018,455
09/03/2018,408
10/03/2018,207
11/03/2018,208
12/03/2018,441
13/03/2018,417
14/03/2018,360
15/03/2018,338
16/03/2018,351
17/03/2018,194
18/03/2018,158
19/03/2018,378
20/03/2018,495
21/03/2018,363
22/03/2018,439
23/03/2018,363
24/03/2018,126
25/03/2018,129
26/03/2018,311
27/03/2018,285
28/03/2018,368
29/03/2018,328
30/03/2018,251
31/03/2018,142
01/04/2018,189
02/04/2018,235
03/04/2018,347
04/04/2018,283
05/04/2018,277
06/04/2018,277
07/04/2018,146
08/04/2018,129
09/04/2018,333
10/04/2018,351
11/04/2018,322
12/04/2018,295
13/04/2018,357
14/04/2018,112
15/04/2018,130
16/04/2018,313
17/04/2018,288
18/04/2018,255
19/04/2018,297
20/04/2018,309
21/04/2018,158
22/04/2018,135
23/04/2018,312
24/04/2018,300
25/04/2018,302
26/04/2018,368
27/04/2018,221
28/04/2018,124
29/04/2018,136
30/04/2018,301
