# ----------------------------------------
# Alle mobilappdata
# Brugeroversigt
# 20180101-20180430
# ----------------------------------------

Indeks for dag,Sessioner
01/01/2018,51
02/01/2018,113
03/01/2018,213
04/01/2018,168
05/01/2018,150
06/01/2018,59
07/01/2018,47
08/01/2018,207
09/01/2018,164
10/01/2018,171
11/01/2018,196
12/01/2018,160
13/01/2018,41
14/01/2018,47
15/01/2018,184
16/01/2018,168
17/01/2018,147
18/01/2018,146
19/01/2018,130
20/01/2018,37
21/01/2018,64
22/01/2018,161
23/01/2018,162
24/01/2018,186
25/01/2018,134
26/01/2018,138
27/01/2018,32
28/01/2018,44
29/01/2018,162
30/01/2018,152
31/01/2018,142
01/02/2018,151
02/02/2018,176
03/02/2018,73
04/02/2018,80
05/02/2018,141
06/02/2018,119
07/02/2018,127
08/02/2018,138
09/02/2018,131
10/02/2018,51
11/02/2018,105
12/02/2018,122
13/02/2018,104
14/02/2018,96
15/02/2018,101
16/02/2018,160
17/02/2018,39
18/02/2018,42
19/02/2018,111
20/02/2018,130
21/02/2018,134
22/02/2018,153
23/02/2018,95
24/02/2018,43
25/02/2018,64
26/02/2018,139
27/02/2018,234
28/02/2018,275
01/03/2018,143
02/03/2018,212
03/03/2018,59
04/03/2018,48
05/03/2018,315
06/03/2018,187
07/03/2018,177
08/03/2018,165
09/03/2018,160
10/03/2018,41
11/03/2018,47
12/03/2018,163
13/03/2018,137
14/03/2018,138
15/03/2018,106
16/03/2018,144
17/03/2018,62
18/03/2018,50
19/03/2018,122
20/03/2018,271
21/03/2018,123
22/03/2018,206
23/03/2018,133
24/03/2018,25
25/03/2018,33
26/03/2018,85
27/03/2018,78
28/03/2018,154
29/03/2018,121
30/03/2018,64
31/03/2018,43
01/04/2018,79
02/04/2018,40
03/04/2018,139
04/04/2018,104
05/04/2018,102
06/04/2018,91
07/04/2018,48
08/04/2018,42
09/04/2018,123
10/04/2018,115
11/04/2018,127
12/04/2018,90
13/04/2018,133
14/04/2018,41
15/04/2018,45
16/04/2018,107
17/04/2018,114
18/04/2018,118
19/04/2018,144
20/04/2018,125
21/04/2018,39
22/04/2018,42
23/04/2018,112
24/04/2018,118
25/04/2018,116
26/04/2018,161
27/04/2018,55
28/04/2018,36
29/04/2018,34
30/04/2018,134
,13896
