# ----------------------------------------
# Alle mobilappdata
# Brugeroversigt
# 20180101-20180430
# ----------------------------------------

Indeks for dag,Sessioner
01/01/2018,350
02/01/2018,433
03/01/2018,620
04/01/2018,584
05/01/2018,551
06/01/2018,215
07/01/2018,231
08/01/2018,656
09/01/2018,506
10/01/2018,518
11/01/2018,559
12/01/2018,501
13/01/2018,190
14/01/2018,191
15/01/2018,579
16/01/2018,527
17/01/2018,502
18/01/2018,490
19/01/2018,425
20/01/2018,184
21/01/2018,207
22/01/2018,496
23/01/2018,496
24/01/2018,493
25/01/2018,427
26/01/2018,399
27/01/2018,149
28/01/2018,155
29/01/2018,510
30/01/2018,460
31/01/2018,467
01/02/2018,425
02/02/2018,482
03/02/2018,251
04/02/2018,236
05/02/2018,504
06/02/2018,428
07/02/2018,480
08/02/2018,466
09/02/2018,410
10/02/2018,201
11/02/2018,271
12/02/2018,507
13/02/2018,416
14/02/2018,451
15/02/2018,417
16/02/2018,468
17/02/2018,182
18/02/2018,172
19/02/2018,437
20/02/2018,444
21/02/2018,419
22/02/2018,461
23/02/2018,382
24/02/2018,191
25/02/2018,239
26/02/2018,529
27/02/2018,626
28/02/2018,731
01/03/2018,590
02/03/2018,744
03/03/2018,296
04/03/2018,253
05/03/2018,1.010
06/03/2018,677
07/03/2018,715
08/03/2018,751
09/03/2018,624
10/03/2018,267
11/03/2018,274
12/03/2018,723
13/03/2018,649
14/03/2018,565
15/03/2018,533
16/03/2018,561
17/03/2018,265
18/03/2018,211
19/03/2018,592
20/03/2018,803
21/03/2018,567
22/03/2018,713
23/03/2018,567
24/03/2018,173
25/03/2018,171
26/03/2018,491
27/03/2018,455
28/03/2018,616
29/03/2018,512
30/03/2018,372
31/03/2018,180
01/04/2018,271
02/04/2018,354
03/04/2018,559
04/04/2018,439
05/04/2018,406
06/04/2018,410
07/04/2018,199
08/04/2018,179
09/04/2018,552
10/04/2018,557
11/04/2018,492
12/04/2018,455
13/04/2018,538
14/04/2018,137
15/04/2018,167
16/04/2018,459
17/04/2018,431
18/04/2018,403
19/04/2018,471
20/04/2018,480
21/04/2018,200
22/04/2018,186
23/04/2018,461
24/04/2018,468
25/04/2018,452
26/04/2018,584
27/04/2018,356
28/04/2018,163
29/04/2018,188
30/04/2018,464
