# ----------------------------------------
# Hændelser
# ----------------------------------------
Hændelsesnavn,Antal,Brugere,Markér som konvertering
ACTIONBAR_SELECT,4,3,false
ACTIONBAR_SELECT_CENTERPOSITION_ICON,916,480,false
ACTIONBAR_SELECT_PLAY_ICON,1025,604,false
app_clear_data,7,7,false
app_remove,1222,1222,false
app_update,736,736,false
EVENT_FOLLOW,3,3,true
EVENT_FOLLOW_TrafficEventA,69,62,false
EVENT_FOLLOW_WinterArea,166,120,false
EVENT_OPEN,239,44,false
EVENT_OPEN_fullscreen,1985,943,false
EVENT_OPEN_fullscreen_roadwork,0,0,false
EVENT_OPEN_fullscreen_traffic,5399,1306,false
EVENT_OPEN_fullscreen_winterarea,10607,2354,false
EVENT_SELECT,12,8,false
EVENT_SELECT_CENTERPOSITION_ICON,1478,868,false
EVENT_START_,0,0,false
EVENT_UNFOLLOW,2,2,false
EVENT_UNFOLLOW_TrafficEventA,20,18,false
EVENT_UNFOLLOW_WinterArea,98,80,false
FEEDBACK_SELECT_phonelink_80202060,184,104,false
first_open,1193,1191,true
LIST_OPEN,16,12,false
LIST_OPEN_,1636,781,false
LIST_OPEN_P4LIST,219,145,false
LIST_SELECT,46,17,false
LIST_SELECT_itemtype_P4Area,14,9,false
LIST_SELECT_itemtype_P4EventContent,223,88,false
LIST_SELECT_itemtype_String,70,12,false
LIST_SELECT_itemtype_Traffic,91,30,false
LIST_SELECT_itemtype_TrafficContent,181,114,false
LIST_SELECT_itemtype_WebCam,267,67,false
LIST_SELECT_itemtype_WebcamContent,2776,524,false
LIST_SELECT_itemtype_WindTemperatureCont,77,38,false
LIST_SELECT_section_Trafikmeldinger,2036,892,false
LIST_SELECT_section_Webkamera,1535,735,false
MAP_SELECT,1830,138,false
MAP_SELECT_,0,0,false
MAP_SELECT_Glatføre,59449,13973,false
MAP_SELECT_Listevisning,3,2,false
MAP_SELECT_Saltning,22051,4450,false
MAP_SELECT_Serviceniveauer,1766,636,false
MAP_SELECT_Temperatur,11790,2431,false
MAP_SELECT_Trafikinfo,19960,4369,false
MAP_SELECT_Vind,2725,659,false
MAP_SELECT_Webkamera,36953,5501,false
NAVIGATIONMENU_OPEN,19,11,false
NAVIGATIONMENU_OPEN_,3889,2124,false
NAVIGATIONMENU_SELECT,6,4,false
NAVIGATIONMENU_SELECT_ABOUT_APP,146,107,false
NAVIGATIONMENU_SELECT_applink_trafikinfo,158,129,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_OF,218,203,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_ON,27,24,false
NAVIGATIONMENU_SELECT_FEEDBACK,31,20,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_OFF,144,115,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_ON,173,141,false
NAVIGATIONMENU_SELECT_SUBSCRIPTIONS_OVER,9,1,false
os_update,3602,3536,false
SCREEN_START,750,67,false
SCREEN_START_MainActivity,56717,5664,false
SCREEN_VIEW,109822,5907,false
screen_view,156800,15692,false
SCREEN_VIEW_,101408,9956,false
session_start,36933,12760,false
SUBSCRIPTIONS_OVERVIEW_OPEN_ROUTE_AREA,0,0,false
SUBSCRIPTIONS_OVERVIEW_OPEN_TRAFFIC,0,0,false
SUBSCRIPTIONS_OVERVIEW_OPEN_WINTER_AREA,0,0,false
SUBSCRIPTIONS_OVERVIEW_SELECT_ADD_AREA,0,0,false
SUBSCRIPTIONS_OVERVIEW_SELECT_NOTIFICATI,0,0,false
SUBSCRIPTIONS_OVERVIEW_SELECT_ROUTE_AREA,0,0,false
WEBCAM_FOLLOW,5,3,false
WEBCAM_FOLLOW_,319,140,false
WEBCAM_FOLLOW_Blåhøj,3,2,false
WEBCAM_FOLLOW_Brenderup,3,3,false
WEBCAM_FOLLOW_Bøjden,0,0,false
WEBCAM_FOLLOW_Everdrup,4,4,false
WEBCAM_FOLLOW_Hemdrup,0,0,false
WEBCAM_FOLLOW_Industrivej,2,2,false
WEBCAM_FOLLOW_Langetved,1,1,false
WEBCAM_FOLLOW_Nordhavn,0,0,false
WEBCAM_FOLLOW_Oksbølvej,0,0,false
WEBCAM_FOLLOW_Ringsted_13,1,1,false
WEBCAM_FOLLOW_Roskilde_10,2,1,false
WEBCAM_FOLLOW_Ruten,0,0,false
WEBCAM_FOLLOW_Rødekro,0,0,false
WEBCAM_FOLLOW_Slotsherrensvej,0,0,false
WEBCAM_FOLLOW_Tystrupvej,1,1,false
WEBCAM_FOLLOW_Universitetsboulevarden,0,0,false
WEBCAM_FOLLOW_Vigerslevvej,0,0,false
WEBCAM_FOLLOW_Ålekistevej,1,1,false
WEBCAM_OPEN,484,40,false
WEBCAM_OPEN_,40495,3488,false
WEBCAM_UNFOLLOW,0,0,false
WEBCAM_UNFOLLOW_Blåhøj,2,1,false
WEBCAM_UNFOLLOW_Bøjden,0,0,false
WEBCAM_UNFOLLOW_Everdrup,0,0,false
WEBCAM_UNFOLLOW_Hemdrup,0,0,false
WEBCAM_UNFOLLOW_Langetved,1,1,false
WEBCAM_UNFOLLOW_Nordhavn,0,0,false
WEBCAM_UNFOLLOW_Oksbølvej,0,0,false
WEBCAM_UNFOLLOW_Ringsted_13,0,0,false
WEBCAM_UNFOLLOW_Roskilde_10,1,1,false
WEBCAM_UNFOLLOW_Slotsherrensvej,0,0,false
WEBCAM_UNFOLLOW_Tystrupvej,1,1,false
WEBCAM_UNFOLLOW_Vigerslevvej,0,0,false
WEBCAM_UNFOLLOW_Ålekistevej,1,1,false
