# ----------------------------------------
# Hændelser
# ----------------------------------------
Hændelsesnavn,Antal,Brugere,Markér som konvertering
ACTIONBAR_SELECT,106,29,false
ACTIONBAR_SELECT_CENTERPOSITION_ICON,5806,2338,false
ACTIONBAR_SELECT_PLAY_ICON,9739,3715,false
app_clear_data,26,24,false
app_remove,832,832,false
app_update,5079,5058,false
EVENT_FOLLOW,52,28,true
EVENT_FOLLOW_TrafficEventA,641,491,false
EVENT_FOLLOW_TrafficEventB,2,2,false
EVENT_FOLLOW_WinterArea,2041,1060,false
EVENT_OPEN,4471,291,false
EVENT_OPEN_fullscreen,9823,2986,false
EVENT_OPEN_fullscreen_roadwork,82,62,false
EVENT_OPEN_fullscreen_traffic,19308,4310,false
EVENT_OPEN_fullscreen_winterarea,109158,8926,false
EVENT_SELECT,143,62,false
EVENT_SELECT_CENTERPOSITION_ICON,8266,3488,false
EVENT_UNFOLLOW,35,15,false
EVENT_UNFOLLOW_TrafficEventA,149,133,false
EVENT_UNFOLLOW_WinterArea,1119,548,false
FEEDBACK_SELECT_phonelink_80202060,530,320,false
first_open,11844,11889,true
GEOFENCE_ENTER_8,6,6,false
LIST_OPEN,382,132,false
LIST_OPEN_,29624,10009,false
LIST_OPEN_P4LIST,1995,1250,false
LIST_SELECT,804,144,false
LIST_SELECT_itemtype_P4Area,65,46,false
LIST_SELECT_itemtype_P4EventContent,2240,391,false
LIST_SELECT_itemtype_String,414,179,false
LIST_SELECT_itemtype_Traffic,741,382,false
LIST_SELECT_itemtype_TrafficContent,1326,791,false
LIST_SELECT_itemtype_WebCam,3301,1123,false
LIST_SELECT_itemtype_WebcamContent,13254,2801,false
LIST_SELECT_itemtype_WindTemperatureCont,546,249,false
LIST_SELECT_section_Trafikmeldinger,17255,5506,false
LIST_SELECT_section_Webkamera,8056,4017,false
MAP_SELECT,21996,570,false
MAP_SELECT_,52,16,false
MAP_SELECT_Glatføre,305608,25760,false
MAP_SELECT_Listevisning,1955,1040,false
MAP_SELECT_Saltning,201689,17176,false
MAP_SELECT_Serviceniveauer,434,55,false
MAP_SELECT_Temperatur,111170,8076,false
MAP_SELECT_Trafikinfo,95447,16399,false
MAP_SELECT_Vind,8875,2854,false
MAP_SELECT_Webkamera,58636,7091,false
NAVIGATIONMENU_OPEN,424,184,false
NAVIGATIONMENU_OPEN_,34625,13034,false
NAVIGATIONMENU_SELECT,154,72,false
NAVIGATIONMENU_SELECT_ABOUT_APP,1713,1140,false
NAVIGATIONMENU_SELECT_applink_trafikinfo,935,789,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_OF,2792,2494,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_ON,271,247,false
NAVIGATIONMENU_SELECT_FEEDBACK,251,238,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_OFF,1878,1412,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_ON,2751,2183,false
os_update,9632,8355,false
SCREEN_START,5345,226,false
SCREEN_START_MainActivity,256412,10441,false
SCREEN_VIEW,509329,11241,false
screen_view,711377,28542,false
SCREEN_VIEW_,347670,17771,false
session_start,194201,27851,false
WEBCAM_FOLLOW,40,22,false
WEBCAM_FOLLOW_,1667,658,false
WEBCAM_FOLLOW_Blåhøj,1,1,false
WEBCAM_FOLLOW_Brenderup,4,4,false
WEBCAM_FOLLOW_Everdrup,0,0,false
WEBCAM_FOLLOW_Hemdrup,3,1,false
WEBCAM_FOLLOW_Industrivej,1,1,false
WEBCAM_FOLLOW_Langetved,0,0,false
WEBCAM_FOLLOW_Nordhavn,6,6,false
WEBCAM_FOLLOW_Oksbølvej,2,2,false
WEBCAM_FOLLOW_Ringsted_13,5,5,false
WEBCAM_FOLLOW_Roskilde_10,8,8,false
WEBCAM_FOLLOW_Ruten,7,7,false
WEBCAM_FOLLOW_Rødekro,1,1,false
WEBCAM_FOLLOW_Slotsherrensvej,5,4,false
WEBCAM_FOLLOW_Tystrupvej,1,1,false
WEBCAM_FOLLOW_Universitetsboulevarden,9,7,false
WEBCAM_FOLLOW_Vigerslevvej,3,3,false
WEBCAM_FOLLOW_Ålekistevej,4,3,false
WEBCAM_OPEN,3212,215,false
WEBCAM_OPEN_,78883,5683,false
WEBCAM_UNFOLLOW,10,7,false
WEBCAM_UNFOLLOW_Brenderup,1,1,false
WEBCAM_UNFOLLOW_Hemdrup,3,1,false
WEBCAM_UNFOLLOW_Nordhavn,3,3,false
WEBCAM_UNFOLLOW_Oksbølvej,1,1,false
WEBCAM_UNFOLLOW_Ringsted_13,1,1,false
WEBCAM_UNFOLLOW_Roskilde_10,2,2,false
WEBCAM_UNFOLLOW_Rødekro,1,1,false
WEBCAM_UNFOLLOW_Slotsherrensvej,3,2,false
WEBCAM_UNFOLLOW_Tystrupvej,1,1,false
WEBCAM_UNFOLLOW_Universitetsboulevarden,5,3,false
WEBCAM_UNFOLLOW_Vigerslevvej,0,0,false
WEBCAM_UNFOLLOW_Ålekistevej,3,2,false
