# ----------------------------------------
# Hændelser
# ----------------------------------------
Hændelsesnavn,Antal,Brugere,Markér som konvertering
ACTIONBAR_SELECT,52,19,false
ACTIONBAR_SELECT_CENTERPOSITION_ICON,6246,2338,false
ACTIONBAR_SELECT_PLAY_ICON,8679,4017,false
app_clear_data,24,18,false
app_remove,710,710,false
app_update,14789,14625,false
EVENT_FOLLOW,19,12,true
EVENT_FOLLOW_TrafficEventA,502,405,false
EVENT_FOLLOW_TrafficEventB,2,2,false
EVENT_FOLLOW_WinterArea,2352,1387,false
EVENT_OPEN,3150,166,false
EVENT_OPEN_fullscreen,11009,3452,false
EVENT_OPEN_fullscreen_roadwork,54,43,false
EVENT_OPEN_fullscreen_traffic,23180,5288,false
EVENT_OPEN_fullscreen_winterarea,135854,10928,false
EVENT_SELECT,49,26,false
EVENT_SELECT_CENTERPOSITION_ICON,10863,4433,false
EVENT_UNFOLLOW,13,9,false
EVENT_UNFOLLOW_TrafficEventA,119,102,false
EVENT_UNFOLLOW_TrafficEventB,0,0,false
EVENT_UNFOLLOW_WinterArea,1096,663,false
FEEDBACK_SELECT_phonelink_80202060,628,381,false
first_open,9899,9817,true
LIST_OPEN,196,83,false
LIST_OPEN_,16880,6880,false
LIST_OPEN_P4LIST,1681,936,false
LIST_SELECT,390,94,false
LIST_SELECT_itemtype_P4Area,54,40,false
LIST_SELECT_itemtype_P4EventContent,1791,558,false
LIST_SELECT_itemtype_String,195,96,false
LIST_SELECT_itemtype_Traffic,601,312,false
LIST_SELECT_itemtype_TrafficContent,1795,1014,false
LIST_SELECT_itemtype_WebCam,2856,810,false
LIST_SELECT_itemtype_WebcamContent,25053,3050,false
LIST_SELECT_itemtype_WindTemperatureCont,491,276,false
LIST_SELECT_section_Trafikmeldinger,21964,5805,false
LIST_SELECT_section_Webkamera,12672,4196,false
MAP_SELECT,16169,349,false
MAP_SELECT_,33,10,false
MAP_SELECT_Glatføre,384838,31205,false
MAP_SELECT_Listevisning,313,170,false
MAP_SELECT_Saltning,252564,18104,false
MAP_SELECT_Serviceniveauer,15681,4333,false
MAP_SELECT_Temperatur,110647,8265,false
MAP_SELECT_Trafikinfo,111764,17828,false
MAP_SELECT_Vind,11712,3466,false
MAP_SELECT_Webkamera,220055,16075,false
NAVIGATIONMENU_OPEN,243,119,false
NAVIGATIONMENU_OPEN_,29469,11951,false
NAVIGATIONMENU_SELECT,82,39,false
NAVIGATIONMENU_SELECT_ABOUT_APP,1256,849,false
NAVIGATIONMENU_SELECT_applink_trafikinfo,703,594,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_OF,1882,1714,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_ON,190,174,false
NAVIGATIONMENU_SELECT_FEEDBACK,163,148,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_OFF,1285,998,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_ON,1898,1526,false
os_update,15884,12882,false
SCREEN_START,4596,149,false
SCREEN_START_MainActivity,384974,11690,false
screen_view,975686,34015,false
SCREEN_VIEW,749974,12176,false
SCREEN_VIEW_,596151,22214,false
session_start,246381,32901,false
WEBCAM_FOLLOW,37,15,false
WEBCAM_FOLLOW_,3616,1193,false
WEBCAM_FOLLOW_Blåhøj,13,7,false
WEBCAM_FOLLOW_Brenderup,10,9,false
WEBCAM_FOLLOW_Bøjden,2,2,false
WEBCAM_FOLLOW_Everdrup,5,5,false
WEBCAM_FOLLOW_Hemdrup,24,3,false
WEBCAM_FOLLOW_Industrivej,30,3,false
WEBCAM_FOLLOW_Langetved,4,2,false
WEBCAM_FOLLOW_Nordhavn,6,5,false
WEBCAM_FOLLOW_Oksbølvej,4,4,false
WEBCAM_FOLLOW_Ringsted_13,14,11,false
WEBCAM_FOLLOW_Roskilde_10,9,7,false
WEBCAM_FOLLOW_Ruten,4,3,false
WEBCAM_FOLLOW_Rødekro,24,12,false
WEBCAM_FOLLOW_Slotsherrensvej,17,12,false
WEBCAM_FOLLOW_Tystrupvej,4,4,false
WEBCAM_FOLLOW_Universitetsboulevarden,17,11,false
WEBCAM_FOLLOW_Vigerslevvej,16,7,false
WEBCAM_FOLLOW_Ålekistevej,18,10,false
WEBCAM_OPEN,3937,150,false
WEBCAM_OPEN_,247563,10816,false
WEBCAM_UNFOLLOW,16,2,false
WEBCAM_UNFOLLOW_Blåhøj,2,2,false
WEBCAM_UNFOLLOW_Brenderup,1,1,false
WEBCAM_UNFOLLOW_Bøjden,1,1,false
WEBCAM_UNFOLLOW_Everdrup,1,1,false
WEBCAM_UNFOLLOW_Hemdrup,2,1,false
WEBCAM_UNFOLLOW_Industrivej,2,2,false
WEBCAM_UNFOLLOW_Nordhavn,1,1,false
WEBCAM_UNFOLLOW_Oksbølvej,1,1,false
WEBCAM_UNFOLLOW_Ringsted_13,2,2,false
WEBCAM_UNFOLLOW_Roskilde_10,2,1,false
WEBCAM_UNFOLLOW_Ruten,1,1,false
WEBCAM_UNFOLLOW_Rødekro,4,2,false
WEBCAM_UNFOLLOW_Slotsherrensvej,3,2,false
WEBCAM_UNFOLLOW_Universitetsboulevarden,4,3,false
WEBCAM_UNFOLLOW_Vigerslevvej,0,0,false
WEBCAM_UNFOLLOW_Ålekistevej,2,2,false
