# ----------------------------------------
# Hændelser
# ----------------------------------------
Hændelsesnavn,Antal,Brugere,Markér som konvertering
ACTIONBAR_SELECT,38,17,false
ACTIONBAR_SELECT_CENTERPOSITION_ICON,3940,1536,false
ACTIONBAR_SELECT_PLAY_ICON,5642,2192,false
app_clear_data,18,18,false
app_remove,819,819,false
app_update,1777,1770,false
EVENT_FOLLOW,25,15,true
EVENT_FOLLOW_TrafficEventA,414,303,false
EVENT_FOLLOW_TrafficEventB,6,6,false
EVENT_FOLLOW_WinterArea,1355,684,false
EVENT_OPEN,2892,159,false
EVENT_OPEN_fullscreen,7424,2104,false
EVENT_OPEN_fullscreen_roadwork,107,73,false
EVENT_OPEN_fullscreen_traffic,15334,3125,false
EVENT_OPEN_fullscreen_winterarea,101866,6641,false
EVENT_SELECT,65,23,false
EVENT_SELECT_CENTERPOSITION_ICON,5537,2224,false
EVENT_UNFOLLOW,18,11,false
EVENT_UNFOLLOW_TrafficEventA,109,91,false
EVENT_UNFOLLOW_TrafficEventB,2,2,false
EVENT_UNFOLLOW_WinterArea,914,443,false
FEEDBACK_SELECT_phonelink_80202060,424,257,false
first_open,4938,4925,true
GEOFENCE_ENTER_8,0,0,false
LIST_OPEN,177,76,false
LIST_OPEN_,21714,6541,false
LIST_OPEN_P4LIST,1108,643,false
LIST_SELECT,361,83,false
LIST_SELECT_itemtype_P4Area,39,31,false
LIST_SELECT_itemtype_P4EventContent,718,223,false
LIST_SELECT_itemtype_String,310,140,false
LIST_SELECT_itemtype_Traffic,632,223,false
LIST_SELECT_itemtype_TrafficContent,834,451,false
LIST_SELECT_itemtype_WebCam,2058,628,false
LIST_SELECT_itemtype_WebcamContent,6817,1552,false
LIST_SELECT_itemtype_WindTemperatureCont,345,177,false
LIST_SELECT_section_Trafikmeldinger,12167,3592,false
LIST_SELECT_section_Webkamera,4722,2306,false
MAP_SELECT,14482,354,false
MAP_SELECT_,53,19,false
MAP_SELECT_Glatføre,276147,21035,false
MAP_SELECT_Listevisning,1309,645,false
MAP_SELECT_Saltning,200266,12544,false
MAP_SELECT_Serviceniveauer,522,93,false
MAP_SELECT_Temperatur,121214,6425,false
MAP_SELECT_Trafikinfo,73439,11401,false
MAP_SELECT_Vind,8104,2132,false
MAP_SELECT_Webkamera,46269,5128,false
NAVIGATIONMENU_OPEN,204,109,false
NAVIGATIONMENU_OPEN_,19686,7721,false
NAVIGATIONMENU_SELECT,78,30,false
NAVIGATIONMENU_SELECT_ABOUT_APP,965,615,false
NAVIGATIONMENU_SELECT_applink_trafikinfo,492,407,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_OF,1266,1120,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_ON,148,131,false
NAVIGATIONMENU_SELECT_FEEDBACK,153,134,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_OFF,834,663,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_ON,1172,954,false
os_update,8545,7635,false
SCREEN_START,3201,151,false
SCREEN_START_MainActivity,225651,8565,false
screen_view,579570,23238,false
SCREEN_VIEW,439790,9178,false
SCREEN_VIEW_,302178,14151,false
session_start,179399,21981,false
WEBCAM_FOLLOW,18,10,false
WEBCAM_FOLLOW_,901,342,false
WEBCAM_FOLLOW_Blåhøj,4,4,false
WEBCAM_FOLLOW_Brenderup,1,1,false
WEBCAM_FOLLOW_Everdrup,1,1,false
WEBCAM_FOLLOW_Hemdrup,9,2,false
WEBCAM_FOLLOW_Industrivej,1,1,false
WEBCAM_FOLLOW_Langetved,2,2,false
WEBCAM_FOLLOW_Nordhavn,2,2,false
WEBCAM_FOLLOW_Oksbølvej,1,1,false
WEBCAM_FOLLOW_Ringsted_13,0,0,false
WEBCAM_FOLLOW_Roskilde_10,1,1,false
WEBCAM_FOLLOW_Ruten,1,1,false
WEBCAM_FOLLOW_Rødekro,2,2,false
WEBCAM_FOLLOW_Slotsherrensvej,3,3,false
WEBCAM_FOLLOW_Tystrupvej,0,0,false
WEBCAM_FOLLOW_Universitetsboulevarden,3,2,false
WEBCAM_FOLLOW_Vigerslevvej,2,2,false
WEBCAM_FOLLOW_Ålekistevej,0,0,false
WEBCAM_OPEN,1686,112,false
WEBCAM_OPEN_,56051,3960,false
WEBCAM_UNFOLLOW,1,1,false
WEBCAM_UNFOLLOW_Brenderup,0,0,false
WEBCAM_UNFOLLOW_Hemdrup,7,1,false
WEBCAM_UNFOLLOW_Nordhavn,0,0,false
WEBCAM_UNFOLLOW_Oksbølvej,0,0,false
WEBCAM_UNFOLLOW_Ringsted_13,0,0,false
WEBCAM_UNFOLLOW_Roskilde_10,0,0,false
WEBCAM_UNFOLLOW_Rødekro,0,0,false
WEBCAM_UNFOLLOW_Slotsherrensvej,1,1,false
WEBCAM_UNFOLLOW_Tystrupvej,0,0,false
WEBCAM_UNFOLLOW_Universitetsboulevarden,1,1,false
WEBCAM_UNFOLLOW_Vigerslevvej,1,1,false
WEBCAM_UNFOLLOW_Ålekistevej,0,0,false
