# ----------------------------------------
# Hændelser
# ----------------------------------------
Hændelsesnavn,Antal,Brugere,Markér som konvertering
ACCEPTANCE_ACCEPT_Geofences,0,0,false
ACTIONBAR_SELECT,0,0,false
ACTIONBAR_SELECT_CENTERPOSITION_ICON,260,107,false
ACTIONBAR_SELECT_PLAY_ICON,271,140,false
app_clear_data,4,3,false
app_remove,372,372,false
app_update,335,334,false
EVENT_FOLLOW,0,0,true
EVENT_FOLLOW_TrafficEventA,42,39,false
EVENT_FOLLOW_WinterArea,1,1,false
EVENT_OPEN,20,6,false
EVENT_OPEN_fullscreen,619,360,false
EVENT_OPEN_fullscreen_traffic,2412,529,false
EVENT_OPEN_fullscreen_winterarea,199,146,false
EVENT_SELECT,1,1,false
EVENT_SELECT_CENTERPOSITION_ICON,551,194,false
EVENT_START_,0,0,false
EVENT_UNFOLLOW_TrafficEventA,8,8,false
EVENT_UNFOLLOW_WinterArea,0,0,false
FEEDBACK_SELECT_phonelink_80202060,87,59,false
first_open,688,687,true
LIST_OPEN,0,0,false
LIST_OPEN_,331,184,false
LIST_OPEN_P4LIST,68,33,false
LIST_SELECT,4,2,false
LIST_SELECT_itemtype_P4Area,9,6,false
LIST_SELECT_itemtype_P4EventContent,114,32,false
LIST_SELECT_itemtype_String,108,6,false
LIST_SELECT_itemtype_Traffic,31,8,false
LIST_SELECT_itemtype_TrafficContent,58,36,false
LIST_SELECT_itemtype_WebCam,56,18,false
LIST_SELECT_itemtype_WebcamContent,729,118,false
LIST_SELECT_itemtype_WindTemperatureCont,37,17,false
LIST_SELECT_section_Trafikmeldinger,526,228,false
LIST_SELECT_section_Webkamera,414,181,false
MAP_SELECT,242,43,false
MAP_SELECT_Glatføre,17200,5723,false
MAP_SELECT_Listevisning,1,1,false
MAP_SELECT_Saltning,588,335,false
MAP_SELECT_Serviceniveauer,196,97,false
MAP_SELECT_Temperatur,2799,404,false
MAP_SELECT_Trafikinfo,6927,1212,false
MAP_SELECT_Vind,1093,177,false
MAP_SELECT_Webkamera,8082,1129,false
NAVIGATIONMENU_OPEN,3,3,false
NAVIGATIONMENU_OPEN_,1082,603,false
NAVIGATIONMENU_SELECT,0,0,false
NAVIGATIONMENU_SELECT_ABOUT_APP,28,18,false
NAVIGATIONMENU_SELECT_applink_trafikinfo,78,66,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_OF,50,48,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_ON,10,10,false
NAVIGATIONMENU_SELECT_FEEDBACK,14,10,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_OFF,42,40,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_ON,64,56,false
NAVIGATIONMENU_SELECT_SUBSCRIPTIONS_OVER,16,1,false
os_update,2898,2794,false
PROJECT_FOLLOW_2,1,1,false
PROJECT_FOLLOW_3,1,1,false
PROJECT_FOLLOW_4,3,3,false
SCREEN_START,83,21,false
SCREEN_START_MainActivity,13472,2348,false
screen_view,38188,6306,false
SCREEN_VIEW,25701,2489,false
SCREEN_VIEW_,21566,3867,false
session_start,9739,3782,false
SUBSCRIPTIONS_OVERVIEW_OPEN_ROUTE_AREA,3,1,false
SUBSCRIPTIONS_OVERVIEW_OPEN_WINTER_AREA,0,0,false
SUBSCRIPTIONS_OVERVIEW_SELECT_ADD_AREA,1,1,false
SUBSCRIPTIONS_OVERVIEW_SELECT_ROUTE_AREA,7,1,false
WEBCAM_FOLLOW,0,0,false
WEBCAM_FOLLOW_,113,42,false
WEBCAM_FOLLOW_Industrivej,0,0,false
WEBCAM_FOLLOW_Ringsted_13,0,0,false
WEBCAM_FOLLOW_Roskilde_10,0,0,false
WEBCAM_FOLLOW_Ruten,1,1,false
WEBCAM_FOLLOW_Ålekistevej,1,1,false
WEBCAM_OPEN,47,6,false
WEBCAM_OPEN_,7729,709,false
