# ----------------------------------------
# Hændelser
# ----------------------------------------
Hændelsesnavn,Antal,Brugere,Markér som konvertering
ACCEPTANCE_ACCEPT_Geofences,8,8,false
ACTIONBAR_SELECT,1,1,false
ACTIONBAR_SELECT_CENTERPOSITION_ICON,201,104,false
ACTIONBAR_SELECT_PLAY_ICON,427,210,false
app_clear_data,4,4,false
app_remove,517,517,false
app_update,350,350,false
EVENT_FOLLOW,1,1,true
EVENT_FOLLOW_TrafficEventA,58,47,false
EVENT_FOLLOW_WinterArea,175,10,false
EVENT_OPEN,63,11,false
EVENT_OPEN_fullscreen,785,443,false
EVENT_OPEN_fullscreen_traffic,3572,695,false
EVENT_OPEN_fullscreen_winterarea,138,103,false
EVENT_SELECT,1,1,false
EVENT_SELECT_CENTERPOSITION_ICON,620,255,false
EVENT_START_,2,1,false
EVENT_UNFOLLOW_TrafficEventA,13,11,false
EVENT_UNFOLLOW_WinterArea,106,8,false
FEEDBACK_SELECT_phonelink_80202060,66,40,false
first_open,698,698,true
LIST_OPEN,6,4,false
LIST_OPEN_,425,189,false
LIST_OPEN_P4LIST,78,46,false
LIST_SELECT,23,7,false
LIST_SELECT_itemtype_P4Area,8,5,false
LIST_SELECT_itemtype_P4EventContent,182,43,false
LIST_SELECT_itemtype_String,11,3,false
LIST_SELECT_itemtype_Traffic,25,9,false
LIST_SELECT_itemtype_TrafficContent,80,48,false
LIST_SELECT_itemtype_WebCam,60,11,false
LIST_SELECT_itemtype_WebcamContent,478,94,false
LIST_SELECT_itemtype_WindTemperatureCont,72,16,false
LIST_SELECT_section_Trafikmeldinger,544,234,false
LIST_SELECT_section_Webkamera,307,162,false
MAP_SELECT,326,54,false
MAP_SELECT_Glatføre,17697,5921,false
MAP_SELECT_Listevisning,1,1,false
MAP_SELECT_Saltning,792,369,false
MAP_SELECT_Serviceniveauer,302,114,false
MAP_SELECT_Temperatur,1895,401,false
MAP_SELECT_Trafikinfo,8523,1428,false
MAP_SELECT_Vind,993,220,false
MAP_SELECT_Webkamera,5996,1052,false
NAVIGATIONMENU_OPEN,12,6,false
NAVIGATIONMENU_OPEN_,1155,682,false
NAVIGATIONMENU_SELECT,3,1,false
NAVIGATIONMENU_SELECT_ABOUT_APP,40,30,false
NAVIGATIONMENU_SELECT_applink_trafikinfo,68,60,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_OF,58,54,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_ON,7,6,false
NAVIGATIONMENU_SELECT_FEEDBACK,24,14,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_OFF,84,63,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_ON,120,94,false
NAVIGATIONMENU_SELECT_SUBSCRIPTIONS_OVER,12,2,false
os_update,3106,3021,false
PROJECT_FOLLOW_4,15,8,false
SCREEN_START,153,30,false
SCREEN_START_MainActivity,11699,2468,false
screen_view,36077,6647,false
SCREEN_VIEW,22963,2613,false
SCREEN_VIEW_,21641,4016,false
session_start,9732,3999,false
SUBSCRIPTIONS_OVERVIEW_OPEN_WINTER_AREA,11,2,false
WEBCAM_FOLLOW,1,1,false
WEBCAM_FOLLOW_,129,39,false
WEBCAM_FOLLOW_Blåhøj,0,0,false
WEBCAM_FOLLOW_Industrivej,1,1,false
WEBCAM_FOLLOW_Ringsted_13,1,1,false
WEBCAM_FOLLOW_Roskilde_10,1,1,false
WEBCAM_OPEN,30,8,false
WEBCAM_OPEN_,5800,618,false
