# ----------------------------------------
# Hændelser
# ----------------------------------------
Hændelsesnavn,Antal,Brugere,Markér som konvertering
ACTIONBAR_SELECT,1,1,false
ACTIONBAR_SELECT_CENTERPOSITION_ICON,270,141,false
ACTIONBAR_SELECT_PLAY_ICON,576,277,false
app_clear_data,9,7,false
app_remove,813,812,false
app_update,403,403,false
EVENT_FOLLOW,0,0,true
EVENT_FOLLOW_TrafficEventA,79,65,false
EVENT_FOLLOW_WinterArea,7,5,false
EVENT_OPEN,59,12,false
EVENT_OPEN_fullscreen,970,539,false
EVENT_OPEN_fullscreen_traffic,3882,780,false
EVENT_OPEN_fullscreen_winterarea,211,125,false
EVENT_SELECT,5,2,false
EVENT_SELECT_CENTERPOSITION_ICON,513,271,false
EVENT_UNFOLLOW,0,0,false
EVENT_UNFOLLOW_TrafficEventA,28,21,false
EVENT_UNFOLLOW_WinterArea,4,4,false
FEEDBACK_SELECT_phonelink_80202060,94,55,false
first_open,655,655,true
LIST_OPEN,7,5,false
LIST_OPEN_,460,216,false
LIST_OPEN_P4LIST,107,57,false
LIST_SELECT,19,6,false
LIST_SELECT_itemtype_P4Area,9,7,false
LIST_SELECT_itemtype_P4EventContent,119,35,false
LIST_SELECT_itemtype_String,20,4,false
LIST_SELECT_itemtype_Traffic,36,15,false
LIST_SELECT_itemtype_TrafficContent,82,44,false
LIST_SELECT_itemtype_WebCam,41,15,false
LIST_SELECT_itemtype_WebcamContent,424,102,false
LIST_SELECT_itemtype_WindTemperatureCont,41,7,false
LIST_SELECT_section_Trafikmeldinger,620,278,false
LIST_SELECT_section_Webkamera,366,170,false
MAP_SELECT,431,77,false
MAP_SELECT_Glatføre,21121,6831,false
MAP_SELECT_Listevisning,0,0,false
MAP_SELECT_Saltning,1012,573,false
MAP_SELECT_Serviceniveauer,209,119,false
MAP_SELECT_Temperatur,2552,575,false
MAP_SELECT_Trafikinfo,9126,1756,false
MAP_SELECT_Vind,1070,223,false
MAP_SELECT_Webkamera,6975,1293,false
NAVIGATIONMENU_OPEN,11,7,false
NAVIGATIONMENU_OPEN_,1436,853,false
NAVIGATIONMENU_SELECT,2,2,false
NAVIGATIONMENU_SELECT_ABOUT_APP,37,32,false
NAVIGATIONMENU_SELECT_applink_trafikinfo,74,69,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_OF,94,89,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_ON,9,8,false
NAVIGATIONMENU_SELECT_FEEDBACK,11,10,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_OFF,87,72,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_ON,99,79,false
NAVIGATIONMENU_SELECT_SUBSCRIPTIONS_OVER,0,0,false
os_update,3165,3090,false
PROJECT_FOLLOW_4,12,10,false
SCREEN_START,163,41,false
SCREEN_START_MainActivity,13687,2931,false
SCREEN_VIEW,26390,3132,false
screen_view,42770,7632,false
SCREEN_VIEW_,25731,4532,false
session_start,11991,4933,false
WEBCAM_FOLLOW,0,0,false
WEBCAM_FOLLOW_,126,44,false
WEBCAM_FOLLOW_Blåhøj,1,1,false
WEBCAM_FOLLOW_Brenderup,0,0,false
WEBCAM_FOLLOW_Bøjden,0,0,false
WEBCAM_FOLLOW_Everdrup,0,0,false
WEBCAM_FOLLOW_Industrivej,0,0,false
WEBCAM_FOLLOW_Langetved,0,0,false
WEBCAM_FOLLOW_Ringsted_13,1,1,false
WEBCAM_FOLLOW_Roskilde_10,1,1,false
WEBCAM_FOLLOW_Tystrupvej,0,0,false
WEBCAM_FOLLOW_Ålekistevej,0,0,false
WEBCAM_OPEN,73,12,false
WEBCAM_OPEN_,6425,719,false
WEBCAM_UNFOLLOW_Blåhøj,0,0,false
WEBCAM_UNFOLLOW_Langetved,0,0,false
WEBCAM_UNFOLLOW_Roskilde_10,0,0,false
WEBCAM_UNFOLLOW_Tystrupvej,0,0,false
WEBCAM_UNFOLLOW_Ålekistevej,0,0,false
