# ----------------------------------------
# Hændelser
# ----------------------------------------
Hændelsesnavn,Antal,Brugere,Markér som konvertering
ACTIONBAR_SELECT,50,16,false
ACTIONBAR_SELECT_CENTERPOSITION_ICON,6081,2382,false
ACTIONBAR_SELECT_PLAY_ICON,9370,4165,false
app_clear_data,17,16,false
app_remove,1377,1376,false
app_update,4242,4220,false
EVENT_FOLLOW,15,11,true
EVENT_FOLLOW_TrafficEventA,601,431,false
EVENT_FOLLOW_TrafficEventB,0,0,false
EVENT_FOLLOW_WinterArea,1597,1080,false
EVENT_OPEN,2479,146,false
EVENT_OPEN_fullscreen,11219,3688,false
EVENT_OPEN_fullscreen_roadwork,41,35,false
EVENT_OPEN_fullscreen_traffic,29621,5803,false
EVENT_OPEN_fullscreen_winterarea,106611,11407,false
EVENT_SELECT,42,18,false
EVENT_SELECT_CENTERPOSITION_ICON,10169,4528,false
EVENT_START_,3,1,false
EVENT_UNFOLLOW,13,7,false
EVENT_UNFOLLOW_TrafficEventA,171,134,false
EVENT_UNFOLLOW_TrafficEventB,0,0,false
EVENT_UNFOLLOW_WinterArea,869,624,false
FEEDBACK_SELECT_phonelink_80202060,683,422,false
first_open,9304,9210,true
LIST_OPEN,129,57,false
LIST_OPEN_,12014,5050,false
LIST_OPEN_P4LIST,1623,865,false
LIST_SELECT,253,60,false
LIST_SELECT_itemtype_P4Area,65,46,false
LIST_SELECT_itemtype_P4EventContent,2239,639,false
LIST_SELECT_itemtype_String,115,52,false
LIST_SELECT_itemtype_Traffic,607,265,false
LIST_SELECT_itemtype_TrafficContent,1816,998,false
LIST_SELECT_itemtype_WebCam,2097,540,false
LIST_SELECT_itemtype_WebcamContent,26421,2973,false
LIST_SELECT_itemtype_WindTemperatureCont,351,190,false
LIST_SELECT_section_Trafikmeldinger,20876,5755,false
LIST_SELECT_section_Webkamera,12430,4079,false
MAP_SELECT,13836,300,false
MAP_SELECT_,26,10,false
MAP_SELECT_Glatføre,386982,34981,false
MAP_SELECT_Listevisning,136,53,false
MAP_SELECT_Saltning,195211,18865,false
MAP_SELECT_Serviceniveauer,14902,4486,false
MAP_SELECT_Temperatur,84885,7800,false
MAP_SELECT_Trafikinfo,124359,18961,false
MAP_SELECT_Vind,9563,2867,false
MAP_SELECT_Webkamera,260330,18856,false
NAVIGATIONMENU_OPEN,177,79,false
NAVIGATIONMENU_OPEN_,27956,11897,false
NAVIGATIONMENU_SELECT,59,23,false
NAVIGATIONMENU_SELECT_ABOUT_APP,1110,794,false
NAVIGATIONMENU_SELECT_applink_trafikinfo,681,562,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_OF,1798,1597,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_ON,197,174,false
NAVIGATIONMENU_SELECT_FEEDBACK,164,154,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_OFF,1474,1088,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_ON,2048,1581,false
NAVIGATIONMENU_SELECT_SUBSCRIPTIONS_OVER,24,4,false
os_update,8601,8533,false
SCREEN_START,4713,140,false
SCREEN_START_MainActivity,388567,12902,false
SCREEN_VIEW,760864,13329,false
screen_view,1031737,37874,false
SCREEN_VIEW_,651929,24798,false
session_start,249247,36041,false
SUBSCRIPTIONS_OVERVIEW_OPEN_ROUTE_AREA,7,2,false
SUBSCRIPTIONS_OVERVIEW_OPEN_TRAFFIC,2,1,false
SUBSCRIPTIONS_OVERVIEW_OPEN_WINTER_AREA,11,1,false
SUBSCRIPTIONS_OVERVIEW_SELECT_ADD_AREA,4,2,false
SUBSCRIPTIONS_OVERVIEW_SELECT_NOTIFICATI,2,1,false
SUBSCRIPTIONS_OVERVIEW_SELECT_ROUTE_AREA,6,2,false
WEBCAM_FOLLOW,16,8,false
WEBCAM_FOLLOW_,3248,1161,false
WEBCAM_FOLLOW_Blåhøj,5,3,false
WEBCAM_FOLLOW_Brenderup,5,4,false
WEBCAM_FOLLOW_Bøjden,7,5,false
WEBCAM_FOLLOW_Everdrup,8,7,false
WEBCAM_FOLLOW_Hemdrup,20,8,false
WEBCAM_FOLLOW_Industrivej,14,5,false
WEBCAM_FOLLOW_Langetved,7,7,false
WEBCAM_FOLLOW_Nordhavn,12,8,false
WEBCAM_FOLLOW_Oksbølvej,3,3,false
WEBCAM_FOLLOW_Ringsted_13,6,6,false
WEBCAM_FOLLOW_Roskilde_10,11,9,false
WEBCAM_FOLLOW_Ruten,3,3,false
WEBCAM_FOLLOW_Rødekro,9,5,false
WEBCAM_FOLLOW_Slotsherrensvej,11,5,false
WEBCAM_FOLLOW_Tystrupvej,2,2,false
WEBCAM_FOLLOW_Universitetsboulevarden,6,6,false
WEBCAM_FOLLOW_Vigerslevvej,21,10,false
WEBCAM_FOLLOW_Ålekistevej,7,3,false
WEBCAM_OPEN,4165,141,false
WEBCAM_OPEN_,285526,12305,false
WEBCAM_UNFOLLOW,2,1,false
WEBCAM_UNFOLLOW_Blåhøj,2,1,false
WEBCAM_UNFOLLOW_Brenderup,0,0,false
WEBCAM_UNFOLLOW_Bøjden,2,1,false
WEBCAM_UNFOLLOW_Everdrup,2,1,false
WEBCAM_UNFOLLOW_Hemdrup,8,3,false
WEBCAM_UNFOLLOW_Industrivej,0,0,false
WEBCAM_UNFOLLOW_Nordhavn,4,3,false
WEBCAM_UNFOLLOW_Oksbølvej,1,1,false
WEBCAM_UNFOLLOW_Ringsted_13,2,2,false
WEBCAM_UNFOLLOW_Roskilde_10,2,2,false
WEBCAM_UNFOLLOW_Ruten,0,0,false
WEBCAM_UNFOLLOW_Rødekro,0,0,false
