# ----------------------------------------
# Hændelser
# ----------------------------------------
Hændelsesnavn,Antal,Brugere,Markér som konvertering
ACTIONBAR_SELECT,126,49,false
ACTIONBAR_SELECT_CENTERPOSITION_ICON,3132,1319,false
ACTIONBAR_SELECT_PLAY_ICON,5787,2417,false
app_clear_data,13,13,false
app_remove,353,353,false
app_update,9265,9037,false
EVENT_FOLLOW,58,32,true
EVENT_FOLLOW_TrafficEventA,258,203,false
EVENT_FOLLOW_TrafficEventB,5,5,false
EVENT_FOLLOW_WinterArea,1436,723,false
EVENT_OPEN,3945,321,false
EVENT_OPEN_fullscreen,5971,1846,false
EVENT_OPEN_fullscreen_roadwork,70,53,false
EVENT_OPEN_fullscreen_traffic,8690,2153,false
EVENT_OPEN_fullscreen_winterarea,62687,5369,false
EVENT_SELECT,99,45,false
EVENT_SELECT_CENTERPOSITION_ICON,4553,1974,false
EVENT_UNFOLLOW,34,18,false
EVENT_UNFOLLOW_TrafficEventA,73,62,false
EVENT_UNFOLLOW_WinterArea,480,251,false
FEEDBACK_SELECT_phonelink_80202060,230,161,false
first_open,6875,6827,true
LIST_OPEN,487,182,false
LIST_OPEN_,15339,5808,false
LIST_OPEN_P4LIST,1242,794,false
LIST_SELECT,688,177,false
LIST_SELECT_itemtype_P4Area,34,29,false
LIST_SELECT_itemtype_P4EventContent,571,222,false
LIST_SELECT_itemtype_String,387,167,false
LIST_SELECT_itemtype_Traffic,164,94,false
LIST_SELECT_itemtype_TrafficContent,423,272,false
LIST_SELECT_itemtype_WebCam,963,429,false
LIST_SELECT_itemtype_WebcamContent,3154,1058,false
LIST_SELECT_itemtype_WindTemperatureCont,637,304,false
LIST_SELECT_section_Trafikmeldinger,7342,2665,false
LIST_SELECT_section_Webkamera,3088,1836,false
MAP_SELECT,20807,679,false
MAP_SELECT_,27,11,false
MAP_SELECT_Glatføre,152329,14718,false
MAP_SELECT_Listevisning,875,488,false
MAP_SELECT_Saltning,121706,10367,false
MAP_SELECT_Serviceniveauer,13,2,false
MAP_SELECT_Temperatur,67102,5330,false
MAP_SELECT_Trafikinfo,46922,9436,false
MAP_SELECT_Vind,5168,1762,false
MAP_SELECT_Webkamera,11473,2927,false
NAVIGATIONMENU_OPEN,469,219,false
NAVIGATIONMENU_OPEN_,21311,7905,false
NAVIGATIONMENU_SELECT,175,65,false
NAVIGATIONMENU_SELECT_ABOUT_APP,1020,670,false
NAVIGATIONMENU_SELECT_applink_trafikinfo,534,451,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_OF,2218,1887,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_ON,196,176,false
NAVIGATIONMENU_SELECT_FEEDBACK,162,141,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_OFF,1164,920,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_ON,1735,1423,false
os_update,8870,7011,false
SCREEN_START,4974,278,false
SCREEN_START_MainActivity,121570,6152,false
screen_view,353670,17361,false
SCREEN_VIEW,250770,7028,false
SCREEN_VIEW_,156365,10870,false
session_start,100889,16847,false
WEBCAM_FOLLOW,4,3,false
WEBCAM_FOLLOW_,549,225,false
WEBCAM_FOLLOW_Brenderup,0,0,false
WEBCAM_FOLLOW_Everdrup,1,1,false
WEBCAM_FOLLOW_Hemdrup,1,1,false
WEBCAM_FOLLOW_Industrivej,3,3,false
WEBCAM_FOLLOW_Langetved,1,1,false
WEBCAM_FOLLOW_Nordhavn,2,2,false
WEBCAM_FOLLOW_Ringsted_13,0,0,false
WEBCAM_FOLLOW_Roskilde_10,2,2,false
WEBCAM_FOLLOW_Ruten,2,2,false
WEBCAM_FOLLOW_Rødekro,2,2,false
WEBCAM_FOLLOW_Slotsherrensvej,6,5,false
WEBCAM_FOLLOW_Universitetsboulevarden,4,4,false
WEBCAM_FOLLOW_Vigerslevvej,4,4,false
WEBCAM_FOLLOW_Ålekistevej,3,3,false
WEBCAM_OPEN,810,151,false
WEBCAM_OPEN_,12643,2143,false
WEBCAM_UNFOLLOW,1,1,false
WEBCAM_UNFOLLOW_Rødekro,1,1,false
WEBCAM_UNFOLLOW_Slotsherrensvej,1,1,false
WEBCAM_UNFOLLOW_Vigerslevvej,1,1,false
