# ----------------------------------------
# Hændelser
# ----------------------------------------
Hændelsesnavn,Antal,Brugere,Markér som konvertering
ACTIONBAR_SELECT,181,69,false
ACTIONBAR_SELECT_CENTERPOSITION_ICON,630,360,false
ACTIONBAR_SELECT_PLAY_ICON,1481,722,false
app_clear_data,6,5,false
app_remove,266,266,false
app_update,6007,5962,false
EVENT_FOLLOW,58,34,true
EVENT_FOLLOW_TrafficEventA,92,75,false
EVENT_FOLLOW_TrafficEventB,1,1,false
EVENT_FOLLOW_WinterArea,292,109,false
EVENT_OPEN,2496,589,false
EVENT_OPEN_fullscreen,1260,750,false
EVENT_OPEN_fullscreen_roadwork,22,19,false
EVENT_OPEN_fullscreen_traffic,3074,751,false
EVENT_OPEN_fullscreen_winterarea,3359,1015,false
EVENT_SELECT,138,82,false
EVENT_SELECT_CENTERPOSITION_ICON,912,539,false
EVENT_START,0,0,false
EVENT_UNFOLLOW,10,7,false
EVENT_UNFOLLOW_TrafficEventA,13,11,false
EVENT_UNFOLLOW_WinterArea,31,23,false
FEEDBACK_SELECT_phonelink_80202060,75,44,false
first_open,2636,2630,true
LIST_OPEN,463,219,false
LIST_OPEN_,3218,1686,false
LIST_OPEN_P4LIST,522,369,false
LIST_SELECT,889,281,false
LIST_SELECT_itemtype_P4Area,14,12,false
LIST_SELECT_itemtype_P4EventContent,223,84,false
LIST_SELECT_itemtype_String,70,29,false
LIST_SELECT_itemtype_Traffic,26,16,false
LIST_SELECT_itemtype_TrafficContent,96,66,false
LIST_SELECT_itemtype_WebCam,190,89,false
LIST_SELECT_itemtype_WebcamContent,1148,401,false
LIST_SELECT_itemtype_WindTemperatureCont,153,77,false
LIST_SELECT_section_Trafikmeldinger,1451,706,false
LIST_SELECT_section_Webkamera,1090,680,false
MAP_SELECT,15805,2145,false
MAP_SELECT_,8,4,false
MAP_SELECT_Glatføre,28054,7338,false
MAP_SELECT_Listevisning,176,112,false
MAP_SELECT_Saltning,9566,2710,false
MAP_SELECT_Temperatur,4978,1425,false
MAP_SELECT_Trafikinfo,11723,3161,false
MAP_SELECT_Vind,2709,702,false
MAP_SELECT_Webkamera,4420,1051,false
NAVIGATIONMENU_OPEN,539,329,false
NAVIGATIONMENU_OPEN_,8511,2772,false
NAVIGATIONMENU_SELECT,135,82,false
NAVIGATIONMENU_SELECT_ABOUT_APP,197,165,false
NAVIGATIONMENU_SELECT_applink_trafikinfo,174,154,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_OF,884,637,false
NAVIGATIONMENU_SELECT_EMERGENCY_PHONE_ON,90,70,false
NAVIGATIONMENU_SELECT_FEEDBACK,27,27,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_OFF,381,300,false
NAVIGATIONMENU_SELECT_P4_AUTOPLAY_ON,636,532,false
os_update,4600,4014,false
SCREEN_START,4774,764,false
SCREEN_START_MainActivity,16913,2270,false
screen_view,55950,7699,false
SCREEN_VIEW,48970,4496,false
SCREEN_VIEW_,26377,5103,false
session_start,19136,7251,false
WEBCAM_FOLLOW,60,37,false
WEBCAM_FOLLOW_,222,97,false
WEBCAM_FOLLOW_Brenderup,1,1,false
WEBCAM_FOLLOW_Hemdrup,1,1,false
WEBCAM_FOLLOW_Nordhavn,1,1,false
WEBCAM_FOLLOW_Ringsted_13,1,1,false
WEBCAM_FOLLOW_Slotsherrensvej,2,2,false
WEBCAM_FOLLOW_Vigerslevvej,1,1,false
WEBCAM_FOLLOW_Ålekistevej,2,2,false
WEBCAM_OPEN,2919,421,false
WEBCAM_OPEN_,5746,810,false
WEBCAM_UNFOLLOW,5,3,false
WEBCAM_UNFOLLOW_Slotsherrensvej,1,1,false
