# ----------------------------------------
# Alle mobilappdata
# Aktive brugere
# 20180101-20180430
# ----------------------------------------

Indeks for dag,"Brugere, der er aktive i én dag"
01/01/2018,1.342
02/01/2018,1.613
03/01/2018,1.994
04/01/2018,1.748
05/01/2018,1.721
06/01/2018,1.313
07/01/2018,1.273
08/01/2018,2.042
09/01/2018,1.775
10/01/2018,2.156
11/01/2018,1.767
12/01/2018,1.731
13/01/2018,1.019
14/01/2018,1.063
15/01/2018,2.502
16/01/2018,2.333
17/01/2018,2.451
18/01/2018,2.469
19/01/2018,2.158
20/01/2018,1.345
21/01/2018,1.399
22/01/2018,2.300
23/01/2018,2.799
24/01/2018,2.816
25/01/2018,1.845
26/01/2018,2.063
27/01/2018,1.104
28/01/2018,1.269
29/01/2018,2.031
30/01/2018,1.970
31/01/2018,1.786
01/02/2018,2.042
02/02/2018,2.258
03/02/2018,1.964
04/02/2018,1.885
05/02/2018,2.401
06/02/2018,1.878
07/02/2018,1.990
08/02/2018,1.980
09/02/2018,2.084
10/02/2018,1.261
11/02/2018,2.978
12/02/2018,2.236
13/02/2018,1.973
14/02/2018,1.627
15/02/2018,2.560
16/02/2018,2.413
17/02/2018,1.195
18/02/2018,1.261
19/02/2018,1.976
20/02/2018,1.697
21/02/2018,1.868
22/02/2018,1.772
23/02/2018,1.866
24/02/2018,1.297
25/02/2018,2.265
26/02/2018,2.519
27/02/2018,6.226
28/02/2018,7.017
01/03/2018,5.263
02/03/2018,4.162
03/03/2018,2.183
04/03/2018,2.028
05/03/2018,6.190
06/03/2018,4.294
07/03/2018,3.142
08/03/2018,4.060
09/03/2018,2.984
10/03/2018,1.594
11/03/2018,1.858
12/03/2018,5.385
13/03/2018,2.725
14/03/2018,2.277
15/03/2018,2.231
16/03/2018,2.604
17/03/2018,2.673
18/03/2018,1.705
19/03/2018,2.102
20/03/2018,3.250
21/03/2018,2.145
22/03/2018,2.881
23/03/2018,2.140
24/03/2018,1.554
25/03/2018,1.344
26/03/2018,1.740
27/03/2018,2.024
28/03/2018,3.601
29/03/2018,4.290
30/03/2018,1.985
31/03/2018,1.892
01/04/2018,2.868
02/04/2018,1.748
03/04/2018,3.023
04/04/2018,2.315
05/04/2018,2.331
06/04/2018,2.296
07/04/2018,1.296
08/04/2018,1.165
09/04/2018,2.087
10/04/2018,2.078
11/04/2018,1.844
12/04/2018,1.914
13/04/2018,2.382
14/04/2018,1.283
15/04/2018,1.255
16/04/2018,1.979
17/04/2018,1.900
18/04/2018,2.292
19/04/2018,2.221
20/04/2018,2.691
21/04/2018,1.496
22/04/2018,1.450
23/04/2018,2.240
24/04/2018,2.226
25/04/2018,2.240
26/04/2018,2.970
27/04/2018,1.776
28/04/2018,1.373
29/04/2018,1.455
30/04/2018,2.656
