# ----------------------------------------
# Alle mobilappdata
# Aktive brugere
# 20180101-20180430
# ----------------------------------------

Indeks for dag,"Brugere, der er aktive i én dag"
01/01/2018,7.165
02/01/2018,7.937
03/01/2018,8.819
04/01/2018,8.053
05/01/2018,7.873
06/01/2018,5.055
07/01/2018,4.585
08/01/2018,8.801
09/01/2018,7.503
10/01/2018,8.081
11/01/2018,7.124
12/01/2018,6.816
13/01/2018,4.069
14/01/2018,5.151
15/01/2018,8.902
16/01/2018,8.527
17/01/2018,8.732
18/01/2018,9.443
19/01/2018,8.698
20/01/2018,5.276
21/01/2018,5.102
22/01/2018,8.859
23/01/2018,10.091
24/01/2018,10.013
25/01/2018,8.020
26/01/2018,8.275
27/01/2018,4.715
28/01/2018,5.022
29/01/2018,8.422
30/01/2018,7.920
31/01/2018,7.613
01/02/2018,7.968
02/02/2018,8.204
03/02/2018,5.695
04/02/2018,5.959
05/02/2018,8.792
06/02/2018,7.481
07/02/2018,7.510
08/02/2018,7.423
09/02/2018,7.749
10/02/2018,4.364
11/02/2018,8.130
12/02/2018,8.680
13/02/2018,7.903
14/02/2018,7.379
15/02/2018,8.688
16/02/2018,8.395
17/02/2018,4.629
18/02/2018,4.868
19/02/2018,7.673
20/02/2018,6.692
21/02/2018,6.994
22/02/2018,7.094
23/02/2018,6.804
24/02/2018,4.616
25/02/2018,6.614
26/02/2018,8.531
27/02/2018,17.664
28/02/2018,20.206
01/03/2018,16.997
02/03/2018,15.158
03/03/2018,8.914
04/03/2018,8.775
05/03/2018,19.850
06/03/2018,16.367
07/03/2018,13.893
08/03/2018,15.958
09/03/2018,13.756
10/03/2018,8.954
11/03/2018,9.496
12/03/2018,19.370
13/03/2018,13.623
14/03/2018,12.707
15/03/2018,11.393
16/03/2018,11.856
17/03/2018,8.585
18/03/2018,6.688
19/03/2018,11.537
20/03/2018,13.094
21/03/2018,10.667
22/03/2018,11.878
23/03/2018,9.823
24/03/2018,5.676
25/03/2018,4.996
26/03/2018,9.007
27/03/2018,8.214
28/03/2018,11.429
29/03/2018,13.103
30/03/2018,8.544
31/03/2018,5.771
01/04/2018,7.750
02/04/2018,8.608
03/04/2018,10.700
04/04/2018,9.063
05/04/2018,9.099
06/04/2018,8.974
07/04/2018,4.983
08/04/2018,4.889
09/04/2018,8.705
10/04/2018,8.632
11/04/2018,8.099
12/04/2018,7.731
13/04/2018,8.420
14/04/2018,3.950
15/04/2018,4.152
16/04/2018,7.254
17/04/2018,6.548
18/04/2018,7.237
19/04/2018,7.110
20/04/2018,8.487
21/04/2018,4.359
22/04/2018,4.290
23/04/2018,7.352
24/04/2018,7.401
25/04/2018,7.677
26/04/2018,9.651
27/04/2018,6.736
28/04/2018,4.157
29/04/2018,4.542
30/04/2018,8.854
