# ----------------------------------------
# Produktion
# Aktive brugere
# 20180101-20180430
# ----------------------------------------

Indeks for dag,"Brugere, der er aktive i én dag"
01/01/2018,3.812
02/01/2018,5.983
03/01/2018,8.936
04/01/2018,6.553
05/01/2018,6.742
06/01/2018,5.591
07/01/2018,4.807
08/01/2018,9.423
09/01/2018,6.822
10/01/2018,8.624
11/01/2018,6.138
12/01/2018,6.345
13/01/2018,3.549
14/01/2018,3.750
15/01/2018,14.633
16/01/2018,10.407
17/01/2018,10.848
18/01/2018,11.611
19/01/2018,9.042
20/01/2018,5.790
21/01/2018,5.882
22/01/2018,11.014
23/01/2018,14.009
24/01/2018,14.290
25/01/2018,5.219
26/01/2018,7.027
27/01/2018,2.646
28/01/2018,2.934
29/01/2018,6.468
30/01/2018,6.462
31/01/2018,5.635
01/02/2018,7.196
02/02/2018,8.814
03/02/2018,9.413
04/02/2018,8.845
05/02/2018,9.839
06/02/2018,7.290
07/02/2018,7.560
08/02/2018,7.549
09/02/2018,8.140
10/02/2018,4.605
11/02/2018,23.339
12/02/2018,10.333
13/02/2018,8.033
14/02/2018,6.021
15/02/2018,15.704
16/02/2018,13.893
17/02/2018,4.199
18/02/2018,5.097
19/02/2018,7.970
20/02/2018,6.404
21/02/2018,7.404
22/02/2018,7.128
23/02/2018,6.465
24/02/2018,6.661
25/02/2018,14.448
26/02/2018,14.832
27/02/2018,78.459
28/02/2018,83.695
01/03/2018,55.186
02/03/2018,37.842
03/03/2018,15.762
04/03/2018,10.412
05/03/2018,65.456
06/03/2018,29.585
07/03/2018,17.196
08/03/2018,24.510
09/03/2018,16.103
10/03/2018,6.709
11/03/2018,7.404
12/03/2018,43.903
13/03/2018,10.985
14/03/2018,8.792
15/03/2018,7.745
16/03/2018,10.806
17/03/2018,19.203
18/03/2018,7.874
19/03/2018,7.913
20/03/2018,17.196
21/03/2018,7.892
22/03/2018,12.469
23/03/2018,7.508
24/03/2018,5.520
25/03/2018,3.952
26/03/2018,5.373
27/03/2018,7.082
28/03/2018,20.895
29/03/2018,33.341
30/03/2018,8.209
31/03/2018,6.434
01/04/2018,18.764
02/04/2018,6.410
03/04/2018,11.022
04/04/2018,7.513
05/04/2018,6.450
06/04/2018,7.053
07/04/2018,3.000
08/04/2018,2.431
09/04/2018,6.026
10/04/2018,6.935
11/04/2018,6.462
12/04/2018,5.585
13/04/2018,7.415
14/04/2018,2.348
15/04/2018,2.522
16/04/2018,5.117
17/04/2018,4.895
18/04/2018,6.843
19/04/2018,6.047
20/04/2018,10.314
21/04/2018,5.197
22/04/2018,3.887
23/04/2018,5.851
24/04/2018,9.640
25/04/2018,6.270
26/04/2018,12.289
27/04/2018,6.637
28/04/2018,2.940
29/04/2018,3.564
30/04/2018,9.342
