# ----------------------------------------
# Alle mobilappdata
# Aktive brugere
# 20180101-20180430
# ----------------------------------------

Indeks for dag,"Brugere, der er aktive i én dag"
01/01/2018,1.408
02/01/2018,1.841
03/01/2018,2.484
04/01/2018,2.204
05/01/2018,2.415
06/01/2018,2.873
07/01/2018,3.047
08/01/2018,3.362
09/01/2018,2.532
10/01/2018,2.006
11/01/2018,1.634
12/01/2018,1.666
13/01/2018,1.912
14/01/2018,2.146
15/01/2018,3.810
16/01/2018,3.447
17/01/2018,4.046
18/01/2018,4.035
19/01/2018,3.184
20/01/2018,2.517
21/01/2018,2.635
22/01/2018,3.278
23/01/2018,2.420
24/01/2018,1.719
25/01/2018,1.304
26/01/2018,1.447
27/01/2018,1.289
28/01/2018,1.000
29/01/2018,1.342
30/01/2018,1.356
31/01/2018,1.672
01/02/2018,2.322
02/02/2018,2.711
03/02/2018,4.323
04/02/2018,3.956
05/02/2018,3.133
06/02/2018,2.808
07/02/2018,2.741
08/02/2018,2.375
09/02/2018,2.064
10/02/2018,2.168
11/02/2018,5.335
12/02/2018,3.491
13/02/2018,3.231
14/02/2018,2.509
15/02/2018,4.404
16/02/2018,3.755
17/02/2018,1.850
18/02/2018,1.999
19/02/2018,2.584
20/02/2018,2.298
21/02/2018,2.539
22/02/2018,2.524
23/02/2018,2.211
24/02/2018,2.250
25/02/2018,4.223
26/02/2018,3.918
27/02/2018,8.755
28/02/2018,9.929
01/03/2018,7.736
02/03/2018,6.730
03/03/2018,4.184
04/03/2018,4.197
05/03/2018,9.674
06/03/2018,5.566
07/03/2018,5.222
08/03/2018,6.098
09/03/2018,4.365
10/03/2018,3.452
11/03/2018,3.440
12/03/2018,3.539
13/03/2018,2.661
14/03/2018,2.733
15/03/2018,2.528
16/03/2018,2.484
17/03/2018,3.601
18/03/2018,2.334
19/03/2018,2.698
20/03/2018,3.352
21/03/2018,2.873
22/03/2018,3.646
23/03/2018,1.788
24/03/2018,1.133
25/03/2018,1.102
26/03/2018,1.636
27/03/2018,2.191
28/03/2018,4.197
29/03/2018,5.740
30/03/2018,2.383
31/03/2018,2.089
01/04/2018,3.929
02/04/2018,2.333
03/04/2018,2.812
04/04/2018,1.344
05/04/2018,1.231
06/04/2018,1.259
07/04/2018,780
08/04/2018,732
09/04/2018,854
10/04/2018,826
11/04/2018,751
12/04/2018,735
13/04/2018,630
14/04/2018,445
15/04/2018,399
16/04/2018,524
17/04/2018,413
18/04/2018,456
19/04/2018,425
20/04/2018,479
21/04/2018,292
22/04/2018,293
23/04/2018,413
24/04/2018,342
25/04/2018,359
26/04/2018,403
27/04/2018,248
28/04/2018,201
29/04/2018,200
30/04/2018,388
