# ----------------------------------------
# Alle mobilappdata
# Brugeroversigt
# 20180101-20180430
# ----------------------------------------

Indeks for dag,Sessioner
01/01/2018,11.033
02/01/2018,12.076
03/01/2018,13.913
04/01/2018,12.280
05/01/2018,12.021
06/01/2018,7.179
07/01/2018,6.481
08/01/2018,13.812
09/01/2018,11.658
10/01/2018,12.587
11/01/2018,10.974
12/01/2018,10.437
13/01/2018,5.659
14/01/2018,7.158
15/01/2018,14.248
16/01/2018,13.176
17/01/2018,13.920
18/01/2018,15.132
19/01/2018,13.389
20/01/2018,7.462
21/01/2018,7.147
22/01/2018,13.684
23/01/2018,16.205
24/01/2018,16.188
25/01/2018,12.074
26/01/2018,12.619
27/01/2018,6.623
28/01/2018,7.187
29/01/2018,13.101
30/01/2018,12.287
31/01/2018,11.993
01/02/2018,12.360
02/02/2018,12.783
03/02/2018,8.583
04/02/2018,8.894
05/02/2018,13.867
06/02/2018,11.751
07/02/2018,11.751
08/02/2018,11.481
09/02/2018,12.080
10/02/2018,6.379
11/02/2018,13.798
12/02/2018,13.911
13/02/2018,12.433
14/02/2018,11.744
15/02/2018,14.617
16/02/2018,13.119
17/02/2018,6.561
18/02/2018,7.001
19/02/2018,12.094
20/02/2018,10.538
21/02/2018,10.942
22/02/2018,11.127
23/02/2018,10.486
24/02/2018,6.449
25/02/2018,10.315
26/02/2018,13.598
27/02/2018,33.939
28/02/2018,38.444
01/03/2018,30.147
02/03/2018,25.445
03/03/2018,13.015
04/03/2018,12.903
05/03/2018,38.182
06/03/2018,28.088
07/03/2018,22.762
08/03/2018,26.807
09/03/2018,22.104
10/03/2018,13.184
11/03/2018,14.057
12/03/2018,36.285
13/03/2018,22.037
14/03/2018,19.999
15/03/2018,18.461
16/03/2018,19.264
17/03/2018,13.260
18/03/2018,9.474
19/03/2018,19.241
20/03/2018,22.175
21/03/2018,17.755
22/03/2018,19.607
23/03/2018,15.889
24/03/2018,8.085
25/03/2018,7.123
26/03/2018,14.729
27/03/2018,13.511
28/03/2018,19.696
29/03/2018,23.629
30/03/2018,13.732
31/03/2018,8.339
01/04/2018,11.878
02/04/2018,14.422
03/04/2018,16.659
04/04/2018,14.041
05/04/2018,13.962
06/04/2018,14.066
07/04/2018,6.945
08/04/2018,6.902
09/04/2018,13.784
10/04/2018,13.224
11/04/2018,12.241
12/04/2018,11.830
13/04/2018,13.049
14/04/2018,5.352
15/04/2018,5.852
16/04/2018,11.273
17/04/2018,10.117
18/04/2018,11.095
19/04/2018,10.848
20/04/2018,13.025
21/04/2018,5.986
22/04/2018,5.881
23/04/2018,11.322
24/04/2018,11.411
25/04/2018,12.012
26/04/2018,15.174
27/04/2018,10.007
28/04/2018,5.551
29/04/2018,6.418
30/04/2018,13.710
,1.631.770
