# ----------------------------------------
# Alle mobilappdata
# Brugeroversigt
# 20180101-20180430
# ----------------------------------------

Indeks for dag,Sessioner
01/01/2018,1.965
02/01/2018,2.405
03/01/2018,3.150
04/01/2018,2.631
05/01/2018,2.586
06/01/2018,1.995
07/01/2018,1.871
08/01/2018,3.099
09/01/2018,2.609
10/01/2018,3.228
11/01/2018,2.646
12/01/2018,2.546
13/01/2018,1.472
14/01/2018,1.552
15/01/2018,3.943
16/01/2018,3.528
17/01/2018,3.851
18/01/2018,3.980
19/01/2018,3.390
20/01/2018,2.005
21/01/2018,2.051
22/01/2018,3.529
23/01/2018,4.657
24/01/2018,4.591
25/01/2018,2.860
26/01/2018,3.147
27/01/2018,1.579
28/01/2018,1.872
29/01/2018,3.189
30/01/2018,3.171
31/01/2018,2.762
01/02/2018,3.240
02/02/2018,3.543
03/02/2018,3.072
04/02/2018,2.828
05/02/2018,3.751
06/02/2018,2.906
07/02/2018,3.128
08/02/2018,3.022
09/02/2018,3.198
10/02/2018,1.822
11/02/2018,5.239
12/02/2018,3.457
13/02/2018,3.057
14/02/2018,2.437
15/02/2018,4.200
16/02/2018,3.657
17/02/2018,1.667
18/02/2018,1.816
19/02/2018,3.031
20/02/2018,2.590
21/02/2018,2.847
22/02/2018,2.691
23/02/2018,2.811
24/02/2018,1.927
25/02/2018,3.747
26/02/2018,3.907
27/02/2018,12.413
28/02/2018,13.521
01/03/2018,9.428
02/03/2018,6.985
03/03/2018,3.089
04/03/2018,2.822
05/03/2018,11.430
06/03/2018,7.134
07/03/2018,4.980
08/03/2018,6.612
09/03/2018,4.549
10/03/2018,2.343
11/03/2018,2.711
12/03/2018,10.299
13/03/2018,4.230
14/03/2018,3.417
15/03/2018,3.410
16/03/2018,4.057
17/03/2018,4.339
18/03/2018,2.373
19/03/2018,3.023
20/03/2018,5.152
21/03/2018,3.229
22/03/2018,4.426
23/03/2018,3.371
24/03/2018,2.330
25/03/2018,2.059
26/03/2018,2.776
27/03/2018,3.169
28/03/2018,6.270
29/03/2018,7.964
30/03/2018,3.036
31/03/2018,2.867
01/04/2018,4.860
02/04/2018,2.672
03/04/2018,5.051
04/04/2018,3.750
05/04/2018,3.793
06/04/2018,3.770
07/04/2018,1.907
08/04/2018,1.728
09/04/2018,3.318
10/04/2018,3.455
11/04/2018,2.978
12/04/2018,3.042
13/04/2018,3.930
14/04/2018,1.977
15/04/2018,1.822
16/04/2018,3.238
17/04/2018,3.154
18/04/2018,3.793
19/04/2018,3.723
20/04/2018,4.703
21/04/2018,2.369
22/04/2018,2.266
23/04/2018,3.720
24/04/2018,3.645
25/04/2018,3.782
26/04/2018,5.086
27/04/2018,2.856
28/04/2018,2.104
29/04/2018,2.221
30/04/2018,4.481
,436.459
