# ----------------------------------------
# Produktion
# Målgruppeoversigt
# 20180101-20180430
# ----------------------------------------

Indeks for dag,Sessioner
01/01/2018,5.512
02/01/2018,8.560
03/01/2018,12.948
04/01/2018,9.568
05/01/2018,9.965
06/01/2018,8.628
07/01/2018,7.417
08/01/2018,13.099
09/01/2018,9.854
10/01/2018,11.598
11/01/2018,8.472
12/01/2018,8.908
13/01/2018,5.864
14/01/2018,5.902
15/01/2018,21.534
16/01/2018,14.800
17/01/2018,15.870
18/01/2018,16.767
19/01/2018,13.072
20/01/2018,8.835
21/01/2018,8.806
22/01/2018,15.492
23/01/2018,19.737
24/01/2018,20.474
25/01/2018,7.183
26/01/2018,9.679
27/01/2018,3.727
28/01/2018,4.123
29/01/2018,9.082
30/01/2018,9.049
31/01/2018,8.001
01/02/2018,10.223
02/02/2018,12.826
03/02/2018,13.734
04/02/2018,12.935
05/02/2018,13.717
06/02/2018,10.687
07/02/2018,10.988
08/02/2018,10.592
09/02/2018,11.556
10/02/2018,6.975
11/02/2018,35.614
12/02/2018,14.690
13/02/2018,11.519
14/02/2018,8.598
15/02/2018,23.955
16/02/2018,18.676
17/02/2018,6.100
18/02/2018,7.591
19/02/2018,11.538
20/02/2018,9.158
21/02/2018,10.761
22/02/2018,10.103
23/02/2018,9.208
24/02/2018,9.185
25/02/2018,21.877
26/02/2018,20.917
27/02/2018,119.918
28/02/2018,121.319
01/03/2018,80.289
02/03/2018,53.328
03/03/2018,20.744
04/03/2018,14.063
05/03/2018,99.642
06/03/2018,41.877
07/03/2018,24.560
08/03/2018,33.903
09/03/2018,22.419
10/03/2018,9.967
11/03/2018,10.811
12/03/2018,69.213
13/03/2018,15.230
14/03/2018,12.068
15/03/2018,11.009
16/03/2018,15.387
17/03/2018,28.653
18/03/2018,10.555
19/03/2018,10.935
20/03/2018,23.643
21/03/2018,11.040
22/03/2018,17.293
23/03/2018,10.282
24/03/2018,7.484
25/03/2018,5.471
26/03/2018,7.492
27/03/2018,10.112
28/03/2018,30.556
29/03/2018,50.961
30/03/2018,11.111
31/03/2018,8.927
01/04/2018,26.710
02/04/2018,8.733
03/04/2018,15.149
04/04/2018,10.151
05/04/2018,8.732
06/04/2018,9.621
07/04/2018,4.088
08/04/2018,3.314
09/04/2018,8.256
10/04/2018,9.388
11/04/2018,8.468
12/04/2018,7.547
13/04/2018,10.143
14/04/2018,3.231
15/04/2018,3.470
16/04/2018,7.107
17/04/2018,6.734
18/04/2018,9.300
19/04/2018,8.247
20/04/2018,13.923
21/04/2018,6.706
22/04/2018,5.257
23/04/2018,8.165
24/04/2018,12.682
25/04/2018,8.656
26/04/2018,16.526
27/04/2018,9.154
28/04/2018,4.102
29/04/2018,5.037
30/04/2018,13.012
,1.968.120
