# ----------------------------------------
# Alle mobilappdata
# Brugeroversigt
# 20180101-20180430
# ----------------------------------------

Indeks for dag,Sessioner
01/01/2018,1.449
02/01/2018,2.003
03/01/2018,2.963
04/01/2018,2.797
05/01/2018,3.074
06/01/2018,4.223
07/01/2018,3.854
08/01/2018,3.686
09/01/2018,2.943
10/01/2018,2.017
11/01/2018,1.449
12/01/2018,1.950
13/01/2018,2.968
14/01/2018,2.638
15/01/2018,5.023
16/01/2018,4.128
17/01/2018,4.936
18/01/2018,4.978
19/01/2018,4.037
20/01/2018,3.663
21/01/2018,3.546
22/01/2018,3.859
23/01/2018,2.455
24/01/2018,1.309
25/01/2018,942
26/01/2018,1.344
27/01/2018,1.372
28/01/2018,861
29/01/2018,1.016
30/01/2018,1.170
31/01/2018,1.634
01/02/2018,2.852
02/02/2018,3.701
03/02/2018,4.926
04/02/2018,4.217
05/02/2018,2.972
06/02/2018,3.144
07/02/2018,3.223
08/02/2018,2.512
09/02/2018,1.960
10/02/2018,2.497
11/02/2018,6.645
12/02/2018,3.507
13/02/2018,3.318
14/02/2018,2.355
15/02/2018,5.429
16/02/2018,3.850
17/02/2018,2.261
18/02/2018,2.166
19/02/2018,2.958
20/02/2018,2.504
21/02/2018,2.880
22/02/2018,2.507
23/02/2018,2.357
24/02/2018,2.421
25/02/2018,4.812
26/02/2018,3.816
27/02/2018,9.572
28/02/2018,10.955
01/03/2018,7.860
02/03/2018,7.122
03/03/2018,4.059
04/03/2018,3.697
05/03/2018,10.760
06/03/2018,5.024
07/03/2018,5.325
08/03/2018,5.739
09/03/2018,4.164
10/03/2018,3.792
11/03/2018,3.070
12/03/2018,2.637
13/03/2018,1.793
14/03/2018,2.226
15/03/2018,2.105
16/03/2018,2.215
17/03/2018,3.882
18/03/2018,2.087
19/03/2018,1.943
20/03/2018,2.732
21/03/2018,2.119
22/03/2018,3.194
23/03/2018,1.447
24/03/2018,926
25/03/2018,841
26/03/2018,1.158
27/03/2018,2.053
28/03/2018,4.289
29/03/2018,6.653
30/03/2018,2.055
31/03/2018,1.983
01/04/2018,3.758
02/04/2018,1.714
03/04/2018,2.338
04/04/2018,834
05/04/2018,778
06/04/2018,827
07/04/2018,473
08/04/2018,430
09/04/2018,443
10/04/2018,419
11/04/2018,387
12/04/2018,336
13/04/2018,448
14/04/2018,312
15/04/2018,288
16/04/2018,388
17/04/2018,359
18/04/2018,376
19/04/2018,398
20/04/2018,437
21/04/2018,305
22/04/2018,301
23/04/2018,342
24/04/2018,298
25/04/2018,331
26/04/2018,395
27/04/2018,259
28/04/2018,222
29/04/2018,253
30/04/2018,407
,318.410
