# ----------------------------------------
# Alle mobilappdata
# Brugeroversigt
# 20180101-20180430
# ----------------------------------------

Indeks for dag,Sessioner
01/01/2018,2.773
02/01/2018,3.603
03/01/2018,5.201
04/01/2018,4.718
05/01/2018,5.347
06/01/2018,6.520
07/01/2018,6.407
08/01/2018,6.446
09/01/2018,4.980
10/01/2018,3.783
11/01/2018,2.944
12/01/2018,3.430
13/01/2018,4.716
14/01/2018,4.686
15/01/2018,8.276
16/01/2018,7.195
17/01/2018,8.466
18/01/2018,8.286
19/01/2018,6.690
20/01/2018,5.814
21/01/2018,5.856
22/01/2018,6.934
23/01/2018,4.167
24/01/2018,2.815
25/01/2018,2.127
26/01/2018,2.523
27/01/2018,2.215
28/01/2018,1.692
29/01/2018,2.254
30/01/2018,2.337
31/01/2018,3.237
01/02/2018,4.611
02/02/2018,6.063
03/02/2018,8.960
04/02/2018,7.525
05/02/2018,5.611
06/02/2018,5.420
07/02/2018,5.364
08/02/2018,4.412
09/02/2018,3.815
10/02/2018,4.543
11/02/2018,12.153
12/02/2018,6.985
13/02/2018,6.287
14/02/2018,4.840
15/02/2018,10.146
16/02/2018,6.851
17/02/2018,3.894
18/02/2018,4.183
19/02/2018,5.359
20/02/2018,4.616
21/02/2018,5.477
22/02/2018,5.004
23/02/2018,4.107
24/02/2018,4.304
25/02/2018,8.895
26/02/2018,7.504
27/02/2018,18.594
28/02/2018,20.322
01/03/2018,15.220
02/03/2018,13.480
03/03/2018,7.565
04/03/2018,7.740
05/03/2018,20.979
06/03/2018,10.189
07/03/2018,11.082
08/03/2018,11.384
09/03/2018,8.528
10/03/2018,7.493
11/03/2018,6.345
12/03/2018,6.320
13/03/2018,4.754
14/03/2018,5.101
15/03/2018,4.636
16/03/2018,4.515
17/03/2018,6.674
18/03/2018,4.149
19/03/2018,4.928
20/03/2018,5.973
21/03/2018,5.471
22/03/2018,6.286
23/03/2018,3.149
24/03/2018,1.835
25/03/2018,1.782
26/03/2018,2.993
27/03/2018,4.396
28/03/2018,8.095
29/03/2018,12.582
30/03/2018,4.152
31/03/2018,3.663
01/04/2018,7.050
02/04/2018,4.315
03/04/2018,4.613
04/04/2018,2.158
05/04/2018,1.942
06/04/2018,1.977
07/04/2018,1.207
08/04/2018,1.097
09/04/2018,1.335
10/04/2018,1.288
11/04/2018,1.153
12/04/2018,1.143
13/04/2018,963
14/04/2018,647
15/04/2018,599
16/04/2018,800
17/04/2018,637
18/04/2018,697
19/04/2018,653
20/04/2018,729
21/04/2018,407
22/04/2018,444
23/04/2018,609
24/04/2018,519
25/04/2018,532
26/04/2018,583
27/04/2018,368
28/04/2018,278
29/04/2018,294
30/04/2018,583
,603.362
