# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180201-20180228
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Brugere
SCREEN,START,SCREEN:START:MainActivity,7.596,3.152,689
MAP,SELECT,MAP:SELECT:Trafikinfo,4.558,2.860,673
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,2.164,1.136,306
MAP,SELECT,MAP:SELECT:Webkamera,1.265,231,91
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,609,339,131
MAP,SELECT,MAP:SELECT:Vejarbejde,424,236,135
NAVIGATIONMENU,OPEN,(not set),398,305,182
LIST,OPEN,LIST:OPEN:P4LIST,351,252,127
LIST,OPEN,(not set),328,281,120
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,311,248,83
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,301,108,40
LIST,SELECT,LIST:SELECT:section:Bus - Hovedstaden,268,83,35
MAP,SELECT,MAP:SELECT:Temperatur,218,171,59
MAP,SELECT,MAP:SELECT:Cykel/saltning,172,88,44
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,160,83,47
LIST,SELECT,LIST:SELECT:section:Tog - Hovedstaden,145,58,31
LIST,SELECT,LIST:SELECT:section:Metro - Hovedstaden,136,65,29
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,135,73,49
LIST,SELECT,LIST:SELECT:section:Vejarbejder,115,38,18
LIST,SELECT,LIST:SELECT:section:Twitter - Hovedstaden,89,42,11
MAP,SELECT,MAP:SELECT:Trafikmeldinger,87,41,15
LIST,SELECT,LIST:SELECT:section:Webkamera,80,37,17
LIST,SELECT,LIST:SELECT:section:Temperatur,70,41,14
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,51,30,8
LIST,SELECT,LIST:SELECT:section:Lokaltog - Hovedstaden,42,21,8
LIST,SELECT,LIST:SELECT:section:Rejsetider,42,27,14
LIST,SELECT,LIST:SELECT:itemtype_Bus,41,30,8
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,38,23,11
