# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180701-20180731
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Brugere
SCREEN,START,SCREEN:START:MainActivity,4.990,2.153,604
MAP,SELECT,MAP:SELECT:Trafikinfo,2.909,2.023,597
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,1.033,626,209
MAP,SELECT,MAP:SELECT:Webkamera,737,213,108
MAP,SELECT,MAP:SELECT:Vejarbejde,558,228,137
LIST,OPEN,LIST:OPEN:P4LIST,359,219,105
NAVIGATIONMENU,OPEN,(not set),334,224,174
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,230,88,53
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,225,165,108
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,198,158,78
LIST,SELECT,LIST:SELECT:section:Bus - Hovedstaden,174,56,19
LIST,OPEN,(not set),150,92,37
MAP,SELECT,MAP:SELECT:Temperatur,77,41,33
MAP,SELECT,MAP:SELECT:Cykel/saltning,74,30,23
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,73,46,39
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,65,38,5
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,61,23,17
LIST,SELECT,LIST:SELECT:itemtype_Bus,58,38,5
LIST,SELECT,LIST:SELECT:section:Vejarbejder,46,21,15
LIST,SELECT,LIST:SELECT:section:Metro - Hovedstaden,39,19,15
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,36,22,19
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,32,20,16
LIST,SELECT,LIST:SELECT:section:Twitter - Hovedstaden,32,17,6
LIST,SELECT,LIST:SELECT:section:Webkamera,28,13,11
LIST,SELECT,LIST:SELECT:section:Tog - Hovedstaden,27,17,13
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,27,21,18
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_AREA,27,24,23
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Langebro-NV,27,25,12
LIST,SELECT,LIST:SELECT:section:Rejsetider,25,13,12
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,21,19,18
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,18,15,15
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vallensbæk-S---V,18,14,6
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,15,13,11
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:I Bike CPH App,15,13,12
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,14,12,12
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Amager-Strandvej,14,9,5
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Solrød,14,8,8
MAP,SELECT,MAP:SELECT:Trafikmeldinger,13,8,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Øster-Voldgade,13,12,8
LIST,SELECT,LIST:SELECT:section:P4 Trafik,11,5,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Gl.-Holte,11,8,6
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,10,6,5
LIST,SELECT,LIST:SELECT:itemtype_RoadWork,10,9,6
LIST,SELECT,LIST:SELECT:itemtype_STrain,10,6,5
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,10,7,7
