# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180301-20180331
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Brugere
SCREEN,START,SCREEN:START:MainActivity,8.848,3.661,765
MAP,SELECT,MAP:SELECT:Trafikinfo,5.308,3.351,753
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,2.446,1.411,361
MAP,SELECT,MAP:SELECT:Webkamera,1.632,306,118
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,772,421,157
MAP,SELECT,MAP:SELECT:Vejarbejde,560,285,159
LIST,OPEN,LIST:OPEN:P4LIST,412,331,151
LIST,OPEN,(not set),408,308,126
NAVIGATIONMENU,OPEN,(not set),352,285,193
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,315,123,45
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,313,264,97
MAP,SELECT,MAP:SELECT:Temperatur,217,179,85
LIST,SELECT,LIST:SELECT:section:Bus - Hovedstaden,214,79,41
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,197,82,48
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,162,88,44
MAP,SELECT,MAP:SELECT:Trafikmeldinger,115,41,12
LIST,SELECT,LIST:SELECT:section:Tog - Hovedstaden,113,58,34
MAP,SELECT,MAP:SELECT:Cykel/saltning,111,63,40
LIST,SELECT,LIST:SELECT:section:Webkamera,84,39,25
LIST,SELECT,LIST:SELECT:section:Metro - Hovedstaden,81,44,19
LIST,SELECT,LIST:SELECT:section:Vejarbejder,73,40,21
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,49,32,6
LIST,SELECT,LIST:SELECT:section:Temperatur,48,27,15
LIST,SELECT,LIST:SELECT:section:Twitter - Hovedstaden,48,23,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vallensbæk-S---V,46,40,18
LIST,SELECT,LIST:SELECT:itemtype_Bus,38,32,6
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,36,34,32
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47/O4-Ishøj,36,27,16
LIST,SELECT,LIST:SELECT:section:Rejsetider,35,25,17
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Langebro-NV,32,31,11
LIST,SELECT,LIST:SELECT:itemtype_WebCam,28,18,12
LIST,SELECT,LIST:SELECT:section:Lokaltog - Hovedstaden,26,20,11
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Bakkebølle---Ø,25,25,19
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Algestrup-S,25,24,14
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Rønnede-S,25,23,11
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,24,17,12
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Karlslunde-rasteplads---S,24,19,12
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Fiskebæk-N,24,23,15
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-16-Hillerød,24,21,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Ringsted,23,22,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Jyllingevej,23,19,12
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-16-Hareskoven,23,21,16
LIST,SELECT,LIST:SELECT:itemtype_STrain,21,16,12
