# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180901-20180930
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Brugere
SCREEN,START,SCREEN:START:MainActivity,8.804,3.708,675
MAP,SELECT,MAP:SELECT:Trafikinfo,4.730,3.363,670
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,2.254,1.326,320
MAP,SELECT,MAP:SELECT:Webkamera,1.080,307,156
MAP,SELECT,MAP:SELECT:Vejarbejde,696,293,145
LIST,OPEN,LIST:OPEN:P4LIST,583,411,154
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,498,347,139
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,380,315,112
NAVIGATIONMENU,OPEN,(not set),351,234,155
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,274,96,43
LIST,SELECT,LIST:SELECT:section:Bus - Hovedstaden,232,29,17
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,97,68,43
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,89,78,20
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,88,34,18
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,82,35,28
LIST,SELECT,LIST:SELECT:section:Twitter - Hovedstaden,80,39,7
MAP,SELECT,MAP:SELECT:Temperatur,80,49,39
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,78,70,12
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,69,57,40
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,59,11,4
LIST,SELECT,LIST:SELECT:itemtype_Bus,58,11,4
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,51,36,34
LIST,SELECT,LIST:SELECT:section:Tog - Hovedstaden,49,21,13
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kbh.-Lufthavn-V,49,29,19
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vallensbæk-S---V,44,33,13
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,38,18,13
LIST,SELECT,LIST:SELECT:section:Vejarbejder,34,20,15
LIST,SELECT,LIST:SELECT:section:Metro - Hovedstaden,33,16,14
