# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180201-20180228
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,7.687,4.448,1.182
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,2.109,1.238,490
WEBCAM,OPEN,(not set),2.023,437,166
NAVIGATIONMENU,OPEN,(not set),818,493,369
MAP,SELECT,MAP:SELECT:Webkamera,565,375,165
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,554,359,179
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,518,136,53
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,502,322,158
LIST,OPEN,(not set),483,357,219
MAP,SELECT,MAP:SELECT:Vejarbejde,428,308,242
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,396,322,156
MAP,SELECT,MAP:SELECT:Temperatur,332,218,105
LIST,SELECT,LIST:SELECT:section_Webkamera,276,165,77
LIST,SELECT,LIST:SELECT:section_S-Tog - Hovedstaden,265,161,104
EVENT,OPEN,EVENT:OPEN:fullscreen,203,174,125
LIST,SELECT,LIST:SELECT:section_Bus - Hovedstaden,188,110,82
MAP,SELECT,MAP:SELECT:Trafikmeldinger,176,101,17
LIST,SELECT,LIST:SELECT:section_Tog - Hovedstaden,154,101,65
WEBCAM,FOLLOW,(not set),150,38,20
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,148,65,54
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,133,63,53
MAP,SELECT,MAP:SELECT:P4 Trafik,107,82,55
MAP,SELECT,MAP:SELECT:Cykel/saltning,102,77,42
LIST,SELECT,LIST:SELECT:section_Metro - Hovedstaden,86,51,39
LIST,SELECT,LIST:SELECT:section_Vejarbejder,78,56,48
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,77,60,37
LIST,SELECT,LIST:SELECT:section_Temperatur og Vind,73,55,30
MAP,SELECT,MAP:SELECT:Listevisning,72,50,36
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,70,50,29
LIST,SELECT,LIST:SELECT:section_Rejsetider,65,43,42
LIST,SELECT,LIST:SELECT:section_Twitter,64,36,26
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,58,37,35
LIST,SELECT,LIST:SELECT:itemtype_STrainContent,57,36,34
LIST,SELECT,LIST:SELECT:itemtype_TrafficContent,52,34,17
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/Vinterferien/Sider/default.aspx?utm_source=Trafikinfo_app&utm_medium=app&utm_content=&utm_campaign=Vinterferie,49,47,45
LIST,SELECT,LIST:SELECT:section_P4 Trafik,48,29,24
LIST,SELECT,LIST:SELECT:section:Temperatur og Vind,48,29,2
LIST,SELECT,LIST:SELECT:itemtype_BusContent,41,25,23
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,40,25,23
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,34,4,4
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,25,22,18
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,25,23,23
LIST,SELECT,LIST:SELECT:section_Lokaltog - Hovedstaden,24,20,19
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,24,24,23
LIST,SELECT,LIST:SELECT:itemtype_TrainContent,22,15,10
EVENT,OPEN,EVENT:OPEN:fullscreen:train,21,15,10
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,18,17,16
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,17,8,4
LIST,SELECT,LIST:SELECT:itemtype_RoadworkContent,12,10,10
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,11,7,7
LIST,SELECT,LIST:SELECT:itemtype_TwitterContent,11,8,5
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:ibikecph://trafikkenhovedstaden,11,11,11
LIST,SELECT,LIST:SELECT:itemtype_TrimContent,10,6,6
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,9,8,6
LIST,SELECT,LIST:SELECT:itemtype_WindTemperatureContent,6,3,2
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,6,6,6
LIST,SELECT,LIST:SELECT:section:Webkamera,4,2,2
MAP,SELECT,MAP:SELECT:Vejarbejder,4,2,1
EVENT,OPEN,EVENT:OPEN:fullscreen:metro,3,3,3
LIST,SELECT,LIST:SELECT:itemtype_MetroContent,3,3,3
LIST,SELECT,LIST:SELECT:section:P4 Trafik,3,2,2
LIST,SELECT,LIST:SELECT:section:Bus - Hovedstaden,2,1,1
LIST,SELECT,LIST:SELECT:section:Rejsetider,2,1,1
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,1,1,1
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,1,1,1
LIST,SELECT,LIST:SELECT:subsection:rejsetider,1,1,1
