# ----------------------------------------
# Produktion
# Rapport til statistik
# 20180101-20180131
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),1.693.902,184.217,184.217,84.778
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),561.797,52.188,52.188,13.988
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),112.183,7.393,7.393,4.583
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,62.465,16.338,16.338,9.224
Map,layer-toggled-on,layer_id_15K3,59.951,50.378,50.378,13.552
Map,layer-toggled-on,layer_id_15E,59.919,50.378,50.378,13.552
Map,layer-toggled-on,layer_id_14,44.109,39.383,39.383,21.379
Map,layer-toggled-on,layer_id_13,44.105,39.380,39.380,21.378
Map,layer-toggled-on,layer_id_15F,39.913,36.073,36.073,11.519
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),29.232,2.203,2.203,767
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,27.689,23.022,23.022,12.649
Map,layer-toggled-on,layer_id_15K1,25.090,20.705,20.705,10.696
Map,layer-toggled-on,layer_id_15G,25.043,20.708,20.708,10.696
Map,layer-toggled-on,layer_id_15B,25.028,20.701,20.701,10.694
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,pc_winter_checkbox_car_GroupI,23.018,17.413,17.413,3.835
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,22.393,6.586,6.586,4.612
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,zoominbtn_id,19.584,5.687,5.687,2.173
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,18.086,11.643,11.643,8.709
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_winter_checkbox_car_GroupI,16.885,11.885,11.885,4.564
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,pc_winter_checkbox_car_GroupN,15.916,12.365,12.365,3.183
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_winter_checkbox_car_GroupG,14.687,9.916,9.916,5.097
Map,layer-toggled-on,layer_id_15C,13.415,11.111,11.111,4.089
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_winter_checkbox_car_GroupN,13.304,9.607,9.607,4.263
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=1,gtm.click,(not set),13.021,275,275,38
Map,layer-toggled-off,layer_id_19I1,10.846,9.286,9.286,4.599
Map,layer-toggled-off,layer_id_19I2,10.840,9.283,9.283,4.598
Map,layer-toggled-off,layer_id_19F1,10.839,9.282,9.282,4.596
Map,layer-toggled-off,layer_id_19G2,10.838,9.282,9.282,4.600
Map,layer-toggled-off,layer_id_19D1,10.837,9.282,9.282,4.600
Map,layer-toggled-off,layer_id_19G1,10.836,9.278,9.278,4.598
Map,layer-toggled-off,layer_id_19F2,10.835,9.281,9.281,4.599
Map,layer-toggled-off,layer_id_19E2,10.834,9.277,9.277,4.598
Map,layer-toggled-off,layer_id_19H2,10.833,9.280,9.280,4.600
Map,layer-toggled-off,layer_id_19E1,10.832,9.276,9.276,4.596
Map,layer-toggled-off,layer_id_19D2,10.827,9.273,9.273,4.598
Map,layer-toggled-off,layer_id_19A1,10.812,9.320,9.320,4.595
Map,layer-toggled-off,layer_id_19A2,10.809,9.321,9.321,4.595
Map,layer-toggled-off,layer_id_19H1,10.806,9.259,9.259,4.591
Map,layer-toggled-on,layer_id_17,9.873,7.739,7.739,4.235
Map,layer-toggled-on,layer_id_18,9.871,7.737,7.737,4.235
Map,layer-toggled-off,layer_id_15B,9.614,8.381,8.381,4.541
Map,layer-toggled-off,layer_id_15G,9.611,8.382,8.382,4.540
Map,layer-toggled-off,layer_id_15K1,9.560,8.382,8.382,4.540
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,(not set),9.192,610,610,492
https://trafikkort.vejdirektoratet.dk/index.html?lat=56.271&lon=9.938&zoom=9,gtm.click,(not set),8.738,1.034,1.034,693
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,mobile_winter_checkbox_car_GroupI,8.678,6.880,6.880,1.357
Map,layer-toggled-off,layer_id_15F,8.621,7.736,7.736,4.285
Map,layer-toggled-off,layer_id_15E,8.514,7.396,7.396,3.723
Map,layer-toggled-off,layer_id_15K3,8.471,7.396,7.396,3.719
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,tablet_winter_checkbox_car_GroupI,8.429,6.457,6.457,1.326
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,pc_main_checkbox_car_GroupA1,8.426,6.954,6.954,3.506
Map,layer-toggled-off,layer_id_19E3,8.362,7.088,7.088,3.711
Map,layer-toggled-off,layer_id_19H3,8.361,7.086,7.086,3.712
Map,layer-toggled-off,layer_id_19F3,8.360,7.090,7.090,3.713
Map,layer-toggled-off,layer_id_19G3,8.359,7.086,7.086,3.709
Map,layer-toggled-off,layer_id_19A3,8.358,7.109,7.109,3.746
Map,layer-toggled-off,layer_id_19I3,8.354,7.086,7.086,3.709
Map,layer-toggled-off,layer_id_19D3,8.353,7.084,7.084,3.713
https://trafikkort.vejdirektoratet.dk/,gtm.click,mainAppDiv,8.295,5.228,5.228,3.614
Map,layer-toggled-off,layer_id_11,7.923,6.766,6.766,3.493
https://trafikkort.vejdirektoratet.dk/index.html?lat=55.8&lon=12.361&zoom=9,gtm.click,(not set),7.658,1.081,1.081,386
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupF,7.044,5.261,5.261,2.879
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,zoomoutbtn_id,6.936,2.114,2.114,1.220
Map,layer-toggled-on,layer_id_19C2,6.678,6.049,6.049,4.514
Map,layer-toggled-on,layer_id_19C1,6.677,6.048,6.048,4.514
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_menu_button,6.407,4.326,4.326,2.989
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,pc_winter_checkbox_car_GroupG,6.371,4.706,4.706,1.938
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,infobox_content_id,6.370,4.175,4.175,2.338
https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupP1,gtm.click,(not set),5.998,473,473,416
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,vd_menu_button,5.982,3.708,3.708,1.201
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.2&lon=10.4&zoom=8,gtm.click,(not set),5.673,674,674,503
https://trafikkort.vejdirektoratet.dk/index.html?lat=57.087&lon=9.927&zoom=10,gtm.click,(not set),5.528,735,735,438
https://trafikkort.vejdirektoratet.dk/,gtm.click,tablet_winter_checkbox_car_GroupI,5.457,3.699,3.699,1.301
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA,5.453,3.967,3.967,2.187
Map,layer-toggled-off,layer_id_13,5.398,4.889,4.889,3.470
Map,layer-toggled-off,layer_id_14,5.395,4.887,4.887,3.469
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,mobile_winter_checkbox_car_GroupN,5.340,4.353,4.353,977
Map,layer-toggled-on,layer_id_19B1,5.318,4.812,4.812,3.727
Map,layer-toggled-on,layer_id_19B2,5.310,4.812,4.812,3.725
Map,layer-toggled-on,layer_id_19C3,5.308,4.755,4.755,3.634
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,pc_wintersp_checkbox_car_GroupK,5.297,3.429,3.429,1.233
Map,layer-toggled-on,layer_id_15K5,5.246,4.552,4.552,3.634
Map,layer-toggled-on,layer_id_15W,5.246,4.551,4.551,3.633
Map,layer-toggled-on,layer_id_11,5.242,4.604,4.604,3.193
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupC,5.223,3.847,3.847,2.718
