# ----------------------------------------
# Produktion
# Rapport til statistik
# 20180201-20180228
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),4.467.439,346.208,346.208,178.526
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),1.405.984,88.891,88.891,30.778
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),570.596,30.202,30.202,18.823
Map,layer-toggled-on,layer_id_13,148.445,127.430,127.430,66.659
Map,layer-toggled-on,layer_id_14,148.444,127.424,127.424,66.659
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,122.966,35.728,35.728,22.493
Map,layer-toggled-on,layer_id_15K3,93.520,77.395,77.395,29.724
Map,layer-toggled-on,layer_id_15E,93.444,77.389,77.389,29.728
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,81.705,66.165,66.165,36.657
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,65.529,18.313,18.313,13.980
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,58.094,35.835,35.835,27.785
Map,layer-toggled-on,layer_id_15K1,56.922,45.200,45.200,27.564
Map,layer-toggled-on,layer_id_15G,56.821,45.197,45.197,27.563
Map,layer-toggled-on,layer_id_15B,56.819,45.197,45.197,27.566
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),53.808,2.898,2.898,1.037
Map,layer-toggled-on,layer_id_15F,51.546,47.178,47.178,22.039
Map,markerClick,layer_id_13 : 297,49.086,35.913,35.913,19.082
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.2&lon=10.4&zoom=8,gtm.click,(not set),45.088,4.124,4.124,3.111
Map,layer-toggled-off,layer_id_19A1,39.753,33.081,33.081,16.921
Map,layer-toggled-off,layer_id_19A2,39.746,33.070,33.070,16.910
Map,layer-toggled-off,layer_id_19A3,39.744,33.066,33.066,16.922
