# ----------------------------------------
# Produktion
# Rapport til statistik
# 20180301-20180331
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),5.536.131,479.211,479.211,237.740
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),1.243.736,86.333,86.333,31.641
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),694.294,41.078,41.078,24.288
Map,layer-toggled-on,layer_id_13,165.973,145.285,145.285,76.867
Map,layer-toggled-on,layer_id_14,165.960,145.282,145.282,76.879
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,163.946,46.928,46.928,28.335
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,93.161,77.611,77.611,42.470
Map,layer-toggled-on,layer_id_15K3,90.861,75.988,75.988,32.837
Map,layer-toggled-on,layer_id_15E,90.807,75.987,75.987,32.844
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,74.000,46.585,46.585,36.451
Map,layer-toggled-on,layer_id_15K1,71.321,56.085,56.085,33.831
Map,layer-toggled-on,layer_id_15G,71.179,56.087,56.087,33.848
Map,layer-toggled-on,layer_id_15B,71.161,56.078,56.078,33.840
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,71.095,20.764,20.764,15.896
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.2&lon=10.4&zoom=8,gtm.click,(not set),68.780,6.901,6.901,4.688
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),62.872,3.840,3.840,1.270
Map,layer-toggled-on,layer_id_15F,49.017,44.957,44.957,23.278
Map,layer-toggled-off,layer_id_19A2,44.868,38.413,38.413,19.897
Map,layer-toggled-off,layer_id_19A1,44.864,38.409,38.409,19.890
Map,layer-toggled-off,layer_id_19F1,44.681,38.204,38.204,18.949
Map,layer-toggled-off,layer_id_19F2,44.675,38.195,38.195,18.944
Map,layer-toggled-off,layer_id_19I2,44.658,38.193,38.193,18.949
Map,layer-toggled-off,layer_id_19I1,44.657,38.187,38.187,18.961
Map,layer-toggled-off,layer_id_19D1,44.656,38.181,38.181,18.937
Map,layer-toggled-off,layer_id_19H2,44.652,38.190,38.190,18.948
Map,layer-toggled-off,layer_id_19E1,44.645,38.180,38.180,18.951
Map,layer-toggled-off,layer_id_19G1,44.644,38.178,38.178,18.933
Map,layer-toggled-off,layer_id_19D2,44.638,38.164,38.164,18.955
Map,layer-toggled-off,layer_id_19H1,44.637,38.171,38.171,18.940
Map,layer-toggled-off,layer_id_19G2,44.632,38.174,38.174,18.931
Map,layer-toggled-off,layer_id_19E2,44.629,38.170,38.170,18.941
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_winter_checkbox_car_GroupG,44.267,28.847,28.847,17.384
