# ----------------------------------------
# Produktion
# Rapport til statistik
# 20180401-20180430
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),1.411.544,163.827,163.827,86.433
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),158.831,12.549,12.549,6.216
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),126.871,8.281,8.281,5.531
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,50.047,12.366,12.366,8.056
Map,layer-toggled-on,layer_id_14,35.461,31.254,31.254,18.863
Map,layer-toggled-on,layer_id_13,35.460,31.251,31.251,18.858
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,21.624,18.095,18.095,10.452
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,17.793,5.021,5.021,3.860
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),17.456,1.515,1.515,625
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,17.269,10.979,10.979,8.893
https://trafikkort.vejdirektoratet.dk/,gtm.click,callIntrafficNoticeMobile,16.996,12.871,12.871,11.935
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,(not set),12.926,990,990,808
Map,layer-toggled-on,layer_id_15K3,10.565,9.127,9.127,5.010
Map,layer-toggled-on,layer_id_15E,10.559,9.125,9.125,5.009
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=1,gtm.click,(not set),10.082,193,193,40
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.2&lon=10.4&zoom=8,gtm.click,(not set),9.895,1.207,1.207,731
Map,layer-toggled-on,layer_id_19B1,9.626,8.590,8.590,6.762
Map,layer-toggled-on,layer_id_19C3,9.623,8.588,8.588,6.757
Map,layer-toggled-on,layer_id_19B2,9.620,8.586,8.586,6.757
Map,layer-toggled-on,layer_id_19B3,9.619,8.585,8.585,6.757
Map,layer-toggled-on,layer_id_19C1,9.617,8.583,8.583,6.759
Map,layer-toggled-on,layer_id_19C2,9.615,8.581,8.581,6.754
Map,markerClick,layer_id_13 : 297,9.047,7.206,7.206,4.631
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_menu_button,7.948,5.684,5.684,4.910
Map,layer-toggled-off,layer_id_19A1,7.340,6.411,6.411,4.271
Map,layer-toggled-off,layer_id_19H3,7.338,6.408,6.408,4.268
Map,layer-toggled-off,layer_id_19A2,7.337,6.409,6.409,4.270
Map,layer-toggled-off,layer_id_19F2,7.336,6.407,6.407,4.268
Map,layer-toggled-off,layer_id_19A3,7.335,6.406,6.406,4.267
Map,layer-toggled-off,layer_id_19H2,7.335,6.409,6.409,4.269
Map,layer-toggled-off,layer_id_19F3,7.334,6.405,6.405,4.266
Map,layer-toggled-off,layer_id_19E2,7.333,6.407,6.407,4.267
Map,layer-toggled-off,layer_id_19H1,7.333,6.403,6.403,4.266
Map,layer-toggled-off,layer_id_19I2,7.333,6.407,6.407,4.267
Map,layer-toggled-off,layer_id_19D2,7.332,6.408,6.408,4.269
Map,layer-toggled-off,layer_id_19G1,7.332,6.405,6.405,4.266
Map,layer-toggled-off,layer_id_19G3,7.332,6.403,6.403,4.265
Map,layer-toggled-off,layer_id_19D1,7.329,6.403,6.403,4.266
Map,layer-toggled-off,layer_id_19E3,7.329,6.402,6.402,4.266
Map,layer-toggled-off,layer_id_19F1,7.329,6.401,6.401,4.266
Map,layer-toggled-off,layer_id_19D3,7.327,6.400,6.400,4.265
Map,layer-toggled-off,layer_id_19G2,7.327,6.401,6.401,4.263
Map,layer-toggled-off,layer_id_19I1,7.327,6.400,6.400,4.264
Map,layer-toggled-off,layer_id_19I3,7.327,6.399,6.399,4.261
Map,layer-toggled-off,layer_id_19E1,7.325,6.403,6.403,4.267
https://trafikkort.vejdirektoratet.dk/,gtm.click,mainAppDiv,7.151,4.249,4.249,3.199
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupC,6.467,4.911,4.911,3.642
Map,layer-toggled-on,layer_id_17,6.392,5.182,5.182,3.218
Map,layer-toggled-on,layer_id_18,6.391,5.182,5.182,3.218
https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupP1,gtm.click,(not set),6.316,515,515,472
Map,layer-toggled-on,layer_id_15F,6.224,5.782,5.782,3.226
https://trafikkort.vejdirektoratet.dk/index.html?lat=55.8&lon=12.361&zoom=9,gtm.click,(not set),6.065,832,832,311
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=3&visiblegroups=,gtm.click,(not set),6.057,383,383,244
Map,layer-toggled-off,layer_id_11,5.476,4.744,4.744,2.968
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupA1,5.369,4.151,4.151,3.029
https://trafikkort.vejdirektoratet.dk/,gtm.click,bike_img_mobile,5.041,2.694,2.694,2.444
https://trafikkort.vejdirektoratet.dk/index.html?lat=56.271&lon=9.938&zoom=9,gtm.click,(not set),4.988,637,637,448
https://trafikkort.vejdirektoratet.dk/,gtm.click,tablet_main_checkbox_car_GroupA1,4.587,3.251,3.251,2.203
Map,layer-toggled-on,layer_id_15K1,4.561,3.791,3.791,2.947
Map,layer-toggled-on,layer_id_15G,4.559,3.794,3.794,2.949
Map,layer-toggled-on,layer_id_15B,4.556,3.794,3.794,2.949
Map,markerClick,layer_id_13 : 194,4.546,3.406,3.406,2.673
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.21&lon=11.5&zoom=8&devicetype=pc&showmessage=false,gtm.click,(not set),4.220,30,30,2
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,zoominbtn_id,4.149,1.339,1.339,925
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupF,4.106,3.095,3.095,1.962
