# ----------------------------------------
# Produktion
# Rapport til statistik
# 20180501-20180531
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),1.538.382,192.940,192.940,102.960
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),65.165,4.769,4.769,3.020
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,57.878,13.580,13.580,8.423
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),29.121,3.108,3.108,1.120
Map,layer-toggled-on,layer_id_13,25.347,22.284,22.284,12.886
Map,layer-toggled-on,layer_id_14,25.343,22.281,22.281,12.887
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,(not set),23.518,1.668,1.668,1.333
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,20.075,13.397,13.397,10.758
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,19.106,15.930,15.930,8.811
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),18.663,1.697,1.697,626
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,18.342,5.383,5.383,4.027
https://trafikkort.vejdirektoratet.dk/,gtm.click,callIntrafficNoticeMobile,18.335,14.100,14.100,13.277
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=1,gtm.click,(not set),17.477,329,329,37
Map,layer-toggled-on,layer_id_19B1,9.471,8.569,8.569,6.496
Map,layer-toggled-on,layer_id_19B2,9.469,8.568,8.568,6.495
Map,layer-toggled-on,layer_id_19C3,9.469,8.569,8.569,6.498
Map,layer-toggled-on,layer_id_19C2,9.464,8.563,8.563,6.490
Map,layer-toggled-on,layer_id_19B3,9.462,8.563,8.563,6.493
Map,layer-toggled-on,layer_id_19C1,9.462,8.559,8.559,6.492
https://trafikkort.vejdirektoratet.dk/index.html?lat=55.8&lon=12.361&zoom=9,gtm.click,(not set),8.573,1.072,1.072,412
https://trafikkort.vejdirektoratet.dk/,gtm.click,mainAppDiv,7.621,4.689,4.689,3.481
https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupP1,gtm.click,(not set),7.436,645,645,582
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=3&visiblegroups=,gtm.click,(not set),7.360,471,471,318
https://trafikkort.vejdirektoratet.dk/,gtm.click,bike_img_mobile,7.020,3.778,3.778,3.291
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_menu_button,6.905,5.264,5.264,4.792
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupC,6.606,5.245,5.245,3.759
https://trafikkort.vejdirektoratet.dk/,gtm.click,origin-input-pc,6.025,4.427,4.427,3.433
https://trafikkort.vejdirektoratet.dk/,gtm.click,destination-input-pc,5.542,3.762,3.762,2.941
https://trafikkort.vejdirektoratet.dk/index.html?lat=56.271&lon=9.938&zoom=9,gtm.click,(not set),4.985,666,666,522
Map,markerClick,layer_id_19A1 : Trafikman2/r_OTman/RoSyRooaWeb.Rosy__0630_20180093_TIC-Trafikman2/1.1,4.887,4.444,4.444,3.214
Map,layer-toggled-on,layer_id_17,4.420,3.543,3.543,1.917
Map,layer-toggled-on,layer_id_18,4.419,3.542,3.542,1.916
https://trafikkort.vejdirektoratet.dk/,gtm.click,hybrid_id,4.413,3.830,3.830,3.553
https://trafikkort.vejdirektoratet.dk/index.html?lat=57.087&lon=9.927&zoom=10,gtm.click,(not set),4.378,578,578,360
Map,layer-toggled-on,layer_id_23,4.340,1.878,1.878,1.750
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_min,4.187,492,492,463
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.2&lon=10.4&zoom=8,gtm.click,(not set),4.114,544,544,236
Map,layer-toggled-off,layer_id_11,3.951,3.317,3.317,1.939
https://trafikkort.vejdirektoratet.dk/,gtm.click,car_img_mobile,3.511,2.570,2.570,2.505
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupA1,3.501,2.686,2.686,1.940
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_hour,3.415,714,714,668
Map,layer-toggled-off,layer_id_19A1,3.078,2.684,2.684,1.925
Map,layer-toggled-off,layer_id_19H2,3.078,2.684,2.684,1.925
Map,layer-toggled-off,layer_id_19F1,3.077,2.683,2.683,1.924
Map,layer-toggled-off,layer_id_19A2,3.076,2.683,2.683,1.924
Map,layer-toggled-off,layer_id_19D2,3.076,2.682,2.682,1.923
Map,layer-toggled-off,layer_id_19E1,3.075,2.683,2.683,1.924
Map,layer-toggled-off,layer_id_19F2,3.075,2.682,2.682,1.923
Map,layer-toggled-off,layer_id_19H3,3.075,2.681,2.681,1.923
Map,layer-toggled-off,layer_id_19A3,3.074,2.680,2.680,1.922
Map,layer-toggled-off,layer_id_19D1,3.074,2.681,2.681,1.922
Map,layer-toggled-off,layer_id_19G3,3.074,2.682,2.682,1.923
Map,layer-toggled-off,layer_id_19I3,3.074,2.682,2.682,1.923
Map,layer-toggled-off,layer_id_19E3,3.073,2.679,2.679,1.922
Map,layer-toggled-off,layer_id_19F3,3.073,2.680,2.680,1.922
Map,layer-toggled-off,layer_id_19I2,3.073,2.679,2.679,1.921
Map,layer-toggled-off,layer_id_19D3,3.072,2.679,2.679,1.921
Map,layer-toggled-off,layer_id_19G1,3.072,2.679,2.679,1.922
Map,layer-toggled-off,layer_id_19I1,3.072,2.679,2.679,1.923
Map,layer-toggled-off,layer_id_19G2,3.071,2.680,2.680,1.923
Map,layer-toggled-off,layer_id_19H1,3.071,2.678,2.678,1.920
Map,layer-toggled-off,layer_id_19E2,3.069,2.675,2.675,1.919
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_closemenu_button,3.064,2.520,2.520,2.058
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupF,3.008,2.241,2.241,1.312
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_button_showtypicaltraffic_car,2.901,766,766,696
https://trafikkort.vejdirektoratet.dk/,gtm.click,tablet_main_checkbox_car_GroupA1,2.897,2.036,2.036,1.386
Map,layer-toggled-off,layer_id_23,2.854,2.236,2.236,2.143
https://trafikkort.vejdirektoratet.dk/,gtm.click,button_basic_mobile,2.732,1.903,1.903,1.851
