# ----------------------------------------
# Produktion
# Rapport til statistik
# 20180601-20180630
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),1.825.132,218.980,218.980,118.905
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,67.009,15.511,15.511,9.797
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),64.293,4.603,4.603,3.035
Map,layer-toggled-on,layer_id_14,27.873,24.311,24.311,14.772
Map,layer-toggled-on,layer_id_13,27.864,24.303,24.303,14.772
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,25.532,16.493,16.493,13.442
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,(not set),25.522,1.961,1.961,1.512
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=1,gtm.click,(not set),22.709,577,577,181
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),22.690,2.325,2.325,862
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,21.420,17.611,17.611,10.427
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),21.420,1.878,1.878,698
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,20.868,6.175,6.175,4.683
https://trafikkort.vejdirektoratet.dk/,gtm.click,callIntrafficNoticeMobile,18.351,14.110,14.110,13.171
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1181504_TIC-Trafikman2/1.0,17.847,15.253,15.253,11.637
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1177866_TIC-Trafikman2/1.0,13.381,11.886,11.886,8.681
Map,layer-toggled-on,layer_id_19B1,9.915,8.923,8.923,6.587
Map,layer-toggled-on,layer_id_19B2,9.913,8.920,8.920,6.587
Map,layer-toggled-on,layer_id_19C3,9.912,8.921,8.921,6.589
Map,layer-toggled-on,layer_id_19C1,9.910,8.917,8.917,6.584
Map,layer-toggled-on,layer_id_19C2,9.908,8.916,8.916,6.583
Map,layer-toggled-on,layer_id_19B3,9.900,8.909,8.909,6.583
https://trafikkort.vejdirektoratet.dk/index.html?lat=55.8&lon=12.361&zoom=9,gtm.click,(not set),9.225,1.077,1.077,423
https://trafikkort.vejdirektoratet.dk/,gtm.click,mainAppDiv,9.078,5.429,5.429,4.141
https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupP1,gtm.click,(not set),8.024,650,650,586
https://trafikkort.vejdirektoratet.dk/,gtm.click,origin-input-pc,7.891,5.751,5.751,4.554
https://trafikkort.vejdirektoratet.dk/,gtm.click,destination-input-pc,7.599,5.004,5.004,4.036
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_menu_button,7.507,5.681,5.681,5.124
https://trafikkort.vejdirektoratet.dk/,gtm.click,bike_img_mobile,7.434,3.927,3.927,3.417
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupC,7.204,5.565,5.565,3.888
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=3&visiblegroups=,gtm.click,(not set),6.914,463,463,304
https://trafikkort.vejdirektoratet.dk/index.html?lat=57.087&lon=9.927&zoom=10,gtm.click,(not set),5.042,668,668,420
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_min,4.911,527,527,491
https://trafikkort.vejdirektoratet.dk/,gtm.click,hybrid_id,4.830,4.268,4.268,3.983
https://trafikkort.vejdirektoratet.dk/index.html?lat=56.271&lon=9.938&zoom=9,gtm.click,(not set),4.747,651,651,472
Map,layer-toggled-on,layer_id_23,4.668,2.052,2.052,1.908
Map,markerClick,layer_id_19F1 : Trafikman2/r_Trafikman2/1191069_TIC-Trafikman2/1.0,4.506,4.080,4.080,3.797
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.21&lon=11.5&zoom=8&devicetype=pc&showmessage=false,gtm.click,(not set),4.462,30,30,1
Map,layer-toggled-on,layer_id_17,4.232,3.354,3.354,1.864
Map,layer-toggled-on,layer_id_18,4.231,3.354,3.354,1.864
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupA1,3.908,2.897,2.897,2.146
https://trafikkort.vejdirektoratet.dk/,gtm.click,car_img_mobile,3.740,2.709,2.709,2.628
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_hour,3.729,717,717,669
Map,layer-toggled-off,layer_id_11,3.624,3.029,3.029,1.810
Map,markerClick,layer_id_19A1 : Trafikman2/r_OTman/vejman_259_18-00001_TIC-Trafikman2/1.1,3.591,3.028,3.028,2.778
Map,markerClick,layer_id_19F1 : Trafikman2/r_Trafikman2/1166813_TIC-Trafikman2/1.0,3.526,3.065,3.065,2.354
Map,layer-toggled-off,layer_id_23,3.376,2.569,2.569,2.449
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_closemenu_button,3.290,2.709,2.709,2.290
https://trafikkort.vejdirektoratet.dk/,gtm.click,tablet_main_checkbox_car_GroupA1,3.252,2.257,2.257,1.572
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.2&lon=10.4&zoom=8,gtm.click,(not set),3.204,446,446,182
Map,layer-toggled-off,layer_id_19A1,2.994,2.600,2.600,1.915
Map,layer-toggled-off,layer_id_19A3,2.994,2.600,2.600,1.915
Map,layer-toggled-off,layer_id_19A2,2.993,2.599,2.599,1.914
Map,layer-toggled-off,layer_id_19F3,2.993,2.599,2.599,1.914
Map,layer-toggled-off,layer_id_19F1,2.992,2.599,2.599,1.915
Map,layer-toggled-off,layer_id_19D2,2.991,2.597,2.597,1.914
Map,layer-toggled-off,layer_id_19G1,2.991,2.598,2.598,1.913
Map,layer-toggled-off,layer_id_19H3,2.991,2.599,2.599,1.914
Map,layer-toggled-off,layer_id_19I3,2.991,2.598,2.598,1.913
Map,layer-toggled-off,layer_id_19D1,2.990,2.597,2.597,1.912
Map,layer-toggled-off,layer_id_19E2,2.990,2.597,2.597,1.912
Map,layer-toggled-off,layer_id_19H2,2.990,2.600,2.600,1.915
Map,layer-toggled-off,layer_id_19F2,2.989,2.595,2.595,1.911
Map,layer-toggled-off,layer_id_19H1,2.989,2.596,2.596,1.914
Map,layer-toggled-off,layer_id_19I2,2.989,2.596,2.596,1.911
Map,layer-toggled-off,layer_id_19I1,2.988,2.594,2.594,1.909
Map,layer-toggled-off,layer_id_19E3,2.987,2.595,2.595,1.912
Map,layer-toggled-off,layer_id_19G2,2.987,2.596,2.596,1.912
Map,layer-toggled-off,layer_id_19G3,2.986,2.595,2.595,1.912
Map,layer-toggled-off,layer_id_19D3,2.985,2.592,2.592,1.910
Map,layer-toggled-off,layer_id_19E1,2.984,2.591,2.591,1.908
https://trafikkort.vejdirektoratet.dk/,gtm.click,button_basic_mobile,2.966,2.096,2.096,2.037
Map,markerClick,layer_id_19I1 : Trafikman2/r_Trafikman2/1192603_TIC-Trafikman2/1.0,2.962,1.994,1.994,1.880
Map,markerClick,layer_id_19I1 : Trafikman2/r_Trafikman2/1164001_TIC-Trafikman2/1.0,2.919,1.682,1.682,1.525
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_button_showtypicaltraffic_car,2.881,802,802,735
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupF,2.786,2.001,2.001,1.193
Map,layer-toggled-off,layer_id_14,2.754,2.387,2.387,1.903
Map,layer-toggled-off,layer_id_13,2.752,2.387,2.387,1.903
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_base_id,2.658,2.336,2.336,1.992
Map,markerClick,layer_id_19H1 : Trafikman2/r_Trafikman2/1171330_TIC-Trafikman2/1.2,2.446,1.490,1.490,1.388
https://trafikkort.vejdirektoratet.dk/index.html,gtm.click,(not set),2.415,304,304,250
Map,markerClick,layer_id_19A1 : Trafikman2/r_OTman/RoSyRooaWeb.Rosy__0630_20180144_TIC-Trafikman2/1.1,2.393,2.182,2.182,1.757
https://trafikkort.vejdirektoratet.dk/,gtm.click,span_livetraffic_car_pc,2.370,1.782,1.782,1.705
Map,markerClick,layer_id_19H1 : Trafikman2/r_Trafikman2/1179279_TIC-Trafikman2/1.0,2.297,1.306,1.306,1.268
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_height_cm,2.295,384,384,225
https://trafikkort.vejdirektoratet.dk/,gtm.click,destination-input-tablet,2.259,1.596,1.596,1.406
Map,markerClick,layer_id_19I1 : Trafikman2/r_Trafikman2/1189547_TIC-Trafikman2/1.0,2.229,1.455,1.455,1.363
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupC,2.223,1.795,1.795,1.558
https://trafikkort.vejdirektoratet.dk/,gtm.click,origin-input-tablet,2.215,1.645,1.645,1.461
https://trafikkort.vejdirektoratet.dk/,gtm.click,additionalSpan_mobile_menu,2.175,1.570,1.570,1.510
https://trafikkort.vejdirektoratet.dk/,gtm.click,truck_img_mobile,2.160,1.569,1.569,1.277
https://trafikkort.vejdirektoratet.dk/,gtm.click,span_typicaltraffic_car_pc,2.156,1.543,1.543,1.438
Map,layer-toggled-off,layer_id_19B1,2.091,1.793,1.793,1.488
Map,layer-toggled-off,layer_id_19B2,2.090,1.792,1.792,1.488
Map,layer-toggled-off,layer_id_19C1,2.090,1.792,1.792,1.487
Map,layer-toggled-off,layer_id_19C3,2.090,1.792,1.792,1.487
Map,layer-toggled-off,layer_id_19B3,2.089,1.791,1.791,1.488
Map,layer-toggled-off,layer_id_19C2,2.087,1.791,1.791,1.487
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,zoominbtn_id,2.063,397,397,331
https://trafikkort.vejdirektoratet.dk/,gtm.click,716,2.042,1.334,1.334,1.058
Map,markerClick,layer_id_19H1 : Trafikman2/r_Trafikman2/1166836_TIC-Trafikman2/1.1,1.991,1.182,1.182,1.133
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA,1.959,1.417,1.417,1.074
https://trafikkort.vejdirektoratet.dk/,gtm.click,219,1.930,1.196,1.196,819
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1182527_TIC-Trafikman2/1.1,1.910,1.730,1.730,1.334
Map,markerClick,layer_id_19I1 : Trafikman2/r_Trafikman2/1189605_TIC-Trafikman2/1.0,1.902,1.234,1.234,1.193
https://trafikkort.vejdirektoratet.dk/,gtm.click,showadditional_span_car_pc,1.879,1.486,1.486,957
https://trafikkort.vejdirektoratet.dk/,gtm.click,signupSubscribeBtn,1.872,1.571,1.571,1.546
Map,layer-toggled-on,layer_id_11,1.822,1.604,1.604,1.084
Map,markerClick,layer_id_13 : 482,1.812,1.097,1.097,620
https://trafikkort.vejdirektoratet.dk/,gtm.click,roadmap_id,1.798,1.531,1.531,1.472
Map,markerClick,layer_id_13 : 267,1.797,1.204,1.204,862
Map,markerClick,layer_id_13 : 686,1.791,1.049,1.049,678
