# ----------------------------------------
# Produktion
# Rapport til statistik
# 20180701-20180731
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),1.704.167,211.018,211.018,120.804
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),105.520,7.919,7.919,5.505
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,49.089,11.951,11.951,7.637
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1181504_TIC-Trafikman2/1.0,43.184,36.010,36.010,28.953
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,(not set),39.255,3.520,3.520,2.744
Map,layer-toggled-on,layer_id_13,29.684,25.373,25.373,15.076
Map,layer-toggled-on,layer_id_14,29.681,25.372,25.372,15.073
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,23.992,15.883,15.883,13.435
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),23.104,2.351,2.351,940
https://trafikkort.vejdirektoratet.dk/,gtm.click,callIntrafficNoticeMobile,21.397,16.193,16.193,15.157
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,20.616,16.785,16.785,9.430
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),19.811,1.895,1.895,685
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1177866_TIC-Trafikman2/1.0,19.289,17.405,17.405,14.195
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,17.748,5.111,5.111,3.859
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=1,gtm.click,(not set),14.026,383,383,93
https://trafikkort.vejdirektoratet.dk/,gtm.click,bike_img_mobile,9.586,4.873,4.873,4.305
Map,layer-toggled-on,layer_id_19B1,9.558,8.592,8.592,6.677
Map,layer-toggled-on,layer_id_19B2,9.554,8.590,8.590,6.679
Map,layer-toggled-on,layer_id_19B3,9.554,8.588,8.588,6.676
Map,layer-toggled-on,layer_id_19C3,9.552,8.590,8.590,6.676
Map,layer-toggled-on,layer_id_19C1,9.551,8.588,8.588,6.670
Map,layer-toggled-on,layer_id_19C2,9.550,8.588,8.588,6.671
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_menu_button,8.666,6.659,6.659,6.001
https://trafikkort.vejdirektoratet.dk/index.html?lat=55.8&lon=12.361&zoom=9,gtm.click,(not set),7.862,868,868,295
https://trafikkort.vejdirektoratet.dk/,gtm.click,mainAppDiv,7.692,4.601,4.601,3.403
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupC,6.112,4.868,4.868,3.519
https://trafikkort.vejdirektoratet.dk/index.html?lat=57.087&lon=9.927&zoom=10,gtm.click,(not set),5.972,641,641,436
https://trafikkort.vejdirektoratet.dk/,gtm.click,origin-input-pc,5.706,4.326,4.326,3.657
https://trafikkort.vejdirektoratet.dk/,gtm.click,destination-input-pc,5.598,3.804,3.804,3.243
https://trafikkort.vejdirektoratet.dk/,gtm.click,hybrid_id,5.544,4.933,4.933,4.578
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupA1,5.348,4.043,4.043,2.848
Map,markerClick,layer_id_13 : 267,5.256,2.692,2.692,2.088
Map,layer-toggled-on,layer_id_17,5.121,3.831,3.831,2.112
Map,layer-toggled-on,layer_id_18,5.120,3.830,3.830,2.112
https://trafikkort.vejdirektoratet.dk/,gtm.click,car_img_mobile,4.837,3.545,3.545,3.420
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=3&visiblegroups=,gtm.click,(not set),4.453,341,341,207
https://trafikkort.vejdirektoratet.dk/,gtm.click,tablet_main_checkbox_car_GroupA1,4.353,2.950,2.950,1.921
Map,layer-toggled-off,layer_id_11,4.256,3.371,3.371,1.913
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_closemenu_button,4.229,3.553,3.553,2.981
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1206940_TIC-Trafikman2/1.0,4.072,3.570,3.570,2.760
https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupP1,gtm.click,(not set),4.035,344,344,316
Map,layer-toggled-off,layer_id_19A1,3.879,3.006,3.006,2.060
Map,layer-toggled-off,layer_id_19A2,3.877,3.005,3.005,2.059
Map,layer-toggled-off,layer_id_19D2,3.877,3.005,3.005,2.059
Map,layer-toggled-off,layer_id_19I1,3.877,3.004,3.004,2.058
Map,layer-toggled-off,layer_id_19F2,3.876,3.004,3.004,2.058
Map,layer-toggled-off,layer_id_19F3,3.876,3.003,3.003,2.059
Map,layer-toggled-off,layer_id_19H3,3.876,3.005,3.005,2.059
Map,layer-toggled-off,layer_id_19A3,3.875,3.004,3.004,2.058
Map,layer-toggled-off,layer_id_19E1,3.875,3.003,3.003,2.057
Map,layer-toggled-off,layer_id_19F1,3.875,3.002,3.002,2.058
Map,layer-toggled-off,layer_id_19G2,3.875,3.005,3.005,2.060
Map,layer-toggled-off,layer_id_19H1,3.875,3.004,3.004,2.058
Map,layer-toggled-off,layer_id_19I2,3.874,3.003,3.003,2.058
Map,layer-toggled-off,layer_id_19I3,3.874,3.002,3.002,2.058
Map,layer-toggled-off,layer_id_19E3,3.873,3.002,3.002,2.056
Map,layer-toggled-off,layer_id_19G3,3.873,3.002,3.002,2.057
Map,layer-toggled-off,layer_id_19H2,3.873,3.003,3.003,2.057
Map,layer-toggled-off,layer_id_19D3,3.872,3.000,3.000,2.055
Map,layer-toggled-off,layer_id_19D1,3.871,3.000,3.000,2.056
Map,layer-toggled-off,layer_id_19G1,3.871,3.001,3.001,2.057
Map,layer-toggled-off,layer_id_19E2,3.870,3.000,3.000,2.057
https://trafikkort.vejdirektoratet.dk/,gtm.click,button_basic_mobile,3.701,2.671,2.671,2.589
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,zoominbtn_id,3.403,644,644,557
Map,layer-toggled-off,layer_id_23,3.232,2.442,2.442,2.341
Map,markerClick,layer_id_19H1 : Trafikman2/r_Trafikman2/1197792_TIC-Trafikman2/1.2,3.222,1.813,1.813,1.720
Map,layer-toggled-on,layer_id_23,3.216,1.700,1.700,1.616
https://trafikkort.vejdirektoratet.dk/,gtm.click,267,3.186,1.448,1.448,1.264
Map,markerClick,layer_id_19A1 : Trafikman2/r_GreatBelt/4139_TIC-Trafikman2/1.0,3.113,1.740,1.740,1.656
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupF,3.040,2.082,2.082,1.092
Map,layer-toggled-off,layer_id_14,2.828,2.408,2.408,1.899
Map,layer-toggled-off,layer_id_13,2.826,2.407,2.407,1.898
https://trafikkort.vejdirektoratet.dk/,gtm.click,destination-input-tablet,2.820,2.023,2.023,1.786
https://trafikkort.vejdirektoratet.dk/index.html?lat=56.271&lon=9.938&zoom=9,gtm.click,(not set),2.761,411,411,295
https://trafikkort.vejdirektoratet.dk/,gtm.click,origin-input-tablet,2.747,2.109,2.109,1.869
Map,markerClick,layer_id_13 : 166,2.726,1.744,1.744,1.484
https://trafikkort.vejdirektoratet.dk/,gtm.click,additionalSpan_mobile_menu,2.723,1.957,1.957,1.883
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_base_id,2.608,2.329,2.329,2.110
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupC,2.544,2.041,2.041,1.855
https://trafikkort.vejdirektoratet.dk/,gtm.click,truck_img_mobile,2.524,1.901,1.901,1.610
https://trafikkort.vejdirektoratet.dk/,gtm.click,signupSubscribeBtn,2.506,2.091,2.091,2.047
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.21&lon=11.5&zoom=8&devicetype=pc&showmessage=false,gtm.click,(not set),2.388,31,31,2
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA,2.335,1.523,1.523,1.032
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_hour,2.280,494,494,472
Map,markerClick,layer_id_19H1 : Trafikman2/r_GreatBelt/4134_TIC-Trafikman2/1.0,2.269,1.346,1.346,1.238
Map,markerClick,layer_id_19I1 : Trafikman2/r_Trafikman2/1194282_TIC-Trafikman2/1.0,2.266,1.448,1.448,1.316
