# ----------------------------------------
# Produktion
# Rapport til statistik
# 20180801-20180831
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),1.590.133,202.436,202.436,116.844
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),71.643,5.551,5.551,3.837
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,54.838,12.673,12.673,8.226
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1181504_TIC-Trafikman2/1.0,33.550,27.208,27.208,22.608
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,26.477,16.646,16.646,13.846
Map,layer-toggled-on,layer_id_13,24.347,21.322,21.322,12.756
Map,layer-toggled-on,layer_id_14,24.337,21.315,21.315,12.754
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),19.051,2.176,2.176,825
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),18.947,1.738,1.738,585
https://trafikkort.vejdirektoratet.dk/,gtm.click,callIntrafficNoticeMobile,18.680,14.348,14.348,13.647
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,17.936,14.904,14.904,8.780
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,16.266,4.992,4.992,3.825
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,(not set),16.190,1.663,1.663,1.359
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=1,gtm.click,(not set),16.071,344,344,68
Map,markerClick,layer_id_19F1 : Trafikman2/r_Trafikman2/1206739_TIC-Trafikman2/1.0,14.607,11.673,11.673,8.497
Map,layer-toggled-on,layer_id_19C3,10.779,9.632,9.632,7.318
Map,layer-toggled-on,layer_id_19B2,10.776,9.628,9.628,7.315
Map,layer-toggled-on,layer_id_19B1,10.775,9.629,9.629,7.315
Map,layer-toggled-on,layer_id_19C2,10.775,9.629,9.629,7.316
Map,layer-toggled-on,layer_id_19C1,10.770,9.623,9.623,7.312
Map,layer-toggled-on,layer_id_19B3,10.767,9.623,9.623,7.308
https://trafikkort.vejdirektoratet.dk/index.html?lat=55.8&lon=12.361&zoom=9,gtm.click,(not set),8.826,1.052,1.052,439
https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupP1,gtm.click,(not set),8.397,698,698,623
https://trafikkort.vejdirektoratet.dk/,gtm.click,bike_img_mobile,8.337,4.314,4.314,3.768
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_menu_button,7.433,5.829,5.829,5.311
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupC,7.297,5.759,5.759,4.105
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=3&visiblegroups=,gtm.click,(not set),7.183,445,445,304
https://trafikkort.vejdirektoratet.dk/,gtm.click,mainAppDiv,6.988,4.349,4.349,3.386
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1177866_TIC-Trafikman2/1.0,6.941,6.164,6.164,5.394
https://trafikkort.vejdirektoratet.dk/index.html?lat=57.087&lon=9.927&zoom=10,gtm.click,(not set),6.207,660,660,377
https://trafikkort.vejdirektoratet.dk/,gtm.click,origin-input-pc,5.904,4.376,4.376,3.502
https://trafikkort.vejdirektoratet.dk/,gtm.click,destination-input-pc,5.390,3.676,3.676,2.995
https://trafikkort.vejdirektoratet.dk/index.html?lat=56.271&lon=9.938&zoom=9,gtm.click,(not set),4.457,621,621,492
https://trafikkort.vejdirektoratet.dk/,gtm.click,hybrid_id,4.348,3.919,3.919,3.640
Map,layer-toggled-on,layer_id_17,4.270,3.397,3.397,1.826
Map,layer-toggled-on,layer_id_18,4.269,3.396,3.396,1.825
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_min,4.013,422,422,404
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.2&lon=10.4&zoom=8,gtm.click,(not set),3.941,486,486,258
https://trafikkort.vejdirektoratet.dk/,gtm.click,car_img_mobile,3.867,2.847,2.847,2.759
Map,layer-toggled-on,layer_id_23,3.792,1.641,1.641,1.552
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_closemenu_button,3.614,2.964,2.964,2.489
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupA1,3.552,2.745,2.745,2.016
Map,layer-toggled-off,layer_id_11,3.443,2.910,2.910,1.629
https://trafikkort.vejdirektoratet.dk/,gtm.click,button_basic_mobile,3.429,2.403,2.403,2.331
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_hour,3.267,602,602,562
Map,markerClick,layer_id_19F1 : Trafikman2/r_Trafikman2/1206737_TIC-Trafikman2/1.0,3.079,2.660,2.660,2.391
https://trafikkort.vejdirektoratet.dk/,gtm.click,tablet_main_checkbox_car_GroupA1,3.020,2.072,2.072,1.290
Map,layer-toggled-off,layer_id_19A1,2.998,2.621,2.621,1.851
Map,layer-toggled-off,layer_id_19A2,2.998,2.621,2.621,1.851
Map,layer-toggled-off,layer_id_19A3,2.997,2.620,2.620,1.850
Map,layer-toggled-off,layer_id_19D3,2.995,2.618,2.618,1.849
Map,layer-toggled-off,layer_id_19E1,2.995,2.618,2.618,1.849
Map,layer-toggled-off,layer_id_19F1,2.995,2.618,2.618,1.849
Map,layer-toggled-off,layer_id_19F2,2.995,2.619,2.619,1.850
Map,layer-toggled-off,layer_id_19G1,2.995,2.618,2.618,1.848
Map,layer-toggled-off,layer_id_19D2,2.994,2.619,2.619,1.850
Map,layer-toggled-off,layer_id_19F3,2.994,2.617,2.617,1.848
Map,layer-toggled-off,layer_id_19H1,2.994,2.618,2.618,1.849
Map,layer-toggled-off,layer_id_19I2,2.994,2.618,2.618,1.848
Map,layer-toggled-off,layer_id_19G3,2.993,2.617,2.617,1.850
Map,layer-toggled-off,layer_id_19I1,2.993,2.619,2.619,1.849
Map,layer-toggled-off,layer_id_19I3,2.993,2.617,2.617,1.848
Map,layer-toggled-off,layer_id_19H3,2.992,2.615,2.615,1.848
Map,layer-toggled-off,layer_id_19E2,2.991,2.615,2.615,1.848
Map,layer-toggled-off,layer_id_19E3,2.991,2.616,2.616,1.847
Map,layer-toggled-off,layer_id_19H2,2.991,2.615,2.615,1.846
Map,layer-toggled-off,layer_id_19D1,2.990,2.614,2.614,1.847
Map,layer-toggled-off,layer_id_19G2,2.988,2.613,2.613,1.845
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_base_id,2.838,2.517,2.517,2.208
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupC,2.615,2.087,2.087,1.857
Map,layer-toggled-off,layer_id_23,2.596,2.013,2.013,1.958
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2,gtm.click,(not set),2.589,361,361,320
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupF,2.532,1.970,1.970,1.011
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_button_showtypicaltraffic_car,2.496,613,613,569
Map,layer-toggled-off,layer_id_13,2.438,2.083,2.083,1.670
Map,layer-toggled-off,layer_id_14,2.437,2.082,2.082,1.668
Map,markerClick,layer_id_19A1 : Trafikman2/r_OTman/RoSyRooaWeb.Rosy__0630_20180137_TIC-Trafikman2/1.1,2.259,1.860,1.860,1.700
Map,markerClick,layer_id_19H1 : Trafikman2/r_GreatBelt/4248_TIC-Trafikman2/1.1,2.256,1.595,1.595,1.491
Map,markerClick,layer_id_13 : 686,2.124,979,979,687
https://trafikkort.vejdirektoratet.dk/,gtm.click,additionalSpan_mobile_menu,2.089,1.556,1.556,1.504
https://trafikkort.vejdirektoratet.dk/,gtm.click,origin-input-tablet,2.012,1.532,1.532,1.355
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_height_cm,2.008,410,410,270
https://trafikkort.vejdirektoratet.dk/,gtm.click,truck_img_mobile,1.994,1.572,1.572,1.419
https://trafikkort.vejdirektoratet.dk/,gtm.click,destination-input-tablet,1.981,1.439,1.439,1.273
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,zoominbtn_id,1.969,514,514,399
Map,layer-toggled-off,layer_id_19B2,1.968,1.693,1.693,1.374
Map,layer-toggled-off,layer_id_19B1,1.967,1.693,1.693,1.374
Map,layer-toggled-off,layer_id_19C3,1.966,1.691,1.691,1.372
Map,layer-toggled-off,layer_id_19C2,1.965,1.691,1.691,1.372
Map,layer-toggled-off,layer_id_19B3,1.964,1.689,1.689,1.371
Map,layer-toggled-off,layer_id_19C1,1.963,1.689,1.689,1.370
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA,1.906,1.458,1.458,994
Map,markerClick,layer_id_13 : 172,1.856,1.257,1.257,921
Map,layer-toggled-on,layer_id_11,1.727,1.471,1.471,986
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_showroutesearchpanel_button,1.708,1.488,1.488,1.310
https://trafikkort.vejdirektoratet.dk/,gtm.click,span_typicaltraffic_car_pc,1.703,1.185,1.185,1.117
https://trafikkort.vejdirektoratet.dk/,gtm.click,span_livetraffic_car_pc,1.699,1.305,1.305,1.271
