# ----------------------------------------
# Produktion
# Rapport til statistik
# 20180901-20180930
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),1.863.406,213.789,213.789,117.546
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),94.483,6.073,6.073,4.377
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,63.754,14.531,14.531,9.328
Map,layer-toggled-on,layer_id_13,30.644,25.968,25.968,16.776
Map,layer-toggled-on,layer_id_14,30.640,25.967,25.967,16.770
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,28.356,17.335,17.335,14.431
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1181504_TIC-Trafikman2/1.0,28.351,23.159,23.159,19.325
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,22.013,17.946,17.946,11.172
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),21.792,2.182,2.182,956
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,20.072,5.951,5.951,4.647
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),18.542,1.782,1.782,569
https://trafikkort.vejdirektoratet.dk/,gtm.click,callIntrafficNoticeMobile,17.687,13.450,13.450,12.693
Map,markerClick,layer_id_19I1 : Trafikman2/r_Trafikman2/1256106_TIC-Trafikman2/1.0,15.022,9.663,9.663,7.980
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=1,gtm.click,(not set),12.873,305,305,62
Map,markerClick,layer_id_19I1 : Trafikman2/r_Trafikman2/1256090_TIC-Trafikman2/1.0,12.172,7.465,7.465,6.140
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.2&lon=10.4&zoom=8,gtm.click,(not set),11.727,1.410,1.410,1.018
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1177866_TIC-Trafikman2/1.0,11.422,9.933,9.933,8.597
Map,layer-toggled-on,layer_id_19C3,10.379,9.253,9.253,6.605
Map,layer-toggled-on,layer_id_19B1,10.376,9.252,9.252,6.602
Map,layer-toggled-on,layer_id_19C1,10.372,9.247,9.247,6.601
Map,layer-toggled-on,layer_id_19B2,10.371,9.246,9.246,6.598
Map,layer-toggled-on,layer_id_19B3,10.371,9.248,9.248,6.601
Map,layer-toggled-on,layer_id_19C2,10.370,9.245,9.245,6.599
https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupP1,gtm.click,(not set),8.922,708,708,645
https://trafikkort.vejdirektoratet.dk/index.html?lat=55.8&lon=12.361&zoom=9,gtm.click,(not set),8.405,961,961,385
Map,markerClick,layer_id_19F1 : Trafikman2/r_OTman/vejman_510_18-00984_TIC-Trafikman2/1.0,8.283,6.825,6.825,4.291
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_menu_button,7.946,6.062,6.062,5.399
https://trafikkort.vejdirektoratet.dk/,gtm.click,mainAppDiv,7.935,4.911,4.911,3.889
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2,gtm.click,(not set),7.761,974,974,797
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupC,7.372,5.784,5.784,3.980
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=3&visiblegroups=,gtm.click,(not set),7.262,516,516,323
https://trafikkort.vejdirektoratet.dk/,gtm.click,origin-input-pc,7.000,5.051,5.051,3.968
Map,markerClick,layer_id_19I1 : Trafikman2/r_Trafikman2/1255965_TIC-Trafikman2/1.0,6.970,4.685,4.685,4.231
https://trafikkort.vejdirektoratet.dk/,gtm.click,destination-input-pc,6.445,4.258,4.258,3.387
Map,markerClick,layer_id_13 : 267,6.397,3.927,3.927,3.201
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,(not set),6.287,568,568,473
Map,markerClick,layer_id_19A1 : Trafikman2/r_GreatBelt/4443_TIC-Trafikman2/1.0,5.855,3.733,3.733,3.592
https://trafikkort.vejdirektoratet.dk/,gtm.click,bike_img_mobile,5.685,3.360,3.360,2.973
https://trafikkort.vejdirektoratet.dk/index.html?lat=57.087&lon=9.927&zoom=10,gtm.click,(not set),5.458,596,596,320
Map,markerClick,layer_id_13 : 166,5.395,3.004,3.004,2.505
Map,markerClick,layer_id_19A1 : Trafikman2/r_OTman/RoSyRooaWeb.Rosy__0630_20170333_TIC-Trafikman2/1.1,5.301,4.650,4.650,4.371
https://trafikkort.vejdirektoratet.dk/,gtm.click,hybrid_id,5.039,4.499,4.499,4.193
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupA1,5.028,3.715,3.715,2.802
Map,markerClick,layer_id_19I1 : Trafikman2/r_Trafikman2/1256434_TIC-Trafikman2/1.0,4.988,3.219,3.219,2.840
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.21&lon=11.5&zoom=8&devicetype=pc&showmessage=false,gtm.click,(not set),4.718,31,31,1
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_min,4.496,487,487,457
Map,layer-toggled-on,layer_id_23,4.385,1.861,1.861,1.754
https://trafikkort.vejdirektoratet.dk/,gtm.click,tablet_main_checkbox_car_GroupA1,4.128,2.686,2.686,1.889
Map,layer-toggled-on,layer_id_17,4.050,3.181,3.181,1.887
Map,layer-toggled-on,layer_id_18,4.048,3.179,3.179,1.885
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_closemenu_button,3.995,3.284,3.284,2.718
https://trafikkort.vejdirektoratet.dk/,gtm.click,704,3.951,2.232,2.232,1.823
https://trafikkort.vejdirektoratet.dk/index.html?lat=56.271&lon=9.938&zoom=9,gtm.click,(not set),3.593,506,506,377
https://trafikkort.vejdirektoratet.dk/,gtm.click,car_img_mobile,3.573,2.585,2.585,2.515
https://trafikkort.vejdirektoratet.dk/,gtm.click,267,3.516,1.859,1.859,1.644
https://trafikkort.vejdirektoratet.dk/,gtm.click,button_basic_mobile,3.422,2.435,2.435,2.335
Map,layer-toggled-off,layer_id_23,3.398,2.541,2.541,2.456
Map,layer-toggled-off,layer_id_11,3.303,2.784,2.784,1.746
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_hour,3.176,619,619,572
https://trafikkort.vejdirektoratet.dk/,gtm.click,213,3.123,1.463,1.463,1.189
Map,layer-toggled-off,layer_id_19A1,3.097,2.623,2.623,1.962
Map,layer-toggled-off,layer_id_19F2,3.096,2.622,2.622,1.962
Map,layer-toggled-off,layer_id_19A2,3.095,2.621,2.621,1.960
Map,layer-toggled-off,layer_id_19A3,3.095,2.622,2.622,1.961
Map,layer-toggled-off,layer_id_19F1,3.095,2.621,2.621,1.960
Map,layer-toggled-off,layer_id_19D2,3.093,2.621,2.621,1.961
Map,layer-toggled-off,layer_id_19H1,3.093,2.621,2.621,1.960
Map,layer-toggled-off,layer_id_19H3,3.093,2.621,2.621,1.960
Map,layer-toggled-off,layer_id_19I1,3.093,2.621,2.621,1.961
Map,layer-toggled-off,layer_id_19I2,3.093,2.621,2.621,1.960
Map,layer-toggled-off,layer_id_19G3,3.092,2.620,2.620,1.960
Map,layer-toggled-off,layer_id_19I3,3.092,2.620,2.620,1.960
Map,layer-toggled-off,layer_id_19D3,3.091,2.619,2.619,1.959
Map,layer-toggled-off,layer_id_19E1,3.091,2.619,2.619,1.959
Map,layer-toggled-off,layer_id_19E2,3.091,2.619,2.619,1.959
Map,layer-toggled-off,layer_id_19E3,3.091,2.620,2.620,1.961
Map,layer-toggled-off,layer_id_19G1,3.090,2.617,2.617,1.957
Map,layer-toggled-off,layer_id_19H2,3.090,2.618,2.618,1.958
Map,layer-toggled-off,layer_id_19G2,3.089,2.616,2.616,1.957
Map,layer-toggled-off,layer_id_19D1,3.088,2.617,2.617,1.958
Map,layer-toggled-off,layer_id_19F3,3.088,2.616,2.616,1.958
Map,markerClick,layer_id_13 : 482,2.982,1.956,1.956,1.481
Map,layer-toggled-off,layer_id_14,2.865,2.464,2.464,1.985
Map,layer-toggled-off,layer_id_13,2.864,2.463,2.463,1.983
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_button_showtypicaltraffic_car,2.792,666,666,617
"https://trafikkort.vejdirektoratet.dk/index.html?lat=55.7&lon=12.4&zoom=12&visiblegroups=GroupA,GroupB,GroupC,GroupD,GroupE,GroupF",gtm.click,(not set),2.602,235,235,198
Map,markerClick,layer_id_13 : 292,2.583,1.499,1.499,1.237
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_base_id,2.525,2.226,2.226,2.012
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupF,2.459,1.833,1.833,1.070
