# ----------------------------------------
# Produktion
# Rapport til statistik
# 20181001-20181031
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),1.800.106,229.787,229.787,118.656
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),84.509,7.813,7.813,4.120
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,68.262,15.883,15.883,9.835
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),62.666,4.413,4.413,2.942
Map,layer-toggled-on,layer_id_13,28.907,25.264,25.264,14.587
Map,layer-toggled-on,layer_id_14,28.902,25.264,25.264,14.582
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),26.710,2.245,2.245,643
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,26.203,15.928,15.928,12.719
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1177866_TIC-Trafikman2/1.0,23.670,21.102,21.102,17.055
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,21.318,17.499,17.499,9.779
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,20.147,6.242,6.242,4.576
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=1,gtm.click,(not set),19.584,365,365,61
https://trafikkort.vejdirektoratet.dk/,gtm.click,callIntrafficNoticeMobile,18.130,13.866,13.866,13.033
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2,gtm.click,(not set),16.717,2.458,2.458,2.092
Map,layer-toggled-on,layer_id_19B1,11.957,10.578,10.578,7.605
Map,layer-toggled-on,layer_id_19C3,11.956,10.578,10.578,7.610
Map,layer-toggled-on,layer_id_19B2,11.951,10.577,10.577,7.611
Map,layer-toggled-on,layer_id_19C2,11.950,10.575,10.575,7.606
Map,layer-toggled-on,layer_id_19B3,11.948,10.575,10.575,7.606
Map,layer-toggled-on,layer_id_19C1,11.948,10.572,10.572,7.603
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.2&lon=10.4&zoom=8,gtm.click,(not set),10.311,1.537,1.537,1.160
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_menu_button,9.191,6.768,6.768,5.843
https://trafikkort.vejdirektoratet.dk/index.html?lat=55.8&lon=12.361&zoom=9,gtm.click,(not set),8.694,1.090,1.090,410
https://trafikkort.vejdirektoratet.dk/,gtm.click,mainAppDiv,8.596,5.332,5.332,4.032
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=3&visiblegroups=,gtm.click,(not set),8.453,539,539,339
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupC,8.140,6.265,6.265,4.215
Map,layer-toggled-on,layer_id_15E,8.052,6.318,6.318,3.952
Map,layer-toggled-on,layer_id_15K3,8.013,6.274,6.274,3.931
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,(not set),7.905,611,611,487
https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupP1,gtm.click,(not set),6.802,615,615,551
https://trafikkort.vejdirektoratet.dk/,gtm.click,bike_img_mobile,6.785,3.828,3.828,3.314
Map,layer-toggled-on,layer_id_15F,6.212,5.647,5.647,3.655
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.21&lon=11.5&zoom=8&devicetype=pc&showmessage=false,gtm.click,(not set),5.967,32,32,1
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1181504_TIC-Trafikman2/1.0,5.705,4.239,4.239,3.804
https://trafikkort.vejdirektoratet.dk/index.html?lat=57.087&lon=9.927&zoom=10,gtm.click,(not set),5.470,680,680,409
https://trafikkort.vejdirektoratet.dk/,gtm.click,origin-input-pc,5.132,3.757,3.757,2.757
