# ----------------------------------------
# Produktion
# Rapport til statistik
# 20181101-20181130
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),1.468.527,197.452,197.452,99.480
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),170.707,17.328,17.328,6.572
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,57.525,13.307,13.307,7.942
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),51.695,3.776,3.776,2.371
Map,layer-toggled-on,layer_id_14,23.844,20.797,20.797,11.870
Map,layer-toggled-on,layer_id_13,23.842,20.797,20.797,11.873
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),22.523,2.061,2.061,592
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2,gtm.click,(not set),22.056,3.270,3.270,2.734
Map,layer-toggled-on,layer_id_15E,21.355,17.422,17.422,6.656
Map,layer-toggled-on,layer_id_15K3,21.258,17.360,17.360,6.628
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,20.675,12.554,12.554,9.870
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1177866_TIC-Trafikman2/1.0,19.820,17.558,17.558,14.444
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,17.343,5.261,5.261,3.802
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,17.123,13.872,13.872,7.702
https://trafikkort.vejdirektoratet.dk/,gtm.click,callIntrafficNoticeMobile,15.953,11.998,11.998,11.307
Map,layer-toggled-on,layer_id_15F,13.917,12.639,12.639,5.650
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=1,gtm.click,(not set),12.051,297,297,53
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_menu_button,9.945,7.108,7.108,5.860
Map,layer-toggled-on,layer_id_15G,8.711,7.218,7.218,4.649
Map,layer-toggled-on,layer_id_15K1,8.698,7.190,7.190,4.634
Map,layer-toggled-on,layer_id_15B,8.672,7.188,7.188,4.633
Map,layer-toggled-on,layer_id_19B2,8.670,7.757,7.757,5.527
Map,layer-toggled-on,layer_id_19B1,8.669,7.756,7.756,5.529
Map,layer-toggled-on,layer_id_19C2,8.668,7.755,7.755,5.529
Map,layer-toggled-on,layer_id_19B3,8.667,7.755,7.755,5.526
Map,layer-toggled-on,layer_id_19C3,8.667,7.754,7.754,5.528
Map,layer-toggled-on,layer_id_19C1,8.666,7.753,7.753,5.527
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,pc_winter_checkbox_car_GroupI,7.406,5.543,5.543,2.018
https://trafikkort.vejdirektoratet.dk/,gtm.click,mainAppDiv,6.874,4.332,4.332,3.163
https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupP1,gtm.click,(not set),6.804,610,610,554
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,zoominbtn_id,6.545,1.888,1.888,926
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupC,6.404,4.820,4.820,3.183
https://trafikkort.vejdirektoratet.dk/index.html?lat=55.8&lon=12.361&zoom=9,gtm.click,(not set),5.887,873,873,303
https://trafikkort.vejdirektoratet.dk/,gtm.click,bike_img_mobile,5.666,3.247,3.247,2.825
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=3&visiblegroups=,gtm.click,(not set),5.620,467,467,298
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,(not set),5.392,431,431,362
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_winter_checkbox_car_GroupI,5.273,3.723,3.723,1.762
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_winter_checkbox_car_GroupG,5.217,3.310,3.310,2.113
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_winter_checkbox_car_GroupN,5.022,3.617,3.617,1.963
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,pc_winter_checkbox_car_GroupN,4.852,3.859,3.859,1.482
Map,layer-toggled-on,layer_id_17,4.657,3.731,3.731,2.087
Map,layer-toggled-on,layer_id_15C,4.610,3.730,3.730,1.953
Map,layer-toggled-on,layer_id_18,4.561,3.661,3.661,2.043
https://trafikkort.vejdirektoratet.dk/,gtm.click,origin-input-pc,4.165,3.001,3.001,2.153
https://trafikkort.vejdirektoratet.dk/,gtm.click,hybrid_id,4.152,3.717,3.717,3.352
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,mobile_winter_checkbox_car_GroupI,3.957,3.001,3.001,1.056
Map,layer-toggled-off,layer_id_19A1,3.929,3.424,3.424,2.185
Map,layer-toggled-off,layer_id_19A2,3.928,3.423,3.423,2.184
Map,layer-toggled-off,layer_id_19A3,3.928,3.423,3.423,2.185
Map,layer-toggled-off,layer_id_19D1,3.926,3.421,3.421,2.183
Map,layer-toggled-off,layer_id_19H3,3.925,3.421,3.421,2.185
Map,layer-toggled-off,layer_id_19I3,3.925,3.422,3.422,2.185
Map,layer-toggled-off,layer_id_19F2,3.924,3.421,3.421,2.185
Map,layer-toggled-off,layer_id_19F3,3.924,3.420,3.420,2.182
Map,layer-toggled-off,layer_id_19H1,3.924,3.421,3.421,2.185
Map,layer-toggled-off,layer_id_19I1,3.924,3.419,3.419,2.185
Map,layer-toggled-off,layer_id_19E2,3.923,3.419,3.419,2.183
Map,layer-toggled-off,layer_id_19G3,3.923,3.420,3.420,2.184
Map,layer-toggled-off,layer_id_19D2,3.922,3.420,3.420,2.182
Map,layer-toggled-off,layer_id_19E1,3.921,3.418,3.418,2.183
Map,layer-toggled-off,layer_id_19F1,3.921,3.416,3.416,2.183
Map,layer-toggled-off,layer_id_19G1,3.920,3.417,3.417,2.180
Map,layer-toggled-off,layer_id_19G2,3.920,3.417,3.417,2.182
Map,layer-toggled-off,layer_id_19I2,3.920,3.418,3.418,2.184
Map,layer-toggled-off,layer_id_19E3,3.918,3.415,3.415,2.180
Map,layer-toggled-off,layer_id_19D3,3.917,3.416,3.416,2.180
Map,layer-toggled-off,layer_id_19H2,3.915,3.413,3.413,2.182
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.2&lon=10.4&zoom=8,gtm.click,(not set),3.728,651,651,331
https://trafikkort.vejdirektoratet.dk/,gtm.click,destination-input-pc,3.716,2.493,2.493,1.819
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_closemenu_button,3.584,2.748,2.748,1.885
Map,layer-toggled-off,layer_id_15B,3.504,3.042,3.042,2.063
Map,layer-toggled-off,layer_id_15G,3.501,3.039,3.039,2.062
Map,layer-toggled-off,layer_id_11,3.487,2.940,2.940,1.704
Map,layer-toggled-off,layer_id_15K1,3.479,3.042,3.042,2.063
https://trafikkort.vejdirektoratet.dk/index.html?lat=56.271&lon=9.938&zoom=9,gtm.click,(not set),3.440,486,486,336
Map,layer-toggled-on,layer_id_23,3.424,1.516,1.516,1.420
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1300173_TIC-Trafikman2/1.1,3.416,2.881,2.881,2.496
https://trafikkort.vejdirektoratet.dk/index.html?showhead=false&showfooter=false&showcookiewarn=false&lat=56.21&lon=11.5&zoom=8&devicetype=pc&showmessage=false,gtm.click,(not set),3.380,22,22,1
https://trafikkort.vejdirektoratet.dk/,gtm.click,car_img_mobile,3.226,2.391,2.391,2.317
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupA1,3.125,2.376,2.376,1.693
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupF,3.125,2.343,2.343,1.417
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,vd_menu_button,3.004,1.842,1.842,867
Map,layer-toggled-off,layer_id_15F,2.949,2.721,2.721,1.951
Map,layer-toggled-off,layer_id_13,2.823,2.496,2.496,1.872
Map,layer-toggled-off,layer_id_14,2.823,2.496,2.496,1.872
https://trafikkort.vejdirektoratet.dk/,gtm.click,tablet_main_checkbox_car_GroupA1,2.759,1.918,1.918,1.202
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_min,2.692,372,372,353
Map,layer-toggled-on,layer_id_11,2.691,2.349,2.349,1.631
Map,layer-toggled-off,layer_id_15E,2.573,2.239,2.239,1.440
Map,layer-toggled-off,layer_id_15K3,2.560,2.239,2.239,1.441
https://trafikkort.vejdirektoratet.dk/index.html?lat=57.087&lon=9.927&zoom=10,gtm.click,(not set),2.537,395,395,187
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,tablet_winter_checkbox_car_GroupI,2.511,1.900,1.900,594
https://trafikkort.vejdirektoratet.dk/,gtm.click,button_basic_mobile,2.482,1.752,1.752,1.695
https://trafikkort.vejdirektoratet.dk/,gtm.click,input_kl_hour,2.445,503,503,474
Map,layer-toggled-off,layer_id_23,2.431,1.829,1.829,1.772
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1302803_TIC-Trafikman2/1.0,2.409,1.496,1.496,1.399
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,zoomoutbtn_id,2.318,749,749,509
