# ----------------------------------------
# Produktion
# Rapport til statistik
# 20181201-20181231
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
https://trafikkort.vejdirektoratet.dk/,gtm.click,(not set),1.736.161,225.856,225.856,119.022
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,(not set),305.666,28.748,28.748,9.007
https://trafikkort.vejdirektoratet.dk/index.html?visibleGroups=GroupA1,gtm.click,(not set),93.266,6.259,6.259,3.973
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoominbtn_id,54.487,13.241,13.241,7.923
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2,gtm.click,(not set),41.768,6.267,6.267,5.011
Map,layer-toggled-on,layer_id_13,34.539,29.958,29.958,17.786
Map,layer-toggled-on,layer_id_14,34.539,29.959,29.959,17.783
Map,layer-toggled-on,layer_id_15E,34.351,28.611,28.611,8.617
Map,layer-toggled-on,layer_id_15K3,34.319,28.591,28.591,8.617
Map,markerClick,layer_id_19A1 : Trafikman2/r_Trafikman2/1177866_TIC-Trafikman2/1.0,28.843,25.461,25.461,21.427
https://trafikkort.vejdirektoratet.dk/,gtm.click,infobox_content_id,27.970,17.301,17.301,13.794
https://trafikkort.vejdirektoratet.dk/?page=company&objno=7,gtm.click,(not set),22.326,2.130,2.130,615
Map,layer-toggled-on,layer_id_15F,21.673,19.528,19.528,7.579
https://trafikkort.vejdirektoratet.dk/,gtm.click,callIntrafficNoticeMobile,20.782,15.670,15.670,14.637
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupA1,20.251,16.468,16.468,9.455
https://trafikkort.vejdirektoratet.dk/,gtm.click,zoomoutbtn_id,18.835,5.667,5.667,4.103
Map,layer-toggled-on,layer_id_15K1,14.425,12.001,12.001,7.033
Map,layer-toggled-on,layer_id_15G,14.405,12.008,12.008,7.033
Map,layer-toggled-on,layer_id_15B,14.379,11.996,11.996,7.031
Map,markerClick,layer_id_19H1 : Trafikman2/r_Trafikman2/1311356_TIC-Trafikman2/1.1,13.795,7.972,7.972,6.568
https://trafikkort.vejdirektoratet.dk/,gtm.click,vd_menu_button,13.430,9.653,9.653,7.806
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,pc_winter_checkbox_car_GroupI,12.245,9.156,9.156,2.400
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,zoominbtn_id,10.530,3.124,3.124,1.351
https://trafikkort.vejdirektoratet.dk/,gtm.click,bike_img_mobile,8.725,4.349,4.349,3.903
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_winter_checkbox_car_GroupI,8.551,5.844,5.844,2.323
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,pc_winter_checkbox_car_GroupN,8.350,6.260,6.260,1.914
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_winter_checkbox_car_GroupG,8.206,5.347,5.347,3.048
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=1,gtm.click,(not set),7.665,265,265,34
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_winter_checkbox_car_GroupN,7.415,5.221,5.221,2.510
Map,layer-toggled-on,layer_id_19B1,7.397,6.664,6.664,5.034
Map,layer-toggled-on,layer_id_19B2,7.394,6.661,6.661,5.031
Map,layer-toggled-on,layer_id_19C3,7.394,6.662,6.662,5.032
Map,layer-toggled-on,layer_id_19B3,7.392,6.661,6.661,5.033
Map,layer-toggled-on,layer_id_19C1,7.391,6.661,6.661,5.033
Map,layer-toggled-on,layer_id_19C2,7.388,6.658,6.658,5.031
https://trafikkort.vejdirektoratet.dk/,gtm.click,mainAppDiv,7.322,4.611,4.611,3.299
Map,layer-toggled-on,layer_id_15C,7.197,5.993,5.993,2.509
Map,layer-toggled-on,layer_id_17,6.427,5.149,5.149,2.980
https://trafikkort.vejdirektoratet.dk/index.html?lat=55.8&lon=12.361&zoom=9,gtm.click,(not set),6.419,786,786,280
Map,layer-toggled-on,layer_id_18,6.418,5.144,5.144,2.977
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,mobile_winter_checkbox_car_GroupI,6.059,4.851,4.851,1.190
https://trafikkort.vejdirektoratet.dk/index.html?usertype=2&trucklistid=3&visiblegroups=,gtm.click,(not set),5.826,390,390,249
https://trafikkort.vejdirektoratet.dk/,gtm.click,hybrid_id,5.730,5.095,5.095,4.724
Map,layer-toggled-off,layer_id_19H1,5.660,4.864,4.864,2.733
Map,layer-toggled-off,layer_id_19A2,5.658,4.862,4.862,2.732
Map,layer-toggled-off,layer_id_19A1,5.657,4.864,4.864,2.733
Map,layer-toggled-off,layer_id_19H3,5.657,4.863,4.863,2.732
Map,layer-toggled-off,layer_id_19I1,5.657,4.863,4.863,2.733
Map,layer-toggled-off,layer_id_19D2,5.656,4.861,4.861,2.733
Map,layer-toggled-off,layer_id_19E1,5.656,4.860,4.860,2.731
Map,layer-toggled-off,layer_id_19A3,5.655,4.860,4.860,2.730
Map,layer-toggled-off,layer_id_19D3,5.655,4.859,4.859,2.731
Map,layer-toggled-off,layer_id_19F2,5.655,4.864,4.864,2.733
Map,layer-toggled-off,layer_id_19F3,5.655,4.859,4.859,2.730
Map,layer-toggled-off,layer_id_19H2,5.655,4.859,4.859,2.731
Map,layer-toggled-off,layer_id_19E2,5.654,4.860,4.860,2.731
Map,layer-toggled-off,layer_id_19E3,5.654,4.858,4.858,2.729
Map,layer-toggled-off,layer_id_19G3,5.654,4.858,4.858,2.727
Map,layer-toggled-off,layer_id_19I2,5.654,4.859,4.859,2.731
Map,layer-toggled-off,layer_id_19F1,5.653,4.858,4.858,2.730
Map,layer-toggled-off,layer_id_19D1,5.652,4.858,4.858,2.731
Map,layer-toggled-off,layer_id_19G2,5.652,4.857,4.857,2.732
Map,layer-toggled-off,layer_id_19G1,5.651,4.859,4.859,2.732
Map,layer-toggled-off,layer_id_19I3,5.651,4.856,4.856,2.729
Map,layer-toggled-off,layer_id_15B,5.629,4.887,4.887,3.009
Map,layer-toggled-off,layer_id_15G,5.627,4.887,4.887,3.009
Map,layer-toggled-off,layer_id_15K1,5.585,4.883,4.883,3.004
https://trafikkort.vejdirektoratet.dk/,gtm.click,mobile_main_checkbox_GroupA1,5.573,4.293,4.293,3.066
"https://trafikkort.vejdirektoratet.dk/index.html?visiblegroups=GroupA,GroupG",gtm.click,vd_menu_button,5.197,3.147,3.147,1.197
https://trafikkort.vejdirektoratet.dk/,gtm.click,car_img_mobile,5.195,3.651,3.651,3.496
https://trafikkort.vejdirektoratet.dk/,gtm.click,pc_main_checkbox_car_GroupC,4.973,3.723,3.723,2.606
Map,markerClick,layer_id_19I1 : Trafikman2/r_Trafikman2/1311338_TIC-Trafikman2/1.0,4.914,3.247,3.247,2.784
https://trafikkort.vejdirektoratet.dk/index.html?usertype=3,gtm.click,(not set),4.866,356,356,304
Map,layer-toggled-off,layer_id_15F,4.853,4.306,4.306,2.653
Map,layer-toggled-off,layer_id_15E,4.852,4.136,4.136,2.208
