# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170201-20170228
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,150.857,50.222,50.222,11.174
MAP,SELECT,MAP:SELECT:Trafikmeldinger,117.859,49.950,49.950,11.150
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,45.844,24.066,24.066,5.931
MAP,SELECT,MAP:SELECT:Webkamera,45.387,9.326,9.326,4.081
MAP,SELECT,MAP:SELECT:Vejarbejder,8.672,4.933,4.933,3.222
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,6.651,4.107,4.107,2.213
NAVIGATIONMENU,OPEN,(not set),6.464,4.057,4.057,2.864
LIST,OPEN,(not set),5.284,3.759,3.759,2.310
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,4.886,2.390,2.390,1.477
App,Start,App start: TrafikinfoApplication,3.049,720,720,26
WEBCAM,OPEN,N/A,2.918,1.794,1.794,1.030
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,2.624,1.422,1.422,1.089
Activity,Start,Screen start: TrafikinfoApplication:MainActivity,2.286,845,845,191
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,1.737,1.323,1.323,999
LIST,SELECT,LIST:SELECT:section:Vejarbejder,1.632,816,816,699
LIST,SELECT,LIST:SELECT:section:Webkamera,1.212,456,456,403
LIST,SELECT,LIST:SELECT:section:Rejsetider,832,486,486,409
views,entered,Area/MapChange/Trafikmeldinger,827,552,552,138
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_ON,614,601,601,566
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,561,469,469,378
WEBCAM,OPEN,WEBCAM:OPEN:E47/E55 Bårse S,544,453,453,270
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,515,477,477,430
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Solrød,501,460,460,319
WEBCAM,OPEN,WEBCAM:OPEN:E45 Ejer Baunehøj,496,441,441,320
WEBCAM,OPEN,WEBCAM:OPEN:E45 Horsens - V,490,418,418,304
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,443,416,416,373
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47/O4 Ishøj,409,342,342,252
LIST,SELECT,LIST:SELECT:section:Færger,399,239,239,219
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,393,345,345,303
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,355,330,330,288
WEBCAM,OPEN,WEBCAM:OPEN:Taulov M50 MTX - V,352,322,322,256
WEBCAM,OPEN,WEBCAM:OPEN:Bakkebølle - Ø,347,322,322,209
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,346,239,239,219
LIST,SELECT,LIST:SELECT:section:P4 Trafik,333,75,75,56
WEBCAM,OPEN,WEBCAM:OPEN:E45 Hylkedalbroen S,333,312,312,238
WEBCAM,OPEN,WEBCAM:OPEN:E47/E55 Algestrup S,333,308,308,192
