# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170401-20170430
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,142.634,50.471,50.471,12.811
MAP,SELECT,MAP:SELECT:Trafikmeldinger,128.535,50.294,50.294,12.796
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,35.632,18.070,18.070,6.282
MAP,SELECT,MAP:SELECT:Webkamera,28.115,8.382,8.382,4.608
MAP,SELECT,MAP:SELECT:Vejarbejder,18.168,8.866,8.866,5.237
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,11.209,5.795,5.795,3.106
NAVIGATIONMENU,OPEN,(not set),9.740,6.409,6.409,4.119
LIST,OPEN,(not set),8.527,5.701,5.701,3.238
MAP,SELECT,MAP:SELECT:Pladser,6.897,3.978,3.978,2.976
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,6.332,2.942,2.942,2.056
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,5.848,3.195,3.195,1.995
LIST,SELECT,LIST:SELECT:section:Vejarbejder,2.679,1.352,1.352,1.135
LIST,SELECT,LIST:SELECT:section:P4 Trafik,2.644,1.127,1.127,627
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,2.005,1.577,1.577,1.280
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.700,1.446,1.446,1.227
LIST,SELECT,LIST:SELECT:section:Webkamera,1.375,586,586,507
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,1.354,1.151,1.151,839
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.315,1.197,1.197,1.043
WEBCAM,OPEN,N/A,1.310,941,941,696
App,Start,App start: TrafikinfoApplication,1.257,446,446,18
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,1.189,990,990,805
LIST,SELECT,LIST:SELECT:section:Rejsetider,1.134,702,702,594
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,934,853,853,711
Activity,Start,Screen start: TrafikinfoApplication:MainActivity,922,381,381,103
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,893,844,844,805
LIST,SELECT,LIST:SELECT:section:Pladser,862,447,447,411
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,643,454,454,405
LIST,SELECT,LIST:SELECT:section:Færger,577,362,362,325
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,545,484,484,440
views,entered,Area/MapChange/Trafikmeldinger,487,350,350,98
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,448,415,415,381
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Solrød,439,365,365,252
WEBCAM,OPEN,WEBCAM:OPEN:E20 Fjelsted Ø,419,320,320,242
WEBCAM,OPEN,WEBCAM:OPEN:E20 Vissenbjerg Ø,417,351,351,269
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,390,361,361,331
WEBCAM,OPEN,WEBCAM:OPEN:Rute 180 Limfj.broen N,388,290,290,233
WEBCAM,OPEN,WEBCAM:OPEN:E45 Aalborg,326,261,261,164
WEBCAM,OPEN,WEBCAM:OPEN:E20 Lillebæltsbroen,298,271,271,202
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,295,269,269,245
WEBCAM,OPEN,WEBCAM:OPEN:E45 Horsens - V,292,231,231,167
