# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170501-20170531
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,167.275,55.315,55.315,13.131
MAP,SELECT,MAP:SELECT:Trafikmeldinger,154.149,55.102,55.102,13.107
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,55.010,25.265,25.265,7.062
MAP,SELECT,MAP:SELECT:Webkamera,28.368,7.659,7.659,3.943
MAP,SELECT,MAP:SELECT:Vejarbejder,16.576,7.537,7.537,4.486
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,11.438,5.879,5.879,2.877
LIST,OPEN,(not set),7.809,4.777,4.777,2.576
NAVIGATIONMENU,OPEN,(not set),7.418,4.896,4.896,3.263
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,6.461,2.917,2.917,1.882
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,5.687,2.735,2.735,1.530
MAP,SELECT,MAP:SELECT:Pladser,4.478,2.580,2.580,2.064
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,2.266,1.887,1.887,1.326
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,2.265,1.629,1.629,1.235
LIST,SELECT,LIST:SELECT:section:P4 Trafik,2.175,997,997,467
LIST,SELECT,LIST:SELECT:section:Vejarbejder,2.002,983,983,806
WEBCAM,OPEN,N/A,1.575,1.074,1.074,735
App,Start,App start: TrafikinfoApplication,1.230,346,346,17
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.130,944,944,795
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Solrød,1.100,851,851,339
LIST,SELECT,LIST:SELECT:section:Webkamera,1.065,391,391,340
Activity,Start,Screen start: TrafikinfoApplication:MainActivity,960,382,382,95
LIST,SELECT,LIST:SELECT:section:Rejsetider,958,511,511,422
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,845,775,775,677
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,808,652,652,525
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,622,568,568,485
LIST,SELECT,LIST:SELECT:section:Pladser,518,259,259,240
WEBCAM,OPEN,WEBCAM:OPEN:E20 Lillebæltsbroen,513,396,396,249
WEBCAM,OPEN,WEBCAM:OPEN:E45 Aalborg,488,363,363,198
views,entered,Area/MapChange/Trafikmeldinger,478,351,351,88
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,462,386,386,364
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,431,279,279,251
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,429,385,385,342
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47/O4 Ishøj,356,280,280,207
WEBCAM,OPEN,WEBCAM:OPEN:Rute 180 Limfj.broen N,344,267,267,206
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,342,288,288,266
WEBCAM,OPEN,WEBCAM:OPEN:E20 Vissenbjerg Ø,342,262,262,201
WEBCAM,OPEN,WEBCAM:OPEN:E20 Kauslunde V,337,262,262,191
LIST,SELECT,LIST:SELECT:section:Færger,321,201,201,167
WEBCAM,OPEN,WEBCAM:OPEN:E20 Fjelsted Ø,319,241,241,190
WEBCAM,OPEN,WEBCAM:OPEN:E20 Salby Ø,314,281,281,181
WEBCAM,OPEN,WEBCAM:OPEN:Taulov M50 MTX - V,304,215,215,170
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,275,208,208,191
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,262,234,234,213
views,entered,Area/Custom,246,204,204,52
WEBCAM,OPEN,WEBCAM:OPEN:E45 Horsens - V,235,203,203,140
WEBCAM,OPEN,WEBCAM:OPEN:E45 Ejer Baunehøj,224,186,186,135
WEBCAM,OPEN,WEBCAM:OPEN:Rute 313 Nørre Aaby,223,186,186,159
WEBCAM,OPEN,WEBCAM:OPEN:E45 Tilst,222,189,189,101
WEBCAM,OPEN,WEBCAM:OPEN:Rute 180 Limfj.broen S,206,184,184,127
WEBCAM,OPEN,WEBCAM:OPEN:E20 Storebæltbroen,189,183,183,144
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Karlslunde rasteplads - S,183,172,172,151
WEBCAM,OPEN,WEBCAM:OPEN:Søften - N,182,151,151,121
WEBCAM,OPEN,WEBCAM:OPEN:Vemmelev - V,173,149,149,126
WEBCAM,OPEN,WEBCAM:OPEN:Vallensbæk S - V,169,147,147,114
WEBCAM,OPEN,WEBCAM:OPEN:Ringsted_13,164,138,138,103
WEBCAM,OPEN,WEBCAM:OPEN:Rute16 Fausing - V,163,127,127,21
WEBCAM,OPEN,WEBCAM:OPEN:E20 Ringsted,160,131,131,106
WEBCAM,OPEN,WEBCAM:OPEN:E47/E55 Algestrup S,159,138,138,89
WEBCAM,OPEN,WEBCAM:OPEN:Roskilde_10,157,142,142,107
WEBCAM,OPEN,WEBCAM:OPEN:Odense Syd - V,150,134,134,102
WEBCAM,OPEN,WEBCAM:OPEN:E45 Hylkedalbroen S,139,132,132,99
WEBCAM,OPEN,WEBCAM:OPEN:E45 Kolding - NV,139,115,115,87
WEBCAM,OPEN,"WEBCAM:OPEN:E45/15 Århus V, mod Ø",138,128,128,114
WEBCAM,OPEN,WEBCAM:OPEN:Kolding N MTX - SV,137,119,119,102
WEBCAM,OPEN,WEBCAM:OPEN:E20 Borup Ø,135,109,109,89
WEBCAM,OPEN,WEBCAM:OPEN:E20 Kalvebodbroen S,134,116,116,105
WEBCAM,OPEN,WEBCAM:OPEN:E45 Frøslev 1,133,104,104,55
WEBCAM,OPEN,WEBCAM:OPEN:E45 Nørresundby S,133,116,116,95
WEBCAM,OPEN,WEBCAM:OPEN:Kalvebod - V,130,114,114,97
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,129,102,102,94
WEBCAM,OPEN,WEBCAM:OPEN:Langebro NV,127,107,107,89
WEBCAM,OPEN,WEBCAM:OPEN:Kolding Ø - V,123,105,105,84
WEBCAM,OPEN,WEBCAM:OPEN:Sorø - V,120,105,105,91
WEBCAM,OPEN,WEBCAM:OPEN:Universitetsboulevarden,120,110,110,85
WEBCAM,OPEN,"WEBCAM:OPEN:E45 Vejle N, mod S",115,97,97,72
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,113,96,96,88
