# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170901-20170930
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,170.956,62.396,62.396,13.514
MAP,SELECT,MAP:SELECT:Trafikinfo,86.409,54.663,54.663,12.769
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,56.667,27.194,27.194,7.341
MAP,SELECT,MAP:SELECT:Webkamera,17.679,4.460,4.460,1.837
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,12.834,6.417,6.417,2.890
MAP,SELECT,MAP:SELECT:Vejarbejde,12.715,6.091,6.091,3.627
MAP,SELECT,MAP:SELECT:Trafikmeldinger,11.453,4.202,4.202,859
NAVIGATIONMENU,OPEN,(not set),8.805,6.019,6.019,3.822
LIST,OPEN,LIST:OPEN:P4LIST,7.806,6.481,6.481,3.619
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,5.681,2.470,2.470,1.492
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,5.191,3.715,3.715,2.396
LIST,OPEN,(not set),5.127,4.168,4.168,2.620
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,3.875,1.968,1.968,1.247
LIST,SELECT,LIST:SELECT:section:Vejarbejder,2.254,1.146,1.146,947
LIST,SELECT,LIST:SELECT:section:Webkamera,2.168,716,716,579
LIST,SELECT,LIST:SELECT:section:P4 Trafik,1.819,1.229,1.229,763
MAP,SELECT,MAP:SELECT:Pladser,1.523,738,738,607
WEBCAM,OPEN,No webcam,1.492,777,777,445
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.176,1.043,1.043,814
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,1.126,899,899,729
Activity,Start,Screen start: TrafikinfoApplication:MainActivity,971,368,368,46
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,894,817,817,668
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,854,745,745,549
MAP,SELECT,MAP:SELECT:Vejarbejder,813,369,369,212
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,811,706,706,643
LIST,SELECT,LIST:SELECT:itemtype_WebCam,679,376,376,294
LIST,SELECT,LIST:SELECT:section:Pladser,648,318,318,288
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,620,560,560,432
LIST,SELECT,LIST:SELECT:itemtype_P4Area,599,439,439,315
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,524,363,363,321
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,463,420,420,361
LIST,SELECT,LIST:SELECT:itemtype_Traffic,452,285,285,187
views,entered,Area/MapChange/Trafikmeldinger,432,294,294,76
LIST,SELECT,LIST:SELECT:section:Færger,419,263,263,216
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,369,332,332,309
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Aalborg,343,271,271,108
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Lillebæltsbroen,329,292,292,161
