# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180101-20180131
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,8.055,3.759,3.759,764
MAP,SELECT,MAP:SELECT:Trafikinfo,5.415,3.365,3.365,745
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,2.279,1.388,1.388,310
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,834,445,445,163
MAP,SELECT,MAP:SELECT:Vejarbejde,601,283,283,176
MAP,SELECT,MAP:SELECT:Webkamera,563,181,181,105
NAVIGATIONMENU,OPEN,(not set),502,361,361,235
LIST,OPEN,LIST:OPEN:P4LIST,455,351,351,177
LIST,OPEN,(not set),335,262,262,146
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,308,258,258,90
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,280,104,104,46
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,222,91,91,55
MAP,SELECT,MAP:SELECT:Temperatur,214,184,184,76
LIST,SELECT,LIST:SELECT:section:Bus - Hovedstaden,191,67,67,43
LIST,SELECT,LIST:SELECT:section:Metro - Hovedstaden,175,75,75,37
MAP,SELECT,MAP:SELECT:Cykel/saltning,149,91,91,72
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,134,77,77,44
MAP,SELECT,MAP:SELECT:Trafikmeldinger,105,56,56,14
LIST,SELECT,LIST:SELECT:section:Tog - Hovedstaden,98,50,50,27
LIST,SELECT,LIST:SELECT:section:Vejarbejder,89,37,37,23
LIST,SELECT,LIST:SELECT:section:Webkamera,88,33,33,18
LIST,SELECT,LIST:SELECT:section:Twitter - Hovedstaden,86,40,40,13
LIST,SELECT,LIST:SELECT:section:Temperatur,54,30,30,12
LIST,SELECT,LIST:SELECT:section:Lokaltog - Hovedstaden,48,26,26,11
LIST,SELECT,LIST:SELECT:section:Rejsetider,39,24,24,11
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,34,24,24,15
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,31,27,27,18
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Langebro-NV,27,24,24,13
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,23,13,13,9
LIST,SELECT,LIST:SELECT:itemtype_STrain,23,18,18,13
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,21,20,20,12
EVENT,OPEN,EVENT:OPEN:fullscreen:metro,20,18,18,13
LIST,SELECT,LIST:SELECT:itemtype_Bus,19,13,13,9
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,19,19,19,19
LIST,SELECT,LIST:SELECT:itemtype_WebCam,17,10,10,8
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,16,16,16,15
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,16,15,15,15
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,15,14,14,10
LIST,SELECT,LIST:SELECT:itemtype_Metro,15,14,14,12
LIST,SELECT,LIST:SELECT:section:P4 Trafik,14,11,11,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Gl.-Holte,14,11,11,10
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Roskildevej,13,12,12,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kalvebod---V,13,11,11,5
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vallensbæk-S---V,13,13,13,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Øster-Voldgade,13,11,11,8
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E20-København-C,-SØ",12,11,11,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Center-Boulevard,11,11,11,11
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-16-Hareskoven,11,9,9,5
EVENT,OPEN,EVENT:OPEN:fullscreen:train,10,9,9,4
LIST,SELECT,LIST:SELECT:itemtype_Train,10,9,9,4
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Amager-Boulevard,10,9,9,5
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Nordhavn,10,10,10,7
LIST,SELECT,LIST:SELECT:itemtype_Traffic,9,8,8,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Gladsaxe,9,8,8,8
LIST,SELECT,LIST:SELECT:itemtype_P4Area,8,8,8,6
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,8,8,8,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kalvebodbroen-S,8,7,7,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Høje-Tåstrup,8,7,7,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Øster-Alle-SØ,8,8,8,8
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:I Bike CPH App,7,7,7,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kbh.-Lufthavn-V,7,7,7,6
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E20-København-C,-S",7,7,7,5
