# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180301-20180331
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,451.029,133.252,133.252,22.470
MAP,SELECT,MAP:SELECT:Trafikinfo,198.721,124.622,124.622,22.187
MAP,SELECT,MAP:SELECT:Webkamera,143.731,26.898,26.898,8.658
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,143.458,64.876,64.876,13.914
MAP,SELECT,MAP:SELECT:Vejarbejde,16.847,9.648,9.648,5.910
LIST,OPEN,LIST:OPEN:P4LIST,16.678,13.688,13.688,6.801
NAVIGATIONMENU,OPEN,(not set),14.922,10.689,10.689,6.769
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,12.875,9.682,9.682,4.400
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,10.598,7.495,7.495,4.708
MAP,SELECT,MAP:SELECT:Pladser,7.341,4.604,4.604,3.545
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,6.202,2.973,2.973,1.818
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,5.200,2.449,2.449,1.782
GEOFENCE,ENTER,GEOFENCE:ENTER:7,3.796,3.736,3.736,1.353
GEOFENCE,ENTER,GEOFENCE:ENTER:10,3.721,3.453,3.453,1.526
GEOFENCE,LEAVE,GEOFENCE:LEAVE:7,3.708,3.649,3.649,1.326
GEOFENCE,ENTER,GEOFENCE:ENTER:6,3.687,3.635,3.635,1.342
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,3.596,3.320,3.320,1.479
GEOFENCE,LEAVE,GEOFENCE:LEAVE:6,3.582,3.535,3.535,1.319
LIST,SELECT,LIST:SELECT:section:Webkamera,3.306,1.078,1.078,870
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Bakkebølle---Ø,3.064,2.579,2.579,1.162
LIST,SELECT,LIST:SELECT:section:P4 Trafik,3.034,2.180,2.180,1.342
LIST,SELECT,LIST:SELECT:section:Vejarbejder,2.692,1.344,1.344,1.128
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Ønslev,2.407,2.103,2.103,1.032
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Bårse-S,2.155,1.892,1.892,1.003
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Lillebæltsbroen,2.128,1.700,1.700,1.048
MAP,SELECT,MAP:SELECT:Trafikmeldinger,2.079,879,879,184
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Taulov-M50-MTX---V,1.756,1.398,1.398,936
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kauslunde-V,1.663,1.327,1.327,870
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Fjelsted-Ø,1.535,1.188,1.188,781
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Sakskøbing,1.514,1.367,1.367,735
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.437,1.276,1.276,1.127
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-313-Nørre-Aaby,1.406,1.129,1.129,782
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Vissenbjerg-Ø,1.401,1.217,1.217,829
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Hillested,1.352,1.232,1.232,709
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Algestrup-S,1.344,1.210,1.210,692
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-38-Aakirkeby,1.332,1.260,1.260,524
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Rønnede-S,1.319,1.165,1.165,652
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Haderslev,1.317,1.173,1.173,803
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,1.294,1.171,1.171,1.073
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,1.224,1.137,1.137,1.012
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Hylkedalbroen-S,1.215,1.098,1.098,759
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.205,1.106,1.106,976
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Horsens---V,1.166,1.054,1.054,700
LIST,SELECT,LIST:SELECT:itemtype_WebCam,1.160,522,522,397
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Ejer-Bavnehøj-V---N,1.124,993,993,632
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Nykøbing-Falster---N,1.070,992,992,619
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-9-Nakskov,1.010,917,917,499
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Solrød,1.003,897,897,569
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,981,850,850,726
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rødekro,964,873,873,647
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kliplev---N,963,867,867,577
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rødby-Havn,952,858,858,502
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kalvehave-V,905,825,825,472
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Smidstrup-S,904,760,760,562
LIST,SELECT,LIST:SELECT:section:Pladser,867,429,429,404
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,853,781,781,666
LIST,SELECT,LIST:SELECT:itemtype_P4Area,842,643,643,485
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kolding-N-MTX---SV,833,692,692,525
PLACE,OPEN,PLACE:OPEN:rasteplads,826,428,428,398
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Ringsted,818,738,738,502
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,810,644,644,540
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Karlslunde-rasteplads---S,809,726,726,469
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Odense-Syd---V,808,728,728,521
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Sorø---V,803,682,682,474
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-9-Bregninge,783,680,680,359
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-9-Svendborgsundbroen-N,776,711,711,419
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E55-Gedser-S,773,734,734,428
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Everdrup,773,687,687,436
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vemmelev---V,769,696,696,495
