# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180601-20180630
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,262.319,90.063,90.063,17.190
MAP,SELECT,MAP:SELECT:Trafikinfo,123.568,84.164,84.164,17.027
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,101.665,46.351,46.351,10.952
MAP,SELECT,MAP:SELECT:Webkamera,33.766,8.954,8.954,4.272
GEOFENCE,ENTER,GEOFENCE:ENTER:10,17.855,16.139,16.139,3.616
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,17.324,15.658,15.658,3.544
MAP,SELECT,MAP:SELECT:Vejarbejde,14.772,7.074,7.074,4.199
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,12.087,8.559,8.559,3.592
ACCEPTANCE,ACCEPT,ACCEPTANCE:ACCEPT:Geofences,11.529,11.384,11.384,11.405
LIST,OPEN,LIST:OPEN:P4LIST,9.974,7.924,7.924,4.038
NAVIGATIONMENU,OPEN,(not set),9.229,6.500,6.500,4.353
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,6.650,4.499,4.499,3.018
MAP,SELECT,MAP:SELECT:Pladser,6.409,3.681,3.681,2.857
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,6.115,2.542,2.542,1.595
GEOFENCE,ENTER,GEOFENCE:ENTER:7,3.594,3.513,3.513,1.152
GEOFENCE,LEAVE,GEOFENCE:LEAVE:7,3.542,3.460,3.460,1.132
GEOFENCE,ENTER,GEOFENCE:ENTER:27,3.402,3.322,3.322,1.101
GEOFENCE,LEAVE,GEOFENCE:LEAVE:27,3.379,3.299,3.299,1.091
GEOFENCE,ENTER,GEOFENCE:ENTER:6,3.315,3.245,3.245,1.108
GEOFENCE,LEAVE,GEOFENCE:LEAVE:6,3.277,3.206,3.206,1.093
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,3.166,1.586,1.586,972
GEOFENCE,ENTER,GEOFENCE:ENTER:28,3.161,3.097,3.097,1.068
GEOFENCE,LEAVE,GEOFENCE:LEAVE:28,3.133,3.067,3.067,1.058
GEOFENCE,ENTER,GEOFENCE:ENTER:26,3.084,3.030,3.030,1.006
GEOFENCE,LEAVE,GEOFENCE:LEAVE:26,3.049,2.999,2.999,995
GEOFENCE,ENTER,GEOFENCE:ENTER:25,2.950,2.891,2.891,982
GEOFENCE,LEAVE,GEOFENCE:LEAVE:25,2.931,2.872,2.872,975
LIST,SELECT,LIST:SELECT:section:P4 Trafik,1.914,1.274,1.274,753
ACCEPTANCE,DENY,ACCEPTANCE:DENY:Geofences,1.866,1.819,1.819,1.814
LIST,SELECT,LIST:SELECT:section:Vejarbejder,1.818,863,863,737
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,1.419,901,901,726
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,1.363,1.052,1.052,771
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,1.266,1.045,1.045,979
PROJECT,FOLLOW,PROJECT:FOLLOW:4,1.213,1.131,1.131,715
LIST,SELECT,LIST:SELECT:section:Webkamera,1.181,420,420,393
MAP,SELECT,MAP:SELECT:Trafikmeldinger,1.095,464,464,133
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,964,843,843,753
PLACE,OPEN,PLACE:OPEN:rasteplads,704,329,329,262
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,674,618,618,562
LIST,SELECT,LIST:SELECT:section:Færger,664,257,257,228
