# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180701-20180731
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,256.017,86.060,86.060,17.836
MAP,SELECT,MAP:SELECT:Trafikinfo,119.721,81.510,81.510,17.697
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,91.084,42.550,42.550,11.331
MAP,SELECT,MAP:SELECT:Webkamera,47.534,10.356,10.356,4.531
GEOFENCE,ENTER,GEOFENCE:ENTER:10,15.038,13.657,13.657,3.714
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,14.716,13.373,13.373,3.653
MAP,SELECT,MAP:SELECT:Vejarbejde,14.496,7.197,7.197,4.375
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,11.090,7.986,7.986,3.895
NAVIGATIONMENU,OPEN,(not set),9.777,6.821,6.821,4.599
LIST,OPEN,LIST:OPEN:P4LIST,9.693,7.778,7.778,4.235
ACCEPTANCE,ACCEPT,ACCEPTANCE:ACCEPT:Geofences,7.401,7.344,7.344,7.398
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,6.182,4.166,4.166,3.072
MAP,SELECT,MAP:SELECT:Pladser,6.077,3.231,3.231,2.451
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,5.364,2.367,2.367,1.548
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,3.651,1.771,1.771,1.161
GEOFENCE,ENTER,GEOFENCE:ENTER:7,3.075,3.017,3.017,1.250
GEOFENCE,LEAVE,GEOFENCE:LEAVE:7,3.037,2.981,2.981,1.240
GEOFENCE,ENTER,GEOFENCE:ENTER:27,2.754,2.732,2.732,1.117
GEOFENCE,LEAVE,GEOFENCE:LEAVE:27,2.722,2.697,2.697,1.100
GEOFENCE,ENTER,GEOFENCE:ENTER:26,2.671,2.610,2.610,1.079
GEOFENCE,ENTER,GEOFENCE:ENTER:28,2.645,2.613,2.613,1.090
GEOFENCE,LEAVE,GEOFENCE:LEAVE:26,2.629,2.573,2.573,1.065
GEOFENCE,LEAVE,GEOFENCE:LEAVE:28,2.619,2.590,2.590,1.077
GEOFENCE,ENTER,GEOFENCE:ENTER:6,2.559,2.524,2.524,1.050
GEOFENCE,LEAVE,GEOFENCE:LEAVE:6,2.532,2.497,2.497,1.039
GEOFENCE,ENTER,GEOFENCE:ENTER:25,2.290,2.254,2.254,966
GEOFENCE,LEAVE,GEOFENCE:LEAVE:25,2.258,2.224,2.224,957
LIST,SELECT,LIST:SELECT:section:Vejarbejder,2.200,1.008,1.008,861
LIST,SELECT,LIST:SELECT:section:P4 Trafik,2.123,1.487,1.487,887
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,1.850,1.412,1.412,946
LIST,SELECT,LIST:SELECT:section:Webkamera,1.845,562,562,489
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,1.698,1.467,1.467,1.278
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.214,1.074,1.074,922
ACCEPTANCE,DENY,ACCEPTANCE:DENY:Geofences,1.164,1.146,1.146,1.146
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,1.139,733,733,506
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Storebæltbroen,1.040,777,777,564
PLACE,OPEN,PLACE:OPEN:rasteplads,903,363,363,284
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,871,770,770,672
MAP,SELECT,MAP:SELECT:Trafikmeldinger,791,388,388,107
LIST,SELECT,LIST:SELECT:section:Pladser,784,349,349,321
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,771,673,673,560
LIST,SELECT,LIST:SELECT:itemtype_WebCam,718,246,246,215
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,715,586,586,526
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-180-Limfj.broen-N,715,583,583,463
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Fjelsted-Ø,666,521,521,334
LIST,SELECT,LIST:SELECT:section:Færger,649,310,310,287
LIST,SELECT,LIST:SELECT:itemtype_Traffic,647,389,389,190
LIST,SELECT,LIST:SELECT:itemtype_P4Area,621,409,409,289
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vemmelev---V,620,480,480,350
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Lillebæltsbroen,609,542,542,367
PLACE,OPEN,PLACE:OPEN:samkoersel,607,346,346,305
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,586,519,519,442
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Hylkedalbroen-S,572,481,481,307
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,570,347,347,333
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kauslunde-V,567,455,455,301
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Nyborg-C---S,563,471,471,369
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Vissenbjerg-Ø,561,492,492,322
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Ejer-Bavnehøj-V---N,549,467,467,269
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,543,498,498,469
