# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180801-20180831
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,7.173,2.889,2.889,626
MAP,SELECT,MAP:SELECT:Trafikinfo,3.639,2.655,2.655,617
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,2.059,1.052,1.052,277
MAP,SELECT,MAP:SELECT:Webkamera,791,221,221,119
MAP,SELECT,MAP:SELECT:Vejarbejde,621,251,251,115
LIST,OPEN,LIST:OPEN:P4LIST,494,312,312,125
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,336,228,228,123
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,305,241,241,97
NAVIGATIONMENU,OPEN,(not set),291,209,209,143
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,290,88,88,45
LIST,SELECT,LIST:SELECT:section:Bus - Hovedstaden,256,40,40,17
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,110,33,33,18
LIST,OPEN,(not set),78,47,47,4
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,78,64,64,43
LIST,SELECT,LIST:SELECT:section:Vejarbejder,76,15,15,11
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,72,18,18,4
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,71,31,31,27
LIST,SELECT,LIST:SELECT:itemtype_Bus,70,18,18,4
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,68,39,39,31
MAP,SELECT,MAP:SELECT:Temperatur,65,37,37,27
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,59,52,52,43
LIST,SELECT,LIST:SELECT:section:Metro - Hovedstaden,54,23,23,17
LIST,SELECT,LIST:SELECT:section:Webkamera,46,10,10,8
LIST,SELECT,LIST:SELECT:section:Twitter - Hovedstaden,43,27,27,7
LIST,SELECT,LIST:SELECT:itemtype_RoadWork,42,6,6,4
LIST,SELECT,LIST:SELECT:section:Tog - Hovedstaden,41,21,21,14
MAP,SELECT,MAP:SELECT:Cykel/saltning,39,22,22,17
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,38,37,37,22
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Langebro-NV,36,34,34,14
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,33,27,27,23
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,32,31,31,17
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_TIME_LIMIT,29,22,22,18
LIST,SELECT,LIST:SELECT:itemtype_WebCam,27,5,5,4
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,25,11,11,8
LIST,SELECT,LIST:SELECT:itemtype_STrain,25,11,11,8
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_AREA,23,21,21,20
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,22,19,19,17
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,22,16,16,16
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,21,13,13,5
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kalvebod---V,20,16,16,15
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,19,18,18,17
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47/O4-Ishøj,18,14,14,13
MAP,SELECT,MAP:SELECT:Trafikmeldinger,17,12,12,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Center-Boulevard,17,12,12,9
LIST,SELECT,LIST:SELECT:section:Temperatur,16,6,6,6
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_EDIT,16,11,11,10
LIST,SELECT,LIST:SELECT:itemtype_Traffic,15,4,4,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kalvebodbroen-S,15,14,14,13
LIST,SELECT,LIST:SELECT:section:P4 Trafik,14,13,13,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kbh.-Lufthavn-V,14,12,12,10
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Gl.-Holte,14,13,13,10
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Nordhavn,14,13,13,8
EVENT,OPEN,EVENT:OPEN:fullscreen:metro,13,13,13,10
LIST,SELECT,LIST:SELECT:itemtype_Metro,13,13,13,10
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Bispeengbuen---SØ,13,11,11,10
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Karlslunde-rasteplads---S,13,8,8,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Brådebæk,12,9,9,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Brøndby,11,10,10,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Buddinge,11,8,8,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Gladsaxe,11,10,10,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Hornbækvej---N,11,8,8,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Brøndby,11,10,10,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vallensbæk-S---V,11,11,11,9
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,10,10,10,10
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E20-København-C,-SØ",10,9,9,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Solrød,10,9,9,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-201-Lyngby-Omfv.,10,10,10,10
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Øster-Voldgade,10,10,10,6
EVENT,OPEN,EVENT:OPEN:fullscreen:train,9,9,9,5
LIST,SELECT,LIST:SELECT:itemtype_Train,9,9,9,5
LIST,SELECT,LIST:SELECT:section:Rejsetider,9,9,9,9
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_UNMUTE,9,8,8,8
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E20-København-C,-S",9,9,9,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Storebæltbroen,9,7,7,4
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Jyllingevej,9,9,9,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Roskildevej,9,9,9,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Baldersbr.-V,9,8,8,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vigerslevvej,9,9,9,8
LIST,SELECT,LIST:SELECT:itemtype_P4Area,8,8,8,7
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:I Bike CPH App,8,8,8,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Amager-Boulevard,8,8,8,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-19-Brogårdsvej,8,7,7,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-19-Lyngbyvej-S,8,8,8,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Viemosevej---S,8,7,7,6
LIST,SELECT,LIST:SELECT:itemtype_TwitterStatus,7,7,7,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-19-Bernstorffsvej,7,7,7,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Høje-Tåstrup,7,7,7,4
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,6,6,6,6
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_MUTE,6,6,6,6
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_DELETE,6,6,6,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Albertslund-O4,6,6,6,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Amager-Strandvej,6,6,6,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Fjelsted-Ø,6,2,2,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Humlebæk-S,6,5,5,4
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Slotsherrensvej,6,6,6,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Taastrup-V---V,6,5,5,5
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Ølsted---V,6,4,4,4
LIST,SELECT,LIST:SELECT:section:Lokaltog - Hovedstaden,5,5,5,3
WEBCAM,FOLLOW,WEBCAM:FOLLOW:E47 Buddinge,5,3,3,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Bagsværd---N,5,3,3,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Helsingør-SV,5,4,4,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Algestrup-S,5,4,4,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Fiskebæk-N,4,4,4,4
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Grønnemose-Alle---Ø,4,4,4,4
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kvistgård---SV,4,3,3,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Ruten,4,4,4,4
LIST,SELECT,LIST:SELECT:itemtype_String,3,1,1,1
MAP,SELECT,MAP:SELECT:Vejarbejder,3,1,1,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:E47 Gladsaxe,3,3,3,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:E47 Helsingør SV,3,2,2,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:E55 Stavreby,3,2,2,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Kvistgård - NØ,3,2,2,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Kvistgård - SV,3,2,2,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Søften - N,3,2,2,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Nyborg-C---S,3,3,3,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Salby-Ø,3,3,3,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Vissenbjerg-Ø,3,2,2,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E55-Gedser-S,3,3,3,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E55-Stavreby,3,2,2,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Fiskebækbroen-N,3,2,2,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Roskilde_10,3,3,3,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-16-Hundested,3,3,3,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Gevninge,3,3,3,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-265-Korsør,3,3,3,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Søften---N,3,2,2,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vemmelev---V,3,3,3,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Øster-Alle-SØ,3,3,3,3
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,2,2,2,2
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_CATEGORIES_CHANGE,2,2,2,2
WEBCAM,FOLLOW,"WEBCAM:FOLLOW:E20 København C, Ø",2,2,2,1
