# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20181001-20181031
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,9.784,4.108,4.108,738
MAP,SELECT,MAP:SELECT:Trafikinfo,5.254,3.744,3.744,730
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,2.491,1.495,1.495,346
MAP,SELECT,MAP:SELECT:Webkamera,1.245,336,336,172
MAP,SELECT,MAP:SELECT:Vejarbejde,717,303,303,174
LIST,OPEN,LIST:OPEN:P4LIST,538,431,431,179
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,536,364,364,149
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,508,382,382,132
LIST,SELECT,LIST:SELECT:section:Bus - Hovedstaden,412,43,43,23
NAVIGATIONMENU,OPEN,(not set),382,284,284,211
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,322,117,117,67
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,104,94,94,41
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,103,31,31,21
MAP,SELECT,MAP:SELECT:Temperatur,96,64,64,53
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,84,75,75,25
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,83,39,39,25
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,81,66,66,49
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,78,66,66,46
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,74,42,42,34
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,69,17,17,5
LIST,SELECT,LIST:SELECT:itemtype_Bus,69,17,17,5
LIST,SELECT,LIST:SELECT:section:Vejarbejder,69,25,25,18
LIST,SELECT,LIST:SELECT:section:Twitter - Hovedstaden,65,30,30,8
