# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20181101-20181130
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,9.048,3.855,3.855,729
MAP,SELECT,MAP:SELECT:Trafikinfo,4.894,3.492,3.492,724
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,2.171,1.314,1.314,326
MAP,SELECT,MAP:SELECT:Webkamera,1.239,361,361,155
LIST,OPEN,LIST:OPEN:P4LIST,555,418,418,165
MAP,SELECT,MAP:SELECT:Vejarbejde,546,260,260,150
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,537,342,342,146
LIST,SELECT,LIST:SELECT:section:Bus - Hovedstaden,426,47,47,29
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,373,299,299,116
NAVIGATIONMENU,OPEN,(not set),332,259,259,194
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,222,83,83,51
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,191,47,47,33
LIST,SELECT,LIST:SELECT:section:Twitter - Hovedstaden,126,47,47,9
MAP,SELECT,MAP:SELECT:Temperatur,122,78,78,53
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,116,22,22,6
LIST,SELECT,LIST:SELECT:itemtype_Bus,112,22,22,6
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,101,87,87,32
MAP,SELECT,MAP:SELECT:Cykel/saltning,91,32,32,22
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,88,73,73,20
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,81,41,41,30
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Langebro-NV,73,51,51,14
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,67,55,55,45
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,65,51,51,38
LIST,SELECT,LIST:SELECT:section:Metro - Hovedstaden,62,25,25,23
LIST,SELECT,LIST:SELECT:section:Tog - Hovedstaden,62,31,31,24
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,57,30,30,22
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Langebro NV,53,39,39,3
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Langebro SØ,51,38,38,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47/O4-Ishøj,49,31,31,16
LIST,SELECT,LIST:SELECT:section:Vejarbejder,47,17,17,14
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Amager-Boulevard,42,28,28,5
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vallensbæk-S---V,41,33,33,10
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Karlslunde-rasteplads---S,39,27,27,16
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Gl.-Holte,32,27,27,20
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Roskildevej,32,29,29,14
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_AREA,31,22,22,20
LIST,SELECT,LIST:SELECT:itemtype_TwitterStatus,30,19,19,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kalvebod---V,30,25,25,16
LIST,SELECT,LIST:SELECT:section:Webkamera,25,8,8,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Gladsaxe,25,23,23,21
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kalvebodbroen-S,24,22,22,16
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,23,20,20,20
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Vallensbæk S - V,22,18,18,1
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,21,19,19,15
LIST,SELECT,LIST:SELECT:itemtype_STrain,21,19,19,15
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-201-Lyngby-Omfv.,21,19,19,14
LIST,SELECT,LIST:SELECT:itemtype_Traffic,20,10,10,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-16-Hareskoven,19,17,17,14
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Center-Boulevard,18,18,18,10
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Buddinge,18,14,14,13
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Gevninge,18,16,16,8
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,17,17,17,17
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_TIME_LIMIT,17,12,12,12
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Bagsværd---N,17,15,15,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Øster-Voldgade,17,11,11,7
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,16,11,11,9
LIST,SELECT,LIST:SELECT:section:Temperatur,16,12,12,8
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,16,13,13,12
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Brådebæk,16,14,14,11
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Brøndby,16,12,12,10
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,15,15,15,15
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,15,13,13,13
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_EDIT,15,7,7,7
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_MUTE,14,13,13,13
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E20-København-C,-S",14,12,12,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Nordhavn,14,9,9,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Fiskebækbroen-N,13,11,11,9
EVENT,OPEN,EVENT:OPEN:fullscreen:metro,12,11,11,9
LIST,SELECT,LIST:SELECT:itemtype_Metro,12,11,11,9
LIST,SELECT,LIST:SELECT:section:Rejsetider,12,9,9,8
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E20-København-C,-SØ",11,11,11,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Storebæltbroen,11,9,9,9
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Jyllingevej,11,10,10,10
EVENT,OPEN,EVENT:OPEN:fullscreen:train,9,9,9,7
LIST,SELECT,LIST:SELECT:itemtype_Train,9,9,9,7
LIST,SELECT,LIST:SELECT:section:P4 Trafik,9,9,9,8
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Øster Voldgade,9,5,5,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Allerød-S---N,9,8,8,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Brøndby,9,9,9,7
LIST,OPEN,(not set),8,5,5,2
LIST,SELECT,LIST:SELECT:itemtype_WebCam,8,3,3,3
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:I Bike CPH App,8,8,8,8
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_UNMUTE,8,7,7,7
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_DELETE,8,8,8,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Bispeengbuen---SØ,8,7,7,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Solrød,8,7,7,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-19-Brogårdsvej,8,8,8,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Høje-Tåstrup,8,7,7,4
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Viemosevej---S,8,8,8,8
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Øster-Alle-SØ,8,8,8,7
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_CATEGORIES_CHANGE,7,7,7,5
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kbh.-Lufthavn-V,7,7,7,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-19-Lyngbyvej-S,7,5,5,5
LIST,SELECT,LIST:SELECT:itemtype_P4Area,6,6,6,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Ballerup-Boulevard---V,6,6,6,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Ringsted_13,6,5,5,5
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vigerslevvej,6,6,6,4
LIST,SELECT,LIST:SELECT:section:Lokaltog - Hovedstaden,5,4,4,3
MAP,SELECT,MAP:SELECT:Trafikmeldinger,5,5,5,4
WEBCAM,FOLLOW,"WEBCAM:FOLLOW:E20 København C, Ø",5,4,4,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Humlebæk-S,5,5,5,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Algestrup-S,5,5,5,4
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Nivå---N,5,5,5,5
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-53-Skibby,5,5,5,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-6-Gundsømagle,5,4,4,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Ruten,5,4,4,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Taastrup-V---V,5,4,4,3
WEBCAM,UNFOLLOW,WEBCAM:UNFOLLOW:Center Boulevard,5,4,4,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:E20/E47/O4 Ishøj,4,4,4,2
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Rute 16 Hareskoven,4,4,4,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Nyborg-C---S,4,3,3,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Salby-Ø,4,4,4,4
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47/O4-Ishøj---N,4,4,4,4
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Sandbjerg-N,4,4,4,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E55-Gedser-S,4,4,4,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Lille-Skensved---V,4,4,4,4
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,3,3,3,3
LIST,SELECT,LIST:SELECT:itemtype_RoadWork,3,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,3,3,3,3
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Amager Boulevard,3,3,3,2
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Bagsværd - N,3,3,3,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:E47 Helsingør SV,3,3,3,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:E55 Gedser N,3,3,3,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:E55 Gedser S,3,3,3,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Rute 435 Solvig,3,2,2,1
WEBCAM,FOLLOW,WEBCAM:FOLLOW:Søften - N,3,1,1,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Albertslund-O4,3,3,3,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Amager-Strandvej,3,3,3,3
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E20-København-C,-Ø",3,3,3,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Ringsted,3,3,3,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Ejer-Bavnehøj-V---N,3,1,1,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Helsingør-SV,3,3,3,1
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E55-Stavreby,3,3,3,2
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Hillerød-N---V,3,3,3,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Roskilde_10,3,3,3,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-19-Bernstorffsvej,3,3,3,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Arnakke-NV,3,3,3,3
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Baldersbr.-V,3,1,1,1
