# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20181201-20181231
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,263.612,98.984,98.984,19.571
MAP,SELECT,MAP:SELECT:Trafikinfo,131.327,92.447,92.447,19.470
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,83.472,43.475,43.475,11.646
MAP,SELECT,MAP:SELECT:Webkamera,46.876,10.653,10.653,5.152
GEOFENCE,ENTER,GEOFENCE:ENTER:10,14.581,13.332,13.332,3.479
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,14.158,12.989,12.989,3.393
MAP,SELECT,MAP:SELECT:Vejarbejde,13.656,7.401,7.401,4.676
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,11.999,8.801,8.801,4.063
LIST,OPEN,LIST:OPEN:P4LIST,11.139,8.995,8.995,4.787
NAVIGATIONMENU,OPEN,(not set),8.169,6.035,6.035,4.200
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,6.243,4.390,4.390,3.058
MAP,SELECT,MAP:SELECT:Pladser,5.427,3.357,3.357,2.528
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,4.606,2.052,2.052,1.451
ACCEPTANCE,ACCEPT,ACCEPTANCE:ACCEPT:Geofences,4.575,4.572,4.572,4.572
GEOFENCE,ENTER,GEOFENCE:ENTER:7,3.729,3.316,3.316,1.161
GEOFENCE,LEAVE,GEOFENCE:LEAVE:7,3.675,3.267,3.267,1.140
GEOFENCE,ENTER,GEOFENCE:ENTER:26,3.365,2.990,2.990,1.077
GEOFENCE,ENTER,GEOFENCE:ENTER:6,3.321,3.074,3.074,1.090
GEOFENCE,LEAVE,GEOFENCE:LEAVE:26,3.316,2.945,2.945,1.060
GEOFENCE,ENTER,GEOFENCE:ENTER:27,3.310,3.057,3.057,1.102
GEOFENCE,LEAVE,GEOFENCE:LEAVE:27,3.267,3.016,3.016,1.088
GEOFENCE,LEAVE,GEOFENCE:LEAVE:6,3.258,3.018,3.018,1.073
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,3.116,1.562,1.562,1.032
GEOFENCE,ENTER,GEOFENCE:ENTER:28,3.034,2.814,2.814,1.015
GEOFENCE,LEAVE,GEOFENCE:LEAVE:28,2.998,2.775,2.775,997
GEOFENCE,ENTER,GEOFENCE:ENTER:25,2.954,2.745,2.745,970
GEOFENCE,LEAVE,GEOFENCE:LEAVE:25,2.911,2.704,2.704,963
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,2.264,1.806,1.806,1.514
LIST,SELECT,LIST:SELECT:section:Vejarbejder,1.883,922,922,810
LIST,SELECT,LIST:SELECT:section:Webkamera,1.881,570,570,505
LIST,SELECT,LIST:SELECT:section:P4 Trafik,1.792,1.357,1.357,874
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,1.307,1.010,1.010,717
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.180,1.049,1.049,873
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-vest-for-Nyborg-V,1.161,726,726,542
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,1.152,708,708,537
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Langeskov-V,1.101,749,749,546
LIST,SELECT,LIST:SELECT:itemtype_Traffic,844,426,426,176
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Nyborg-C---S,832,655,655,519
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Storebæltbroen,806,686,686,499
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,781,674,674,529
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,777,624,624,578
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,698,610,610,555
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,675,638,638,574
LIST,SELECT,LIST:SELECT:section:Pladser,674,334,334,320
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Fjelsted-Ø,636,518,518,342
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kauslunde-V,590,518,518,346
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,588,546,546,502
LIST,SELECT,LIST:SELECT:itemtype_WebCam,575,254,254,220
LIST,SELECT,LIST:SELECT:itemtype_P4Area,539,378,378,296
ACCEPTANCE,DENY,ACCEPTANCE:DENY:Geofences,525,525,525,525
PLACE,OPEN,PLACE:OPEN:rasteplads,524,269,269,235
PLACE,OPEN,PLACE:OPEN:samkoersel,516,328,328,301
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Ejer-Bavnehøj-V---N,510,418,418,266
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Karlslunde-rasteplads---S,471,433,433,317
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Aalborg,469,366,366,236
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Vissenbjerg-Ø,454,393,393,301
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,446,427,427,420
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,438,380,380,344
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Lillebæltsbroen,427,392,392,283
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Odense-Syd---V,426,362,362,259
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Sorø---V,422,362,362,272
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47/O4-Ishøj,420,360,360,268
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vemmelev---V,420,382,382,300
MAP,SELECT,MAP:SELECT:Trafikmeldinger,414,212,212,58
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,401,380,380,318
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Hylkedalbroen-S,400,347,347,233
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Odense-MTX---Ø,400,343,343,273
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Nyborg-V---Ø,396,304,304,253
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:PROJECTS,394,359,359,335
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,381,288,288,277
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-313-Nørre-Aaby,377,329,329,260
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Kolding---NV,376,293,293,202
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Taulov-M50-MTX---V,372,347,347,274
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Ringsted,356,323,323,236
LIST,SELECT,LIST:SELECT:itemtype_RoadWork,349,193,193,172
PLACE,OPEN,PLACE:OPEN:parking,319,107,107,64
LIST,SELECT,LIST:SELECT:section:Færger,310,192,192,182
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Horsens---V,304,269,269,184
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E45/15-Århus-V,-mod-Ø",295,270,270,219
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Søften---N,295,270,270,192
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kolding-N-MTX---SV,292,237,237,188
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,291,254,254,241
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kyllesbæk---Ø,290,265,265,169
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-180-Limfj.broen-N,275,234,234,206
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Salby-Ø,273,247,247,199
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kolding-Ø---V,269,221,221,164
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_TIME_LIMIT,260,191,191,169
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Sindal---V,253,231,231,170
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Nørresundby-S,246,209,209,132
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_AREA,240,177,177,162
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-40-Skagen-V-S,236,229,229,140
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Borup-Ø,234,208,208,168
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-585-Fr.havn,232,207,207,123
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vallensbæk-S---V,231,205,205,158
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Randers,217,189,189,126
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Vejlefjordbroen-S,210,188,188,144
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-180-Limfj.broen-S,201,190,190,129
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_EDIT,199,150,150,141
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Algestrup-S,196,175,175,144
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45/E39-Vendsyssel,192,160,160,103
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vrå---N,190,185,185,138
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Bakkebølle---Ø,188,167,167,122
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Haderslev,182,166,166,123
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vejlefjordbro-nord,180,158,158,120
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-15/16-Grenaa,179,171,171,115
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E39-Bjergby---N,177,165,165,133
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Smidstrup-S,174,158,158,132
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-15-Lystrup-V,173,153,153,120
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,172,118,118,112
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,172,156,156,151
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Solrød,168,158,158,146
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Skovby---N,167,136,136,95
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Langebro-NV,164,153,153,114
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute16-Fausing----V,163,150,150,91
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Gladsaxe,162,143,143,101
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:M60-Hatting---N,161,149,149,109
views,entered,Area/MapChange/Trafikmeldinger,159,79,79,24
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Dannerhøj-S,159,146,146,108
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kalvebodbroen-S,158,145,145,116
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Sæby---NØ,158,144,144,108
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Jyllingevej,158,138,138,98
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Hillerød-N---V,158,148,148,116
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E45-Vejle-N,-mod-S",157,139,139,119
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_DELETE,156,131,131,116
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-38-Aakirkeby,155,142,142,91
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Lyngså-Nord----N,154,136,136,92
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Allerød-S---N,153,136,136,101
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-265-Korsør,152,146,146,125
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-142-Kpr.-Fr.-Bro-V,150,144,144,90
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Center-Boulevard,148,133,133,102
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Fiskebækbroen-N,146,133,133,103
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Grevinge---S,146,139,139,93
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Ringsted_13,142,138,138,109
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Gevninge,142,131,131,90
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Ølsted---V,141,134,134,102
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Svenstrup---N,138,126,126,98
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Roskildevej,136,130,130,105
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_MUTE,134,131,131,117
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Bårse-S,134,124,124,103
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Universitetsboulevarden,133,127,127,91
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-16-Hareskoven,132,113,113,57
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Hobro---N,131,121,121,93
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Lumsås---SØ,130,118,118,78
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Brøndby,129,116,116,103
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Skærup-Rastepl.-S,126,116,116,95
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Gl.-Holte,125,113,113,93
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Gudenåen,123,100,100,81
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Roskilde_10,123,111,111,92
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Østre-Alle---Ø,123,108,108,69
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Ønslev,122,117,117,99
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E39-Brønderslev---S,121,112,112,99
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Haverslev---N,121,102,102,82
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-11/55-Aabybro,121,117,117,83
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Viemosevej---S,121,105,105,88
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Ballerup-Boulevard---V,119,111,111,95
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Hornbækvej---N,119,117,117,94
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vig---S,117,104,104,75
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Bispeengbuen---SØ,116,103,103,81
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Frøslev-1,116,96,96,61
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-55-Løkken-S,116,112,112,64
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Slagelse-Omfartsvej---Ø,116,110,110,104
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kalvebod---V,115,111,111,78
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Østervrå---SØ,115,109,109,87
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kbh.-Lufthavn-V,114,104,104,88
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Dybvad---NØ,113,108,108,79
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-15/21-Feldballe,110,105,105,84
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Arnakke-NV,110,101,101,81
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rødekro,109,100,100,88
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-21-Høje-Tåstrup,108,101,101,86
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-9-Svendborgsundbroen-N,107,101,101,71
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-16-Hillerød,106,96,96,86
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-541-Hals,105,100,100,63
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-170-Kruså-S,104,85,85,53
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E20-København-C,-SØ",102,87,87,72
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-6-Gundsømagle,102,97,97,79
views,entered,Area/Custom,101,52,52,13
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vejle-Bredstenvej---Ø,101,92,92,67
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_CATEGORIES_CHANGE,100,71,71,64
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vejle-N-Horsensvej,100,94,94,74
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_UNMUTE,97,94,94,82
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-23-Jyderup-V,97,95,95,80
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Albertslund-O4,96,92,92,74
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-507-Hadsundbroen,95,92,92,44
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Vejen,94,77,77,59
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kvanløse---Ø,92,88,88,72
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Lille-Skensved---V,92,88,88,82
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Brådebæk,90,80,80,63
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Funder-Ådal---NØ,90,80,80,60
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-53-Skibby,90,81,81,62
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Bagsværd---N,89,80,80,50
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kalbygård-Skov---Ø,89,85,85,72
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kliplev---N,89,88,88,83
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-16-Hundested,89,84,84,63
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-180-Over-Kæret,88,78,78,49
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Slotsherrensvej,88,76,76,58
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Dokkedal---N,87,75,75,45
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-11-Fjerritslev-V,86,79,79,58
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-201-Lyngby-Omfv.,86,75,75,54
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-22-Kalundborg,86,77,77,64
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rødby-Havn,86,83,83,64
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Helsingør-SV,85,77,77,63
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-180-Ny-Nibevej-N,85,77,77,52
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,84,81,81,78
WEBCAM,FOLLOW,WEBCAM:FOLLOW:E45 Aalborg,84,53,53,20
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Sakskøbing,84,82,82,67
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Osted---NØ,83,78,78,61
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Øster-Voldgade,83,75,75,67
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E45-Århus-V,-mod-N",82,79,79,69
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Buddinge,81,76,76,57
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rudbøl-grænseoverg.,81,74,74,43
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Rønnede-S,80,72,72,64
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Klippinge---N,80,73,73,49
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-255-Hvalsø,79,70,70,55
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-16-Viborg-V,78,71,71,50
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Industrivej,77,72,72,58
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-211-Måløv,76,62,62,51
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Humlebæk-S,75,68,68,64
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kvistgård---SV,74,69,69,58
LIST,SELECT,LIST:SELECT:itemtype_Places,73,52,52,51
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Hillested,73,70,70,59
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,72,57,57,51
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:Næstved,-Ring-Nord---V",72,64,64,50
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Give---N,71,65,65,57
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E55-Gedser-S,68,64,64,45
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Nykøbing-Falster---N,68,63,63,51
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-9-Nakskov,68,64,64,52
WEBCAM,FOLLOW,WEBCAM:FOLLOW:E20 Lillebæltsbroen,67,57,57,14
