# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180401-20180430
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Brugere
SCREEN,START,SCREEN:START:MainActivity,6.232,2.670,659
MAP,SELECT,MAP:SELECT:Trafikinfo,3.806,2.430,648
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,1.406,811,278
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,751,347,128
MAP,SELECT,MAP:SELECT:Webkamera,670,162,85
MAP,SELECT,MAP:SELECT:Vejarbejde,506,237,121
LIST,OPEN,LIST:OPEN:P4LIST,421,296,136
NAVIGATIONMENU,OPEN,(not set),314,237,157
LIST,OPEN,(not set),307,238,117
LIST,SELECT,LIST:SELECT:section:Bus - Hovedstaden,291,78,35
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,245,211,83
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,183,58,29
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,178,80,47
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,119,64,42
MAP,SELECT,MAP:SELECT:Cykel/saltning,118,43,30
LIST,SELECT,LIST:SELECT:section:Metro - Hovedstaden,87,42,22
LIST,SELECT,LIST:SELECT:section:Tog - Hovedstaden,80,42,29
LIST,SELECT,LIST:SELECT:section:Vejarbejder,79,33,24
LIST,SELECT,LIST:SELECT:section:Webkamera,71,22,17
LIST,SELECT,LIST:SELECT:section:Twitter - Hovedstaden,64,30,18
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,61,41,11
LIST,SELECT,LIST:SELECT:itemtype_Bus,61,41,11
MAP,SELECT,MAP:SELECT:Temperatur,54,46,41
LIST,SELECT,LIST:SELECT:itemtype_STrain,28,17,11
LIST,SELECT,LIST:SELECT:section:Lokaltog - Hovedstaden,28,12,11
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,27,17,11
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Langebro-NV,26,21,11
LIST,SELECT,LIST:SELECT:section:Rejsetider,25,18,15
MAP,SELECT,MAP:SELECT:Trafikmeldinger,25,15,10
LIST,SELECT,LIST:SELECT:section:Temperatur,22,13,13
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,22,22,22
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vallensbæk-S---V,22,17,6
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,18,13,6
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kalvebodbroen-S,18,16,11
LIST,SELECT,LIST:SELECT:section:P4 Trafik,16,11,7
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47/O4-Ishøj,16,13,9
LIST,SELECT,LIST:SELECT:itemtype_P4Area,14,9,6
LIST,SELECT,LIST:SELECT:itemtype_Traffic,14,9,8
LIST,SELECT,LIST:SELECT:itemtype_WebCam,14,7,6
