# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180801-20180831
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,243.321,85.117,85.117,17.121
MAP,SELECT,MAP:SELECT:Trafikinfo,114.405,79.739,79.739,17.031
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,88.639,40.456,40.456,10.709
MAP,SELECT,MAP:SELECT:Webkamera,34.867,8.295,8.295,3.795
GEOFENCE,ENTER,GEOFENCE:ENTER:10,16.551,15.074,15.074,3.536
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,16.079,14.637,14.637,3.494
MAP,SELECT,MAP:SELECT:Vejarbejde,14.471,6.654,6.654,3.881
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,11.553,8.469,8.469,3.706
LIST,OPEN,LIST:OPEN:P4LIST,9.493,7.443,7.443,3.778
NAVIGATIONMENU,OPEN,(not set),7.047,5.076,5.076,3.604
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,6.139,2.541,2.541,1.509
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,5.122,3.646,3.646,2.567
ACCEPTANCE,ACCEPT,ACCEPTANCE:ACCEPT:Geofences,4.896,4.890,4.890,4.889
MAP,SELECT,MAP:SELECT:Pladser,4.863,2.685,2.685,1.996
GEOFENCE,ENTER,GEOFENCE:ENTER:7,3.746,3.677,3.677,1.232
GEOFENCE,LEAVE,GEOFENCE:LEAVE:7,3.696,3.625,3.625,1.222
GEOFENCE,ENTER,GEOFENCE:ENTER:27,3.374,3.330,3.330,1.147
GEOFENCE,ENTER,GEOFENCE:ENTER:26,3.364,3.298,3.298,1.177
GEOFENCE,LEAVE,GEOFENCE:LEAVE:27,3.344,3.298,3.298,1.130
GEOFENCE,ENTER,GEOFENCE:ENTER:28,3.333,3.288,3.288,1.117
GEOFENCE,LEAVE,GEOFENCE:LEAVE:26,3.319,3.255,3.255,1.161
GEOFENCE,LEAVE,GEOFENCE:LEAVE:28,3.295,3.250,3.250,1.107
GEOFENCE,ENTER,GEOFENCE:ENTER:6,3.129,3.090,3.090,1.060
GEOFENCE,LEAVE,GEOFENCE:LEAVE:6,3.077,3.033,3.033,1.047
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,2.876,1.280,1.280,825
GEOFENCE,ENTER,GEOFENCE:ENTER:25,2.842,2.803,2.803,998
GEOFENCE,LEAVE,GEOFENCE:LEAVE:25,2.806,2.769,2.769,992
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,2.176,1.828,1.828,1.521
LIST,SELECT,LIST:SELECT:section:Vejarbejder,1.672,747,747,636
LIST,SELECT,LIST:SELECT:section:P4 Trafik,1.654,1.153,1.153,673
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,1.360,1.050,1.050,722
LIST,SELECT,LIST:SELECT:section:Webkamera,1.113,389,389,363
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,1.058,925,925,600
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,971,847,847,722
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,829,508,508,376
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Fjelsted-Ø,770,543,543,325
MAP,SELECT,MAP:SELECT:Trafikmeldinger,762,308,308,88
PLACE,OPEN,PLACE:OPEN:rasteplads,680,262,262,197
