# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20171201-20171231
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,255.110,95.901,95.901,18.323
MAP,SELECT,MAP:SELECT:Trafikinfo,135.706,88.773,88.773,18.020
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,86.547,43.934,43.934,10.254
MAP,SELECT,MAP:SELECT:Webkamera,31.060,6.509,6.509,2.760
NAVIGATIONMENU,OPEN,(not set),14.130,10.048,10.048,6.357
MAP,SELECT,MAP:SELECT:Vejarbejde,13.931,8.026,8.026,4.965
LIST,OPEN,LIST:OPEN:P4LIST,11.864,10.045,10.045,5.365
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,11.061,7.715,7.715,3.603
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,9.274,6.031,6.031,3.862
LIST,OPEN,(not set),8.259,6.783,6.783,4.118
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,6.881,3.482,3.482,2.158
LIST,SELECT,LIST:SELECT:section:Webkamera,4.734,1.483,1.483,1.134
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,4.544,2.213,2.213,1.549
LIST,SELECT,LIST:SELECT:section:Vejarbejder,3.998,1.751,1.751,1.421
MAP,SELECT,MAP:SELECT:Trafikmeldinger,3.376,1.387,1.387,309
LIST,SELECT,LIST:SELECT:section:P4 Trafik,2.192,1.592,1.592,1.049
MAP,SELECT,MAP:SELECT:Pladser,1.961,948,948,789
LIST,SELECT,LIST:SELECT:itemtype_WebCam,1.575,837,837,611
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.305,1.159,1.159,1.015
LIST,SELECT,LIST:SELECT:section:Pladser,1.242,592,592,519
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,1.235,1.141,1.141,994
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,1.176,1.056,1.056,964
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.113,1.020,1.020,900
LIST,SELECT,LIST:SELECT:section:Færger,1.004,503,503,403
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,954,686,686,580
