# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180201-20180228
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,324.334,99.804,99.804,18.358
MAP,SELECT,MAP:SELECT:Trafikinfo,147.302,93.410,93.410,18.120
MAP,SELECT,MAP:SELECT:Webkamera,102.390,18.081,18.081,6.462
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,98.155,47.587,47.587,10.646
MAP,SELECT,MAP:SELECT:Vejarbejde,13.412,7.756,7.756,4.873
NAVIGATIONMENU,OPEN,(not set),12.859,9.092,9.092,5.742
LIST,OPEN,LIST:OPEN:P4LIST,12.615,10.339,10.339,5.488
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,9.635,7.325,7.325,3.522
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,8.151,5.764,5.764,3.717
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,5.968,2.715,2.715,1.650
MAP,SELECT,MAP:SELECT:Pladser,5.454,3.574,3.574,2.815
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,3.974,1.997,1.997,1.424
LIST,SELECT,LIST:SELECT:section:Webkamera,3.122,1.006,1.006,806
GEOFENCE,ENTER,GEOFENCE:ENTER:7,2.867,2.834,2.834,921
GEOFENCE,LEAVE,GEOFENCE:LEAVE:7,2.798,2.763,2.763,906
GEOFENCE,ENTER,GEOFENCE:ENTER:6,2.788,2.756,2.756,849
GEOFENCE,LEAVE,GEOFENCE:LEAVE:6,2.733,2.699,2.699,843
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-38-Aakirkeby,2.597,2.265,2.265,773
LIST,SELECT,LIST:SELECT:section:Vejarbejder,2.379,1.173,1.173,981
LIST,SELECT,LIST:SELECT:section:P4 Trafik,2.230,1.620,1.620,1.060
MAP,SELECT,MAP:SELECT:Trafikmeldinger,2.081,797,797,189
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Hylkedalbroen-S,1.411,1.267,1.267,834
LIST,OPEN,(not set),1.391,1.159,1.159,652
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Bakkebølle---Ø,1.266,1.042,1.042,606
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Horsens---V,1.204,1.059,1.059,678
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.183,1.049,1.049,911
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Ønslev,1.179,965,965,591
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Bårse-S,1.160,1.008,1.008,590
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Ejer-Bavnehøj-V---N,1.134,992,992,649
LIST,SELECT,LIST:SELECT:itemtype_WebCam,1.120,516,516,400
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Haderslev,1.083,971,971,637
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Taulov-M50-MTX---V,1.013,911,911,625
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,993,898,898,810
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,974,899,899,806
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Vissenbjerg-Ø,969,858,858,600
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,884,822,822,708
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Sakskøbing,858,728,728,466
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Smidstrup-S,841,716,716,519
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kolding-N-MTX---SV,834,720,720,519
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,793,684,684,575
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47-Hillested,766,681,681,424
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Algestrup-S,741,608,608,382
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Fjelsted-Ø,734,659,659,466
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kolding-Ø---V,733,665,665,481
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kauslunde-V,716,652,652,461
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-313-Nørre-Aaby,707,634,634,470
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,702,641,641,562
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Lillebæltsbroen,691,640,640,467
LIST,SELECT,LIST:SELECT:section:Pladser,687,378,378,351
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E45-Vejle-N,-mod-S",684,629,629,447
LIST,SELECT,LIST:SELECT:itemtype_P4Area,678,511,511,374
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Nykøbing-Falster---N,662,599,599,391
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Vejlefjordbroen-S,643,589,589,423
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Skærup-Rastepl.-S,638,561,561,431
PLACE,OPEN,PLACE:OPEN:rasteplads,637,334,334,311
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E45/15-Århus-V,-mod-Ø",630,573,573,417
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rødekro,605,552,552,405
LIST,SELECT,LIST:SELECT:itemtype_Traffic,604,433,433,260
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Odense-Syd---V,596,548,548,386
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-9-Svendborgsundbroen-N,585,508,508,274
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E47/E55-Rønnede-S,584,479,479,319
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Randers,581,510,510,314
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kliplev---N,568,514,514,344
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,562,414,414,379
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Skovby---N,561,515,515,361
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vejle-Bredstenvej---Ø,555,504,504,338
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,552,460,460,375
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,549,498,498,460
PLACE,OPEN,PLACE:OPEN:samkoersel,545,325,325,307
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rødby-Havn,528,494,494,308
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-9-Bregninge,525,410,410,250
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Søften---N,524,476,476,333
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-9-Nakskov,513,474,474,303
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Solrød,510,478,478,322
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E55-Gedser-S,508,471,471,265
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Magleby---V,497,454,454,262
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vejlefjordbro-nord,481,439,439,334
LIST,SELECT,LIST:SELECT:section:Færger,476,286,286,262
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Ringsted,448,419,419,318
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-25-Vamdrup---NØ,445,421,421,292
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Storebæltbroen,442,423,423,333
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:Næstved,-Ring-Nord---V",441,403,403,271
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:PROJECTS,435,405,405,362
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vemmelev---V,435,396,396,294
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kalvehave-V,429,388,388,255
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-28/30-Bill.-Lufth.,427,392,392,258
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Vejen,422,373,373,259
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Aalborg,418,363,363,251
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Give---N,413,371,371,255
