# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170101-20170131
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,152.099,53.571,53.571,11.259
MAP,SELECT,MAP:SELECT:Trafikmeldinger,130.089,53.384,53.384,11.237
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,53.108,27.326,27.326,6.391
MAP,SELECT,MAP:SELECT:Webkamera,32.702,8.034,8.034,3.787
MAP,SELECT,MAP:SELECT:Vejarbejder,9.134,5.243,5.243,3.292
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,6.678,4.238,4.238,2.267
NAVIGATIONMENU,OPEN,(not set),6.070,4.230,4.230,2.886
LIST,OPEN,(not set),5.662,4.150,4.150,2.387
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,5.551,2.662,2.662,1.584
Activity,Start,Screen start: TrafikinfoApplication:MainActivity,4.680,1.798,1.798,346
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,2.851,1.500,1.500,1.118
App,Start,App start: TrafikinfoApplication,2.274,778,778,28
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,2.032,1.708,1.708,1.108
WEBCAM,OPEN,N/A,1.893,1.241,1.241,791
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,1.778,1.367,1.367,1.072
LIST,SELECT,LIST:SELECT:section:Vejarbejder,1.645,863,863,742
LIST,SELECT,LIST:SELECT:section:Webkamera,1.428,474,474,410
views,entered,Area/MapChange/Trafikmeldinger,1.025,723,723,167
LIST,SELECT,LIST:SELECT:section:Rejsetider,888,515,515,419
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_ON,652,628,628,589
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,519,489,489,427
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,474,430,430,373
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,469,440,440,390
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,450,319,319,286
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Solrød,413,349,349,237
LIST,SELECT,LIST:SELECT:section:Færger,408,238,238,214
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,379,355,355,300
WEBCAM,OPEN,WEBCAM:OPEN:E45 Ejer Baunehøj,376,334,334,215
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47/O4 Ishøj,330,283,283,196
views,entered,Area/Custom,324,285,285,88
WEBCAM,OPEN,WEBCAM:OPEN:Rute 38 Aakirkeby,323,279,279,146
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,298,255,255,236
WEBCAM,OPEN,WEBCAM:OPEN:E20 Vissenbjerg Ø,262,247,247,191
WEBCAM,OPEN,WEBCAM:OPEN:E45 Horsens - V,250,219,219,181
WEBCAM,OPEN,"WEBCAM:OPEN:E45/15 Århus V, mod Ø",249,222,222,181
WEBCAM,OPEN,WEBCAM:OPEN:Søften - N,241,213,213,164
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_OFF,240,233,233,200
WEBCAM,OPEN,WEBCAM:OPEN:E45 Aalborg,234,206,206,136
WEBCAM,OPEN,WEBCAM:OPEN:E20 Lillebæltsbroen,229,213,213,164
WEBCAM,OPEN,WEBCAM:OPEN:E45 Randers,224,185,185,146
WEBCAM,OPEN,WEBCAM:OPEN:E20 Storebæltbroen,223,208,208,171
MAP,SELECT,MAP:SELECT:Pladser,221,26,26,10
WEBCAM,OPEN,WEBCAM:OPEN:Rute 15/16 Grenaa,197,182,182,114
WEBCAM,OPEN,WEBCAM:OPEN:Vemmelev - V,190,163,163,121
LIST,SELECT,LIST:SELECT:section:Pladser,187,10,10,9
WEBCAM,OPEN,WEBCAM:OPEN:Taulov M50 MTX - V,187,175,175,146
WEBCAM,OPEN,WEBCAM:OPEN:E39 Bjergby,185,161,161,98
WEBCAM,OPEN,WEBCAM:OPEN:Rute 15/21 Feldballe,184,168,168,124
WEBCAM,OPEN,WEBCAM:OPEN:Bakkebølle - Ø,183,159,159,111
WEBCAM,OPEN,WEBCAM:OPEN:E45 Tilst,180,167,167,137
WEBCAM,OPEN,WEBCAM:OPEN:E20 Fjelsted Ø,177,154,154,122
WEBCAM,OPEN,WEBCAM:OPEN:E20 Nyborg C - S,166,155,155,125
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,165,151,151,143
WEBCAM,OPEN,"WEBCAM:OPEN:E45 Vejle N, mod S",164,157,157,130
WEBCAM,OPEN,WEBCAM:OPEN:Rute 16 Holstebro Ø - V,163,144,144,106
WEBCAM,OPEN,WEBCAM:OPEN:Rute 16 Ramten V,163,149,149,106
WEBCAM,OPEN,WEBCAM:OPEN:E20 Kauslunde V,162,144,144,112
WEBCAM,OPEN,WEBCAM:OPEN:Rute16 Fausing - V,162,150,150,88
WEBCAM,OPEN,WEBCAM:OPEN:E20 Kalvebodbroen S,159,138,138,108
WEBCAM,OPEN,WEBCAM:OPEN:Kalvebod - V,158,144,144,101
WEBCAM,OPEN,WEBCAM:OPEN:Rute 180 Limfj.broen N,158,132,132,109
WEBCAM,OPEN,WEBCAM:OPEN:E45 Hylkedalbroen S,156,146,146,121
WEBCAM,OPEN,WEBCAM:OPEN:Haverslev - N,156,137,137,101
WEBCAM,OPEN,WEBCAM:OPEN:Rute 15 Lystrup V,156,145,145,116
WEBCAM,OPEN,WEBCAM:OPEN:Rute 28/30 Bill. Lufth.,152,135,135,84
WEBCAM,OPEN,WEBCAM:OPEN:E20 Salby Ø,147,131,131,102
WEBCAM,OPEN,WEBCAM:OPEN:Ringsted_13,147,118,118,92
WEBCAM,OPEN,WEBCAM:OPEN:E47/E55 Algestrup S,146,118,118,89
WEBCAM,OPEN,WEBCAM:OPEN:E20 Ringsted,145,132,132,112
WEBCAM,OPEN,WEBCAM:OPEN:Vallensbæk S - V,141,121,121,94
WEBCAM,OPEN,WEBCAM:OPEN:E45 Vejlefjordbroen S,138,133,133,120
WEBCAM,OPEN,WEBCAM:OPEN:Vejle Bredstenvej - Ø,138,123,123,102
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk,136,124,124,101
WEBCAM,OPEN,WEBCAM:OPEN:Rute 180 Limfj.broen S,133,122,122,82
WEBCAM,OPEN,WEBCAM:OPEN:E45 Haderslev,131,118,118,88
WEBCAM,OPEN,WEBCAM:OPEN:Rute 16 Viborg V,131,120,120,86
WEBCAM,OPEN,WEBCAM:OPEN:Rute 21 Gevninge,129,105,105,68
WEBCAM,OPEN,WEBCAM:OPEN:Vejlefjordbro nord,129,121,121,110
WEBCAM,OPEN,WEBCAM:OPEN:Rute 313 Nørre Aaby,128,112,112,97
WEBCAM,OPEN,WEBCAM:OPEN:E47 Gladsaxe,127,111,111,81
WEBCAM,OPEN,WEBCAM:OPEN:Rute 15 Hornslet,127,119,119,93
WEBCAM,OPEN,WEBCAM:OPEN:Skive - SV,127,115,115,76
WEBCAM,OPEN,WEBCAM:OPEN:Rute 40 Skagen V-S,126,116,116,76
WEBCAM,OPEN,WEBCAM:OPEN:Hobro - N,125,110,110,86
WEBCAM,OPEN,WEBCAM:OPEN:Svenstrup - N,123,113,113,82
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,122,107,107,103
WEBCAM,OPEN,WEBCAM:OPEN:Skovby - N,122,113,113,75
WEBCAM,OPEN,WEBCAM:OPEN:Fiskebæk N,120,103,103,63
WEBCAM,OPEN,WEBCAM:OPEN:Sorø - V,120,113,113,89
WEBCAM,OPEN,WEBCAM:OPEN:Universitetsboulevarden,118,115,115,94
WEBCAM,OPEN,WEBCAM:OPEN:E47/E55 Bårse S,116,101,101,87
WEBCAM,OPEN,WEBCAM:OPEN:Rute 22 Kalundborg,115,106,106,72
WEBCAM,OPEN,WEBCAM:OPEN:E39 Brønderslev - S,114,107,107,85
WEBCAM,OPEN,WEBCAM:OPEN:E20 Langeskov V,113,108,108,95
WEBCAM,OPEN,WEBCAM:OPEN:Rute 9 Svendborgsundbroen N,113,100,100,84
WEBCAM,OPEN,WEBCAM:OPEN:Center Boulevard,112,102,102,62
WEBCAM,OPEN,WEBCAM:OPEN:E20 Kbh. Lufthavn V,112,103,103,83
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Karlslunde rasteplads - S,112,109,109,99
WEBCAM,OPEN,WEBCAM:OPEN:Rute 21 Vallensbæk,112,105,105,82
WEBCAM,OPEN,WEBCAM:OPEN:Rute 29 Års,112,105,105,74
WEBCAM,OPEN,WEBCAM:OPEN:E45 Gudenåen,111,91,91,78
WEBCAM,OPEN,WEBCAM:OPEN:Kalvehave V,111,90,90,72
WEBCAM,OPEN,WEBCAM:OPEN:Rute 26 Tved,110,108,108,89
WEBCAM,OPEN,WEBCAM:OPEN:Rødekro,110,107,107,91
WEBCAM,OPEN,WEBCAM:OPEN:E45 Smidstrup S,108,102,102,92
WEBCAM,OPEN,WEBCAM:OPEN:Langebro NV,108,93,93,73
WEBCAM,OPEN,WEBCAM:OPEN:Kolding N MTX - SV,107,98,98,89
WEBCAM,OPEN,WEBCAM:OPEN:Rødby Havn,106,97,97,72
WEBCAM,OPEN,WEBCAM:OPEN:Funder Ådal - NØ,105,84,84,78
WEBCAM,OPEN,WEBCAM:OPEN:Rute 8 Alssundbroen Ø - V,105,91,91,55
WEBCAM,OPEN,WEBCAM:OPEN:E20 Vejen,104,93,93,75
WEBCAM,OPEN,WEBCAM:OPEN:Roskilde_10,104,89,89,74
WEBCAM,OPEN,WEBCAM:OPEN:E45 Nørresundby S,103,93,93,72
WEBCAM,OPEN,WEBCAM:OPEN:Herning nord - S,102,97,97,84
WEBCAM,OPEN,WEBCAM:OPEN:E45 Kolding - NV,101,99,99,82
WEBCAM,OPEN,WEBCAM:OPEN:Kong Christian X bro,100,93,93,50
WEBCAM,OPEN,WEBCAM:OPEN:E47 Ønslev,98,91,91,73
WEBCAM,OPEN,WEBCAM:OPEN:Vrå - N,98,90,90,64
WEBCAM,OPEN,WEBCAM:OPEN:Rute 142 Kpr. Fr. Bro V,97,92,92,49
WEBCAM,OPEN,WEBCAM:OPEN:Rute 541 Hals,97,91,91,47
WEBCAM,OPEN,WEBCAM:OPEN:Sindal - V,96,89,89,62
WEBCAM,OPEN,WEBCAM:OPEN:Rute 26 Kongensbro NV,95,84,84,63
WEBCAM,OPEN,WEBCAM:OPEN:E45 Skærup Rastepl. S,92,85,85,79
WEBCAM,OPEN,WEBCAM:OPEN:E45/E39 Vendsyssel,92,83,83,59
WEBCAM,OPEN,WEBCAM:OPEN:Give - N,92,82,82,69
WEBCAM,OPEN,WEBCAM:OPEN:Rute 11 Fjerritslev V,92,89,89,68
WEBCAM,OPEN,WEBCAM:OPEN:E55 Gedser S,90,78,78,70
WEBCAM,OPEN,WEBCAM:OPEN:Rute 9 Langel.broen Ø,88,77,77,57
WEBCAM,OPEN,WEBCAM:OPEN:Rute 15 Lind - Ø,87,80,80,71
WEBCAM,OPEN,"WEBCAM:OPEN:Rute 26 Nykøbing M, N",87,78,78,65
WEBCAM,OPEN,WEBCAM:OPEN:E47 Humlebæk S,86,83,83,60
WEBCAM,OPEN,WEBCAM:OPEN:E47 Roskildevej,85,78,78,67
WEBCAM,OPEN,WEBCAM:OPEN:Kliplev - N,84,79,79,67
WEBCAM,OPEN,WEBCAM:OPEN:Rute 21 Brøndby,84,77,77,58
WEBCAM,OPEN,WEBCAM:OPEN:Rute 16 Hareskoven,83,69,69,39
WEBCAM,OPEN,WEBCAM:OPEN:Rute 507 Hadsundbroen,83,75,75,54
views,entered,Area/MapChange/Webkamera,82,32,32,21
WEBCAM,OPEN,WEBCAM:OPEN:E20 vest for Nyborg V,82,76,76,66
WEBCAM,OPEN,WEBCAM:OPEN:Rute 469 Hejnsvig,82,77,77,64
WEBCAM,OPEN,WEBCAM:OPEN:Rute 9 Ringe N,82,76,76,60
WEBCAM,OPEN,WEBCAM:OPEN:Rute 170 Kruså S,80,78,78,36
WEBCAM,OPEN,WEBCAM:OPEN:Rudbøl grænseoverg.,79,76,76,31
WEBCAM,OPEN,WEBCAM:OPEN:Rute 55 Løkken S,79,78,78,57
WEBCAM,OPEN,WEBCAM:OPEN:Vigerslevvej,79,73,73,33
WEBCAM,OPEN,WEBCAM:OPEN:E20 Borup Ø,78,70,70,62
WEBCAM,OPEN,WEBCAM:OPEN:Magleby - V,78,70,70,51
WEBCAM,OPEN,WEBCAM:OPEN:Rute 585 Fr.havn,78,73,73,55
WEBCAM,OPEN,WEBCAM:OPEN:Rute 265 Korsør,77,74,74,63
WEBCAM,OPEN,WEBCAM:OPEN:E47 Sakskøbing,76,73,73,58
WEBCAM,OPEN,WEBCAM:OPEN:Rute 13 Thorning,76,71,71,60
WEBCAM,OPEN,WEBCAM:OPEN:Rute 579 Møldrup,76,70,70,66
WEBCAM,OPEN,WEBCAM:OPEN:Rute 28 Hee - N,75,73,73,53
WEBCAM,OPEN,WEBCAM:OPEN:E47 Helsingør SV,74,67,67,42
WEBCAM,OPEN,WEBCAM:OPEN:E47 Hillested,74,69,69,55
WEBCAM,OPEN,WEBCAM:OPEN:Rute 11/55 Aabybro,74,74,74,51
WEBCAM,OPEN,WEBCAM:OPEN:Ballerup Boulevard - V,73,64,64,58
WEBCAM,OPEN,WEBCAM:OPEN:Rute 11/28 Skjern - SØ,73,66,66,54
WEBCAM,OPEN,WEBCAM:OPEN:Vejle N Horsensvej,72,70,70,65
WEBCAM,OPEN,WEBCAM:OPEN:Visby - N,72,68,68,61
WEBCAM,OPEN,WEBCAM:OPEN:Dybvad - NØ,71,65,65,47
WEBCAM,OPEN,WEBCAM:OPEN:E45 Sæby - NØ,71,68,68,52
WEBCAM,OPEN,WEBCAM:OPEN:Kolding Ø - V,71,66,66,56
WEBCAM,OPEN,WEBCAM:OPEN:Rute 15 Silkeborg,71,66,66,60
WEBCAM,OPEN,WEBCAM:OPEN:Rute 9 Nakskov,71,67,67,46
WEBCAM,OPEN,WEBCAM:OPEN:Albertslund O4,70,55,55,43
WEBCAM,OPEN,WEBCAM:OPEN:E47 Buddinge,70,62,62,48
WEBCAM,OPEN,WEBCAM:OPEN:E47/E55 Rønnede S,70,62,62,51
WEBCAM,OPEN,WEBCAM:OPEN:Klovborg - SØ,70,64,64,53
WEBCAM,OPEN,WEBCAM:OPEN:Grevinge - S,69,63,63,45
WEBCAM,OPEN,WEBCAM:OPEN:Nykøbing Falster - N,69,64,64,55
WEBCAM,OPEN,WEBCAM:OPEN:Odense SV - V,69,63,63,44
WEBCAM,OPEN,WEBCAM:OPEN:Rute 43 Faaborg,69,62,62,47
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,68,40,40,23
WEBCAM,OPEN,WEBCAM:OPEN:Rute 170 Rådhusg. S,68,60,60,38
WEBCAM,OPEN,WEBCAM:OPEN:Industrivej,66,60,60,50
WEBCAM,OPEN,WEBCAM:OPEN:Rute 23 Jyderup V,66,57,57,43
