# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170701-20170731
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,170.980,53.692,53.692,13.919
MAP,SELECT,MAP:SELECT:Trafikmeldinger,150.699,53.063,53.063,13.792
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,54.550,24.782,24.782,7.454
MAP,SELECT,MAP:SELECT:Webkamera,32.885,8.602,8.602,4.199
MAP,SELECT,MAP:SELECT:Vejarbejder,16.033,7.552,7.552,4.821
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,10.569,5.413,5.413,3.045
NAVIGATIONMENU,OPEN,(not set),7.827,5.108,5.108,3.539
LIST,OPEN,(not set),6.405,4.382,4.382,2.655
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,6.149,2.678,2.678,1.858
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,5.199,2.505,2.505,1.575
MAP,SELECT,MAP:SELECT:Pladser,4.885,2.862,2.862,2.247
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,3.525,2.517,2.517,1.748
LIST,SELECT,LIST:SELECT:section:Vejarbejder,2.060,1.065,1.065,914
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,1.899,1.531,1.531,1.230
LIST,SELECT,LIST:SELECT:section:P4 Trafik,1.884,884,884,464
WEBCAM,OPEN,N/A,1.643,1.184,1.184,762
LIST,SELECT,LIST:SELECT:section:Webkamera,1.463,524,524,431
MAP,SELECT,MAP:SELECT:Trafikinfo,1.179,407,407,154
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.109,938,938,810
Activity,Start,Screen start: TrafikinfoApplication:MainActivity,938,347,347,53
LIST,SELECT,LIST:SELECT:section:Rejsetider,861,515,515,455
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,830,753,753,675
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Solrød,808,648,648,242
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,721,589,589,481
WEBCAM,OPEN,WEBCAM:OPEN:E20 Vissenbjerg Ø,670,525,525,361
LIST,SELECT,LIST:SELECT:section:Pladser,622,303,303,276
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,580,528,528,460
WEBCAM,OPEN,WEBCAM:OPEN:Rute 180 Limfj.broen N,565,464,464,352
WEBCAM,OPEN,WEBCAM:OPEN:E20 Fjelsted Ø,547,422,422,289
LIST,SELECT,LIST:SELECT:section:Færger,502,276,276,237
WEBCAM,OPEN,WEBCAM:OPEN:E20 Lillebæltsbroen,464,427,427,259
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,450,366,366,319
WEBCAM,OPEN,WEBCAM:OPEN:E20 Kauslunde V,428,344,344,241
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,421,307,307,272
WEBCAM,OPEN,WEBCAM:OPEN:Rute 313 Nørre Aaby,412,327,327,242
views,entered,Area/MapChange/Trafikmeldinger,390,260,260,76
WEBCAM,OPEN,WEBCAM:OPEN:Rute 8 Alssundbroen Ø - V,356,265,265,122
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,342,292,292,271
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Greve,322,274,274,148
WEBCAM,OPEN,WEBCAM:OPEN:E45 Horsens - V,321,267,267,179
WEBCAM,OPEN,WEBCAM:OPEN:E45 Hylkedalbroen S,308,272,272,187
