# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170601-20170630
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,182.892,59.496,59.496,13.737
MAP,SELECT,MAP:SELECT:Trafikmeldinger,165.535,59.227,59.227,13.682
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,59.595,27.759,27.759,7.789
MAP,SELECT,MAP:SELECT:Webkamera,34.533,8.783,8.783,4.265
MAP,SELECT,MAP:SELECT:Vejarbejder,16.719,7.757,7.757,4.716
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,12.711,6.370,6.370,3.096
NAVIGATIONMENU,OPEN,(not set),7.893,5.201,5.201,3.505
LIST,OPEN,(not set),7.300,4.804,4.804,2.628
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,7.012,3.107,3.107,2.023
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,5.762,2.735,2.735,1.536
MAP,SELECT,MAP:SELECT:Pladser,4.190,2.616,2.616,2.121
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,2.276,1.693,1.693,1.319
LIST,SELECT,LIST:SELECT:section:P4 Trafik,1.995,931,931,439
LIST,SELECT,LIST:SELECT:section:Vejarbejder,1.970,1.013,1.013,833
WEBCAM,OPEN,N/A,1.949,1.370,1.370,888
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,1.405,1.076,1.076,860
Activity,Start,Screen start: TrafikinfoApplication:MainActivity,1.219,412,412,76
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.200,995,995,844
LIST,SELECT,LIST:SELECT:section:Webkamera,908,378,378,332
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,899,804,804,702
LIST,SELECT,LIST:SELECT:section:Rejsetider,867,507,507,424
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,841,689,689,561
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Solrød,750,615,615,200
WEBCAM,OPEN,WEBCAM:OPEN:E45 Kolding - NV,672,474,474,305
WEBCAM,OPEN,WEBCAM:OPEN:Kolding N MTX - SV,672,436,436,308
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,666,594,594,493
WEBCAM,OPEN,WEBCAM:OPEN:Kolding Ø - V,649,453,453,317
WEBCAM,OPEN,WEBCAM:OPEN:E45 Aalborg,639,484,484,247
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,572,429,429,367
WEBCAM,OPEN,WEBCAM:OPEN:E20 Fjelsted Ø,554,422,422,287
views,entered,Area/MapChange/Trafikmeldinger,542,357,357,105
WEBCAM,OPEN,WEBCAM:OPEN:E20 Vissenbjerg Ø,530,425,425,287
LIST,SELECT,LIST:SELECT:section:Pladser,497,253,253,240
App,Start,App start: TrafikinfoApplication,493,429,429,12
WEBCAM,OPEN,WEBCAM:OPEN:E45 Hylkedalbroen S,448,378,378,240
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,419,284,284,250
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,385,314,314,291
WEBCAM,OPEN,WEBCAM:OPEN:Taulov M50 MTX - V,374,325,325,255
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Greve,357,261,261,150
WEBCAM,OPEN,WEBCAM:OPEN:E20 Lillebæltsbroen,355,332,332,203
WEBCAM,OPEN,WEBCAM:OPEN:Rute 180 Limfj.broen S,353,295,295,167
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,350,306,306,289
LIST,SELECT,LIST:SELECT:section:Færger,346,206,206,186
WEBCAM,OPEN,WEBCAM:OPEN:E45 Horsens - V,343,293,293,201
WEBCAM,OPEN,WEBCAM:OPEN:E45 Smidstrup S,310,250,250,200
WEBCAM,OPEN,WEBCAM:OPEN:Rute 313 Nørre Aaby,310,265,265,198
WEBCAM,OPEN,WEBCAM:OPEN:E20 Kauslunde V,309,275,275,204
WEBCAM,OPEN,WEBCAM:OPEN:Rute 180 Limfj.broen N,309,254,254,198
WEBCAM,OPEN,"WEBCAM:OPEN:E45/15 Århus V, mod Ø",307,247,247,191
LIST,OPEN,LIST:OPEN:P4LIST,280,66,66,46
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,275,243,243,225
WEBCAM,OPEN,WEBCAM:OPEN:Søften - N,272,215,215,140
views,entered,Area/Custom,271,197,197,63
MAP,SELECT,MAP:SELECT:Trafikinfo,265,43,43,27
WEBCAM,OPEN,WEBCAM:OPEN:E45 Ejer Baunehøj,256,228,228,169
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,242,207,207,190
WEBCAM,OPEN,WEBCAM:OPEN:E45 Tilst,240,209,209,125
WEBCAM,OPEN,WEBCAM:OPEN:E20 Storebæltbroen,238,207,207,155
WEBCAM,OPEN,WEBCAM:OPEN:Roskilde_10,237,189,189,123
WEBCAM,OPEN,WEBCAM:OPEN:Odense Syd - V,235,197,197,140
WEBCAM,OPEN,WEBCAM:OPEN:Ringsted_13,232,195,195,134
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47/O4 Ishøj,218,176,176,125
WEBCAM,OPEN,WEBCAM:OPEN:E45 Haderslev,218,201,201,140
WEBCAM,OPEN,WEBCAM:OPEN:E45 Nørresundby S,217,185,185,138
WEBCAM,OPEN,WEBCAM:OPEN:Rødby Havn,214,163,163,68
WEBCAM,OPEN,WEBCAM:OPEN:Vemmelev - V,198,175,175,134
WEBCAM,OPEN,WEBCAM:OPEN:E45 Vejlefjordbroen S,185,162,162,144
WEBCAM,OPEN,WEBCAM:OPEN:Kalvebod - V,185,142,142,109
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,178,120,120,111
WEBCAM,OPEN,"WEBCAM:OPEN:E45 Vejle N, mod S",176,155,155,121
WEBCAM,OPEN,WEBCAM:OPEN:E45 Frøslev 1,175,153,153,104
WEBCAM,OPEN,WEBCAM:OPEN:E45 Skærup Rastepl. S,170,145,145,125
WEBCAM,OPEN,WEBCAM:OPEN:E20 Kalvebodbroen S,167,135,135,109
WEBCAM,OPEN,WEBCAM:OPEN:Vejlefjordbro nord,159,140,140,122
WEBCAM,OPEN,WEBCAM:OPEN:Rute16 Fausing - V,158,134,134,24
WEBCAM,OPEN,WEBCAM:OPEN:E20 Salby Ø,153,122,122,78
WEBCAM,OPEN,"WEBCAM:OPEN:E45 Århus V, mod N",151,127,127,105
WEBCAM,OPEN,WEBCAM:OPEN:Center Boulevard,142,109,109,79
WEBCAM,OPEN,WEBCAM:OPEN:Odense MTX - Ø,140,116,116,91
WEBCAM,OPEN,WEBCAM:OPEN:Rødekro,131,119,119,101
MAP,SELECT,MAP:SELECT:Vejarbejde,128,21,21,15
WEBCAM,OPEN,WEBCAM:OPEN:Industrivej,126,113,113,94
WEBCAM,OPEN,WEBCAM:OPEN:Rute 40 Skagen V-S,124,118,118,67
WEBCAM,OPEN,WEBCAM:OPEN:E45 Randers,123,110,110,70
WEBCAM,OPEN,WEBCAM:OPEN:Vallensbæk S - V,122,107,107,79
WEBCAM,OPEN,WEBCAM:OPEN:Sorø - V,111,97,97,78
WEBCAM,OPEN,WEBCAM:OPEN:E47/E55 Algestrup S,110,98,98,66
WEBCAM,OPEN,WEBCAM:OPEN:Universitetsboulevarden,109,98,98,75
WEBCAM,OPEN,WEBCAM:OPEN:Vejle N Horsensvej,109,100,100,89
WEBCAM,OPEN,WEBCAM:OPEN:Rudbøl grænseoverg.,108,101,101,56
WEBCAM,OPEN,WEBCAM:OPEN:E20 Nyborg C - S,107,100,100,79
WEBCAM,OPEN,WEBCAM:OPEN:E20 Kbh. Lufthavn V,102,87,87,75
WEBCAM,OPEN,WEBCAM:OPEN:E20 Langeskov V,102,94,94,81
WEBCAM,OPEN,WEBCAM:OPEN:E20 Ringsted,102,98,98,83
WEBCAM,OPEN,WEBCAM:OPEN:E55 Gedser S,102,81,81,31
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,97,84,84,80
WEBCAM,OPEN,WEBCAM:OPEN:Rute 15 Lystrup V,97,89,89,67
WEBCAM,OPEN,WEBCAM:OPEN:Rute 21 Brøndby,97,81,81,71
WEBCAM,OPEN,WEBCAM:OPEN:Rute 21 Høje Tåstrup,97,76,76,57
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,95,92,92,88
WEBCAM,OPEN,WEBCAM:OPEN:E47 Hillested,94,81,81,52
WEBCAM,OPEN,WEBCAM:OPEN:Langebro NV,93,83,83,63
WEBCAM,OPEN,WEBCAM:OPEN:Skovby - N,92,82,82,73
WEBCAM,OPEN,WEBCAM:OPEN:E47 Gladsaxe,91,81,81,61
WEBCAM,OPEN,WEBCAM:OPEN:Fiskebæk N,91,78,78,42
WEBCAM,OPEN,WEBCAM:OPEN:Svenstrup - N,90,82,82,70
WEBCAM,OPEN,WEBCAM:OPEN:E45/E39 Vendsyssel,89,73,73,59
WEBCAM,OPEN,WEBCAM:OPEN:E47 Roskildevej,89,76,76,63
WEBCAM,OPEN,"WEBCAM:OPEN:E20 København C, SØ",88,74,74,60
WEBCAM,OPEN,WEBCAM:OPEN:E20 Borup Ø,87,77,77,53
WEBCAM,OPEN,WEBCAM:OPEN:Rute 21 Baldersbr. V,87,73,73,57
WEBCAM,OPEN,WEBCAM:OPEN:Vig - S,87,61,61,43
WEBCAM,OPEN,WEBCAM:OPEN:E47 Jyllingevej,84,67,67,54
WEBCAM,OPEN,WEBCAM:OPEN:E47 Ønslev,82,74,74,60
WEBCAM,OPEN,WEBCAM:OPEN:Rute 21 Vallensbæk,82,71,71,58
WEBCAM,OPEN,WEBCAM:OPEN:Vejle Bredstenvej - Ø,82,73,73,65
WEBCAM,OPEN,WEBCAM:OPEN:Rute 170 Kruså S,80,71,71,58
WEBCAM,OPEN,WEBCAM:OPEN:E47 Sakskøbing,79,67,67,54
WEBCAM,OPEN,WEBCAM:OPEN:Rute 265 Korsør,79,70,70,56
WEBCAM,OPEN,WEBCAM:OPEN:Funder Ådal - NØ,78,68,68,58
WEBCAM,OPEN,WEBCAM:OPEN:E20 Esbjerg,77,70,70,61
WEBCAM,OPEN,WEBCAM:OPEN:Rute 180 Over Kæret,77,73,73,56
WEBCAM,OPEN,WEBCAM:OPEN:Rute 9 Svendborgsundbroen N,77,70,70,44
WEBCAM,OPEN,WEBCAM:OPEN:Rute 16 Holstebro Ø - V,76,61,61,50
WEBCAM,OPEN,WEBCAM:OPEN:Rute 175 Skærbæk,75,67,67,47
WEBCAM,OPEN,WEBCAM:OPEN:Rute 25 Vamdrup,74,66,66,52
WEBCAM,OPEN,WEBCAM:OPEN:Kliplev - N,73,67,67,56
WEBCAM,OPEN,WEBCAM:OPEN:E20/E47 Karlslunde rasteplads - S,71,69,69,64
WEBCAM,OPEN,WEBCAM:OPEN:E47/E55 Bårse S,71,66,66,50
WEBCAM,OPEN,WEBCAM:OPEN:Rute 15/16 Grenaa,71,67,67,38
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,70,49,49,21
WEBCAM,OPEN,WEBCAM:OPEN:Rute 16 Hareskoven,70,61,61,33
WEBCAM,OPEN,WEBCAM:OPEN:Bakkebølle - Ø,69,61,61,51
WEBCAM,OPEN,WEBCAM:OPEN:Rute 19 Brogårdsvej,69,58,58,46
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,68,47,47,37
WEBCAM,OPEN,WEBCAM:OPEN:E45 Gudenåen,68,60,60,43
WEBCAM,OPEN,WEBCAM:OPEN:Rute 161 Middelfart,68,67,67,62
WEBCAM,OPEN,"WEBCAM:OPEN:E20 København C, S",67,53,53,44
WEBCAM,OPEN,WEBCAM:OPEN:Albertslund O4,66,58,58,49
WEBCAM,OPEN,WEBCAM:OPEN:E39 Brønderslev - S,66,63,63,58
WEBCAM,OPEN,WEBCAM:OPEN:Haverslev - N,66,56,56,46
WEBCAM,OPEN,WEBCAM:OPEN:Rute 15/21 Feldballe,66,63,63,44
WEBCAM,OPEN,WEBCAM:OPEN:Rute 8 Alssundbroen Ø - V,66,51,51,37
WEBCAM,OPEN,WEBCAM:OPEN:Grevinge - S,65,48,48,32
WEBCAM,OPEN,WEBCAM:OPEN:Rute 21 Gevninge,65,57,57,45
WEBCAM,OPEN,WEBCAM:OPEN:E20 Sadderup V,64,59,59,48
