# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20171101-20171130
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,192.306,75.450,75.450,15.114
MAP,SELECT,MAP:SELECT:Trafikinfo,105.434,68.766,68.766,14.731
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,64.940,32.774,32.774,7.991
MAP,SELECT,MAP:SELECT:Webkamera,13.109,3.611,3.611,1.723
MAP,SELECT,MAP:SELECT:Vejarbejde,12.677,6.628,6.628,4.011
NAVIGATIONMENU,OPEN,(not set),9.861,6.685,6.685,4.287
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,9.820,7.066,7.066,3.162
LIST,OPEN,LIST:OPEN:P4LIST,9.360,7.681,7.681,4.141
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,7.793,4.795,4.795,2.966
LIST,OPEN,(not set),5.802,4.806,4.806,3.017
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,4.874,2.252,2.252,1.474
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,4.243,2.333,2.333,1.479
MAP,SELECT,MAP:SELECT:Trafikmeldinger,3.620,1.512,1.512,355
LIST,SELECT,LIST:SELECT:section:Vejarbejder,2.584,1.373,1.373,1.118
LIST,SELECT,LIST:SELECT:section:Webkamera,2.486,938,938,774
LIST,SELECT,LIST:SELECT:section:P4 Trafik,1.671,1.144,1.144,750
MAP,SELECT,MAP:SELECT:Pladser,1.387,665,665,569
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,1.146,1.010,1.010,829
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.102,969,969,818
LIST,SELECT,LIST:SELECT:section:Pladser,922,466,466,420
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,869,801,801,704
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,814,748,748,672
LIST,SELECT,LIST:SELECT:itemtype_WebCam,776,430,430,352
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,737,625,625,494
App,Start,App start: TrafikinfoApplication,682,248,248,5
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,681,494,494,417
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,579,509,509,430
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,540,491,491,427
LIST,SELECT,LIST:SELECT:section:Færger,519,318,318,276
LIST,SELECT,LIST:SELECT:itemtype_Traffic,482,361,361,193
LIST,SELECT,LIST:SELECT:itemtype_P4Area,452,329,329,254
views,entered,Area/MapChange/Trafikmeldinger,414,281,281,56
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,394,355,355,329
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,306,273,273,256
MAP,SELECT,MAP:SELECT:Vejarbejder,284,151,151,94
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-180-Limfj.broen-N,270,196,196,169
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Ejer-Baunehøj,237,205,205,137
PLACE,OPEN,PLACE:OPEN:rasteplads,235,116,116,106
LIST,SELECT,LIST:SELECT:itemtype_RoadWork,234,168,168,145
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Aalborg,232,185,185,95
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Solrød,204,184,184,77
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Horsens---V,198,172,172,117
PLACE,OPEN,PLACE:OPEN:samkoersel,188,116,116,108
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Fjelsted-Ø,178,139,139,83
views,entered,Area/Custom,176,142,142,32
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Vissenbjerg-Ø,162,136,136,103
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Greve,159,135,135,73
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Karlslunde-rasteplads---S,157,132,132,77
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Lillebæltsbroen,156,133,133,85
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Randers,152,121,121,68
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,150,136,136,125
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Odense-Syd---V,145,117,117,76
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Søften---N,145,117,117,85
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Tilst,139,131,131,81
