# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20171001-20171031
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,179.511,67.910,67.910,14.936
MAP,SELECT,MAP:SELECT:Trafikinfo,95.984,61.377,61.377,14.442
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,58.770,29.279,29.279,7.797
MAP,SELECT,MAP:SELECT:Webkamera,15.805,4.154,4.154,1.907
MAP,SELECT,MAP:SELECT:Vejarbejde,12.799,6.576,6.576,4.078
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,10.215,6.729,6.729,3.256
NAVIGATIONMENU,OPEN,(not set),10.005,6.860,6.860,4.219
LIST,OPEN,LIST:OPEN:P4LIST,9.119,7.287,7.287,4.034
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,7.813,4.906,4.906,3.073
LIST,OPEN,(not set),5.655,4.689,4.689,2.968
MAP,SELECT,MAP:SELECT:Trafikmeldinger,5.489,2.234,2.234,512
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,4.801,2.126,2.126,1.406
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,4.066,2.280,2.280,1.422
LIST,SELECT,LIST:SELECT:section:Webkamera,2.495,902,902,737
LIST,SELECT,LIST:SELECT:section:Vejarbejder,2.472,1.277,1.277,1.074
LIST,SELECT,LIST:SELECT:section:P4 Trafik,1.911,1.325,1.325,832
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,1.742,1.476,1.476,842
MAP,SELECT,MAP:SELECT:Pladser,1.512,740,740,624
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.361,1.176,1.176,928
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.002,906,906,787
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,902,748,748,561
LIST,SELECT,LIST:SELECT:section:Pladser,780,398,398,360
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,736,512,512,436
LIST,SELECT,LIST:SELECT:itemtype_WebCam,726,420,420,342
Activity,Start,Screen start: TrafikinfoApplication:MainActivity,722,261,261,45
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,629,566,566,475
LIST,SELECT,LIST:SELECT:section:Færger,601,345,345,306
LIST,SELECT,LIST:SELECT:itemtype_P4Area,467,356,356,261
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,462,413,413,340
LIST,SELECT,LIST:SELECT:itemtype_Traffic,462,343,343,192
MAP,SELECT,MAP:SELECT:Vejarbejder,440,230,230,145
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,430,381,381,344
views,entered,Area/MapChange/Trafikmeldinger,420,294,294,70
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,412,316,316,236
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:Vintertrafik app,394,361,361,334
WEBCAM,OPEN,No webcam,364,182,182,133
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,346,316,316,287
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Aalborg,337,247,247,117
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Lillebæltsbroen,303,261,261,155
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Ejer-Baunehøj,244,202,202,129
PLACE,OPEN,PLACE:OPEN:rasteplads,235,109,109,97
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-142-Kpr.-Fr.-Bro-V,224,170,170,68
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-180-Limfj.broen-N,218,180,180,152
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Solrød,204,172,172,67
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Storebæltbroen,189,157,157,118
LIST,SELECT,LIST:SELECT:itemtype_RoadWork,183,135,135,120
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kauslunde-V,181,154,154,90
PLACE,OPEN,PLACE:OPEN:samkoersel,175,106,106,100
views,entered,Area/Custom,169,128,128,44
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Fjelsted-Ø,169,143,143,98
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Horsens---V,168,142,142,103
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Vissenbjerg-Ø,157,139,139,113
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Tilst,151,133,133,74
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-313-Nørre-Aaby,147,112,112,77
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,144,127,127,120
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Hylkedalbroen-S,136,97,97,73
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rødekro,127,99,99,75
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Greve,126,115,115,57
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Odense-Syd---V,124,108,108,78
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,122,106,106,93
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Karlslunde-rasteplads---S,120,105,105,52
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,117,111,111,105
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Taulov-M50-MTX---V,117,100,100,80
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Haderslev,115,100,100,66
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E45/15-Århus-V,-mod-Ø",106,94,94,69
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Søften---N,106,88,88,53
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Skovby---N,105,86,86,59
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47/O4-Ishøj,98,85,85,59
App,Start,App start: TrafikinfoApplication,96,42,42,5
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Kolding---NV,93,72,72,59
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Nyborg-C---S,91,82,82,73
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Nørresundby-S,90,80,80,60
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Vejlefjordbroen-S,89,80,80,64
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kolding-N-MTX---SV,87,75,75,60
