# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180901-20180930
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
SCREEN,START,SCREEN:START:MainActivity,237.525,83.641,83.641,16.596
MAP,SELECT,MAP:SELECT:Trafikinfo,111.563,78.271,78.271,16.488
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,80.230,38.157,38.157,10.124
MAP,SELECT,MAP:SELECT:Webkamera,37.628,8.100,8.100,3.933
GEOFENCE,ENTER,GEOFENCE:ENTER:10,15.313,13.879,13.879,3.209
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,15.040,13.655,13.655,3.144
MAP,SELECT,MAP:SELECT:Vejarbejde,14.712,6.420,6.420,3.624
ACTIONBAR,SELECT,ACTIONBAR:SELECT:CENTERPOSITION_ICON,10.421,7.692,7.692,3.337
LIST,OPEN,LIST:OPEN:P4LIST,9.078,7.199,7.199,3.688
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,7.238,2.689,2.689,1.456
NAVIGATIONMENU,OPEN,(not set),6.234,4.624,4.624,3.255
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,5.008,3.454,3.454,2.332
GEOFENCE,ENTER,GEOFENCE:ENTER:7,4.014,3.330,3.330,1.089
MAP,SELECT,MAP:SELECT:Pladser,4.014,2.431,2.431,1.859
ACCEPTANCE,ACCEPT,ACCEPTANCE:ACCEPT:Geofences,3.952,3.945,3.945,3.944
GEOFENCE,LEAVE,GEOFENCE:LEAVE:7,3.945,3.268,3.268,1.063
GEOFENCE,ENTER,GEOFENCE:ENTER:26,3.668,3.025,3.025,1.031
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,3.604,3.074,3.074,1.919
GEOFENCE,LEAVE,GEOFENCE:LEAVE:26,3.598,2.959,2.959,1.007
GEOFENCE,ENTER,GEOFENCE:ENTER:28,3.565,3.171,3.171,1.052
GEOFENCE,ENTER,GEOFENCE:ENTER:27,3.561,3.120,3.120,1.035
GEOFENCE,LEAVE,GEOFENCE:LEAVE:28,3.534,3.137,3.137,1.035
GEOFENCE,LEAVE,GEOFENCE:LEAVE:27,3.515,3.083,3.083,1.025
GEOFENCE,ENTER,GEOFENCE:ENTER:6,3.423,2.975,2.975,1.021
GEOFENCE,LEAVE,GEOFENCE:LEAVE:6,3.354,2.908,2.908,1.000
GEOFENCE,ENTER,GEOFENCE:ENTER:25,3.140,2.633,2.633,926
GEOFENCE,LEAVE,GEOFENCE:LEAVE:25,3.084,2.583,2.583,908
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,2.472,1.131,1.131,708
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,2.106,1.796,1.796,1.477
LIST,SELECT,LIST:SELECT:section:Vejarbejder,1.623,672,672,552
LIST,SELECT,LIST:SELECT:section:P4 Trafik,1.505,1.110,1.110,677
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Storebæltbroen,1.503,980,980,718
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vemmelev---V,1.327,791,791,565
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Nyborg-C---S,1.304,835,835,589
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,1.081,876,876,617
LIST,SELECT,LIST:SELECT:section:Webkamera,1.065,352,352,314
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,896,755,755,649
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,874,546,546,410
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Lillebæltsbroen,819,636,636,440
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kauslunde-V,804,568,568,381
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-vest-for-Nyborg-V,697,447,447,356
LIST,SELECT,LIST:SELECT:itemtype_Traffic,626,321,321,154
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,623,511,511,422
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kbh.-Lufthavn-V,560,394,394,315
ACCEPTANCE,DENY,ACCEPTANCE:DENY:Geofences,559,552,552,551
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,537,491,491,454
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Fjelsted-Ø,536,425,425,273
LIST,SELECT,LIST:SELECT:section:Pladser,535,216,216,200
MAP,SELECT,MAP:SELECT:Trafikmeldinger,533,241,241,72
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Langeskov-V,498,344,344,276
LIST,SELECT,LIST:SELECT:itemtype_P4Area,492,372,372,258
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,485,445,445,394
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,484,405,405,378
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-313-Nørre-Aaby,442,377,377,287
LIST,SELECT,LIST:SELECT:section:Færger,433,200,200,130
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,417,224,224,200
LIST,SELECT,LIST:SELECT:itemtype_RoadWork,399,170,170,129
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,397,262,262,212
PLACE,OPEN,PLACE:OPEN:rasteplads,395,184,184,160
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Aalborg,384,312,312,167
MAP,SELECT,MAP:SELECT:Vejarbejder,382,52,52,16
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Rute-180-Limfj.broen-N,366,315,315,249
PLACE,OPEN,PLACE:OPEN:samkoersel,365,221,221,198
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Vissenbjerg-Ø,363,322,322,241
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47/O4-Ishøj,351,280,280,190
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Nørresundby-S,334,250,250,132
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,330,304,304,260
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Nyborg-V---Ø,329,220,220,176
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Taulov-M50-MTX---V,316,288,288,241
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:PROJECTS,315,279,279,261
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Karlslunde-rasteplads---S,311,246,246,160
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,308,297,297,292
LIST,SELECT,LIST:SELECT:itemtype_WebCam,304,139,139,124
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Center-Boulevard,297,242,242,185
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,282,245,245,226
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_TIME_LIMIT,280,190,190,162
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20/E47-Solrød,268,226,226,157
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Odense-Syd---V,265,222,222,170
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Søften---N,264,224,224,136
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vallensbæk-S---V,258,225,225,167
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Ejer-Bavnehøj-V---N,253,223,223,159
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Ringsted,250,212,212,181
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45/E39-Vendsyssel,250,160,160,82
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E20-Kalvebodbroen-S,245,216,216,182
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Sorø---V,245,208,208,183
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_AREA,243,190,190,159
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Odense-MTX---Ø,242,200,200,161
WEBCAM,OPEN,"WEBCAM:OPEN:Fullscreen:E45/15-Århus-V,-mod-Ø",221,182,182,128
PROJECT,FOLLOW,PROJECT:FOLLOW:4,219,202,202,196
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Kalvebod---V,218,196,196,158
PROJECT,FOLLOW,PROJECT:FOLLOW:2,210,192,192,177
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,200,190,190,185
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Tilst,196,163,163,116
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:E45-Vejlefjordbroen-S,194,156,156,106
WEBCAM,OPEN,WEBCAM:OPEN:Fullscreen:Vejlefjordbro-nord,186,148,148,112
