# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170101-20170131
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikmeldinger,197.058,123.629,123.629,29.178
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,88.393,47.720,47.720,16.027
WEBCAM,OPEN,(not set),54.943,12.706,12.706,5.543
NAVIGATIONMENU,OPEN,(not set),23.002,12.558,12.558,8.751
MAP,SELECT,MAP:SELECT:Webkamera,20.774,12.707,12.707,5.987
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,17.566,13.022,13.022,6.950
LIST,OPEN,(not set),16.624,13.689,13.689,7.125
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,15.727,10.078,10.078,5.035
MAP,SELECT,MAP:SELECT:Vejarbejder,9.551,6.551,6.551,4.609
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,5.694,4.146,4.146,3.381
LIST,SELECT,LIST:SELECT:section:Webkamera,5.674,3.880,3.880,2.966
EVENT,OPEN,EVENT:OPEN:fullscreen,4.950,4.144,4.144,3.400
LIST,SELECT,LIST:SELECT:section:Vejarbejder,4.765,3.622,3.622,3.041
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,2.797,1.505,1.505,1.311
EVENT,START,(not set),2.597,1.479,1.479,1.285
LIST,SELECT,LIST:SELECT:section:Rejsetider,2.069,1.506,1.506,1.247
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,2.014,1.345,1.345,1.201
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_ON,1.643,1.497,1.497,1.386
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,1.585,1.409,1.409,1.221
WEBCAM,FOLLOW,(not set),1.324,584,584,528
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,1.230,1.012,1.012,781
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,1.229,1.080,1.080,956
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,1.176,1.052,1.052,992
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,1.129,993,993,937
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.109,993,993,896
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_OFF,976,822,822,766
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,880,752,752,681
LIST,SELECT,LIST:SELECT:section:Færger,834,602,602,532
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://Www.vejdirektoratet.dk,485,434,434,375
LIST,SELECT,LIST:SELECT:subsection:rejsetider,355,243,243,193
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,354,243,243,193
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,305,264,264,257
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,300,278,278,274
LIST,SELECT,LIST:SELECT:section:P4 Trafik,114,7,7,5
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,91,14,14,8
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,82,16,16,8
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,71,51,51,49
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/da/trafik/juletrafikken/sider/default.aspx?utm_source=trafikinfoApp&utm_medium=link&utm_content=&utm_campaign=juletrafik16,41,39,39,38
ERROR,ERROR,ERROR:ERROR:Push check - invalid local subscription found.,39,2,2,1
LIST,SELECT,LIST:SELECT:section:Tunnel,23,10,10,8
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,18,15,15,15
LIST,SELECT,LIST:SELECT:section:Bro,13,7,7,5
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,6,6,6,6
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vd.dk,4,3,3,3
